,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1963-64,23.0,CIN,NBA,PF,79.0,3273.0,18.9,0.578,0.385,,,,,,,,8.8,3.9,12.7,0.187,,,,,
1,1964-65,24.0,CIN,NBA,PF,66.0,2864.0,20.9,0.551,0.326,,,,7.8,,,,7.6,2.3,9.9,0.166,,,,,
2,1965-66,25.0,CIN,NBA,PF,79.0,3517.0,18.8,0.499,0.265,,,,8.2,,,,4.5,3.6,8.1,0.11,,,,,
3,1966-67,26.0,CIN,NBA,PF,81.0,3558.0,16.9,0.508,0.286,,,,9.7,,,,4.1,3.2,7.3,0.098,,,,,
4,1967-68,27.0,CIN,NBA,PF,82.0,3619.0,19.8,0.565,0.327,,,,9.5,,,,8.8,1.3,10.1,0.133,,,,,
5,1968-69,28.0,CIN,NBA,PF,74.0,3075.0,20.6,0.59,0.325,,,,13.8,,,,8.6,0.8,9.5,0.148,,,,,
6,1969-70,29.0,TOT,NBA,PF,67.0,2420.0,17.9,0.554,0.319,,,,9.9,,,,4.2,3.7,7.9,0.157,,,,,
7,1969-70,29.0,CIN,NBA,PF,4.0,118.0,15.6,0.538,0.2,,,,9.6,,,,0.1,0.1,0.3,0.111,,,,,
8,1969-70,29.0,SFW,NBA,PF,63.0,2302.0,18.1,0.555,0.325,,,,9.9,,,,4.1,3.6,7.6,0.159,,,,,
9,1970-71,30.0,SFW,NBA,PF,80.0,3251.0,20.6,0.544,0.294,,,17.1,13.2,,,,6.8,3.8,10.5,0.156,,,,,
10,1971-72,31.0,NYK,NBA,C,77.0,2926.0,19.5,0.548,0.235,,,16.9,15.5,,,,5.8,5.4,11.2,0.184,,,,,
11,1972-73,32.0,NYK,NBA,PF,71.0,2001.0,17.3,0.54,0.164,,,12.6,20.8,,,,3.4,4.4,7.8,0.188,,,,,
12,1973-74,33.0,NYK,NBA,C,73.0,1627.0,12.6,0.492,0.229,4.0,20.1,12.1,18.6,0.8,0.8,,1.0,2.4,3.4,0.101,,-0.1,1.3,1.3,1.4
13,Career,,,NBA,,829.0,32131.0,18.9,0.544,0.294,4.0,20.1,15.3,12.0,0.8,0.8,,63.6,34.8,98.4,0.147,,-0.1,1.3,1.3,1.4
14,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7 seasons,,CIN,NBA,,465.0,20024.0,19.2,0.545,0.314,,,,9.8,,,,42.5,15.3,57.8,0.139,,,,,
16,3 seasons,,NYK,NBA,,221.0,6554.0,17.1,0.535,0.213,4.0,20.1,14.4,17.9,0.8,0.8,,10.3,12.2,22.4,0.164,,-0.1,1.3,1.3,1.4
17,2 seasons,,SFW,NBA,,143.0,5553.0,19.6,0.548,0.305,,,17.1,11.8,,,,10.8,7.3,18.2,0.157,,,,,
