,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2008-09,20.0,POR,NBA,PG,53.0,655.0,8.2,0.487,0.143,0.545,1.5,9.4,5.4,18.2,1.4,0.2,19.3,20.9,,-0.2,0.5,0.3,0.019,,-4.3,-0.7,-5.0,-0.5
1,2009-10,21.0,POR,NBA,SG,74.0,1304.0,14.3,0.534,0.19,0.501,1.7,9.8,5.7,22.1,1.1,0.3,13.8,24.9,,1.7,1.0,2.7,0.098,,-0.7,-1.0,-1.7,0.1
2,2010-11,22.0,TOT,NBA,PG,71.0,1496.0,14.1,0.536,0.282,0.398,2.0,11.3,6.6,27.6,1.3,0.3,17.3,22.1,,1.4,0.3,1.6,0.053,,0.1,-1.9,-1.8,0.1
3,2010-11,22.0,NOH,NBA,PG,11.0,149.0,7.2,0.443,0.286,0.347,1.6,10.7,6.1,29.9,0.7,0.6,23.1,23.5,,-0.3,0.1,-0.2,-0.05,,-4.8,-2.5,-7.3,-0.2
4,2010-11,22.0,TOR,NBA,PG,60.0,1347.0,14.9,0.545,0.282,0.404,2.1,11.4,6.6,27.4,1.4,0.2,16.6,22.0,,1.7,0.1,1.8,0.064,,0.6,-1.8,-1.2,0.3
5,2011-12,23.0,TOR,NBA,PG,31.0,705.0,17.7,0.561,0.377,0.319,1.3,9.5,5.5,30.7,1.8,0.5,14.4,24.6,,1.5,0.6,2.0,0.139,,2.4,-0.7,1.7,0.6
6,2012-13,24.0,MEM,NBA,PG,80.0,1765.0,13.5,0.514,0.324,0.196,1.4,10.5,5.9,24.9,1.8,0.8,15.1,20.8,,1.5,2.5,4.0,0.108,,-0.6,0.7,0.1,1.0
7,2013-14,25.0,TOT,NBA,PG,72.0,1686.0,12.0,0.498,0.344,0.191,1.5,8.6,5.0,18.5,1.9,0.4,10.9,20.1,,1.1,1.3,2.4,0.069,,-1.6,-0.2,-1.8,0.1
8,2013-14,25.0,MEM,NBA,PG,31.0,650.0,11.3,0.473,0.347,0.238,1.5,9.3,5.4,15.6,1.6,0.6,7.7,20.3,,0.4,0.6,1.0,0.077,,-2.3,0.2,-2.1,0.0
9,2013-14,25.0,BOS,NBA,PG,41.0,1036.0,12.5,0.514,0.341,0.161,1.5,8.1,4.7,20.4,2.0,0.3,12.9,19.9,,0.7,0.7,1.4,0.064,,-1.2,-0.4,-1.7,0.1
10,2014-15,26.0,MIL,NBA,PG,77.0,1717.0,11.1,0.519,0.233,0.266,1.5,12.5,7.0,21.0,1.8,0.6,18.8,18.6,,0.3,2.0,2.4,0.066,,-2.5,0.4,-2.1,0.0
11,2015-16,27.0,MIL,NBA,SG,52.0,1505.0,12.4,0.568,0.529,0.206,1.6,9.0,5.4,16.2,1.6,0.6,13.3,16.4,,1.8,0.6,2.4,0.075,,0.2,-1.0,-0.8,0.4
12,2016-17,28.0,PHI,NBA,PG,3.0,71.0,8.7,0.453,0.156,0.313,4.6,14.0,9.3,29.4,0.0,0.0,19.8,27.7,,-0.1,0.0,-0.1,-0.067,,-2.1,-2.4,-4.4,0.0
