,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1973-74,22.0,CLE,NBA,PF,82.0,1862.0,10.9,0.415,,0.224,10.8,18.5,14.4,10.6,1.1,1.0,,,,-0.3,1.5,1.3,0.032,,-1.9,-0.5,-2.3,-0.1
1,1974-75,23.0,CLE,NBA,PF,82.0,1991.0,14.6,0.483,,0.249,10.9,16.2,13.6,9.0,1.8,1.2,,,,2.0,2.4,4.4,0.107,,0.8,0.2,0.9,1.5
2,1975-76,24.0,CLE,NBA,PF,82.0,2913.0,14.9,0.485,,0.245,10.2,21.7,15.7,9.6,1.5,1.7,,,,3.4,4.5,7.9,0.13,,1.0,0.9,1.9,2.8
3,1976-77,25.0,CLE,NBA,PF,81.0,2672.0,12.7,0.469,,0.271,10.1,19.2,14.5,9.6,1.7,1.7,,,,2.0,3.9,5.8,0.105,,0.1,1.2,1.3,2.2
4,1977-78,26.0,CLE,NBA,PF,80.0,1798.0,10.5,0.456,,0.256,10.1,17.8,13.9,7.0,1.5,1.4,19.2,11.9,,0.2,2.5,2.6,0.07,,-1.6,0.8,-0.8,0.6
5,1978-79,27.0,TOT,NBA,PF,80.0,1611.0,9.9,0.444,,0.197,10.1,22.5,16.0,6.6,1.8,2.2,21.9,10.9,,-0.5,1.8,1.3,0.038,,-2.1,0.6,-1.5,0.2
6,1978-79,27.0,CLE,NBA,PF,55.0,1301.0,10.1,0.448,,0.185,9.9,21.9,15.6,7.0,1.7,2.4,21.8,10.9,,-0.3,1.3,1.0,0.038,,-1.9,0.6,-1.2,0.3
7,1978-79,27.0,DET,NBA,PF,25.0,310.0,9.2,0.428,,0.25,11.0,24.6,17.6,4.9,1.9,1.7,22.2,10.5,,-0.2,0.4,0.3,0.04,,-2.8,0.4,-2.4,0.0
8,1979-80,28.0,POR,NBA,PF,67.0,1016.0,11.3,0.493,0.027,0.158,10.8,17.1,13.9,9.6,2.0,2.5,19.3,9.8,,0.5,1.5,2.0,0.096,,-1.2,1.9,0.7,0.7
9,1980-81,29.0,LAL,NBA,PF,78.0,1107.0,10.6,0.506,0.01,0.203,13.2,14.2,13.8,5.8,1.8,2.8,18.3,9.5,,0.7,1.5,2.2,0.097,,-1.6,1.1,-0.5,0.4
10,1981-82,30.0,LAL,NBA,PF,71.0,966.0,10.1,0.464,0.034,0.109,12.4,17.2,14.9,4.8,1.9,2.5,16.8,9.1,,0.4,1.4,1.8,0.088,,-1.8,1.0,-0.8,0.3
11,Career,,,NBA,,703.0,15936.0,12.2,0.467,0.003,0.232,10.7,18.8,14.6,8.5,1.6,1.7,19.4,10.5,,8.4,20.9,29.3,0.088,,-0.6,0.7,0.1,8.6
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6 seasons,,CLE,NBA,,462.0,12537.0,12.7,0.464,,0.244,10.3,19.3,14.7,9.0,1.6,1.5,20.2,11.5,,6.9,16.1,23.0,0.088,,-0.3,0.6,0.3,7.2
14,2 seasons,,LAL,NBA,,149.0,2073.0,10.4,0.486,0.022,0.159,12.8,15.6,14.3,5.3,1.8,2.7,17.6,9.3,,1.1,2.9,4.0,0.093,,-1.7,1.1,-0.6,0.7
15,1 season,,POR,NBA,,67.0,1016.0,11.3,0.493,0.027,0.158,10.8,17.1,13.9,9.6,2.0,2.5,19.3,9.8,,0.5,1.5,2.0,0.096,,-1.2,1.9,0.7,0.7
16,1 season,,DET,NBA,,25.0,310.0,9.2,0.428,,0.25,11.0,24.6,17.6,4.9,1.9,1.7,22.2,10.5,,-0.2,0.4,0.3,0.04,,-2.8,0.4,-2.4,0.0
