,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1964-65,23.0,DET,NBA,SF,66.0,1543.0,13.0,0.408,,0.271,,,,10.8,,,,,,-1.6,1.9,0.3,0.008,,,,,
1,1965-66,24.0,TOT,NBA,SF,79.0,1857.0,15.3,0.477,,0.271,,,,10.1,,,,,,1.6,1.8,3.3,0.087,,,,,
2,1965-66,24.0,DET,NBA,SF,33.0,716.0,15.3,0.459,,0.26,,,,12.9,,,,,,0.2,0.9,1.1,0.077,,,,,
3,1965-66,24.0,STL,NBA,SF,46.0,1141.0,15.3,0.487,,0.277,,,,8.3,,,,,,1.4,0.9,2.2,0.093,,,,,
4,1966-67,25.0,STL,NBA,SF,81.0,2256.0,13.2,0.461,,0.286,,,,10.4,,,,,,0.4,1.6,2.0,0.043,,,,,
5,1967-68,26.0,STL,NBA,SF,79.0,2641.0,13.2,0.48,,0.238,,,,13.6,,,,,,1.6,2.2,3.7,0.068,,,,,
6,1968-69,27.0,ATL,NBA,SG,81.0,2720.0,14.5,0.518,,0.268,,,,16.6,,,,,,4.7,2.0,6.7,0.118,,,,,
7,1969-70,28.0,ATL,NBA,SG,82.0,2857.0,17.3,0.549,,0.415,,,,13.8,,,,,,6.6,1.3,7.9,0.132,,,,,
8,1970-71,29.0,CAR,ABA,SF,72.0,3008.0,15.0,0.475,0.02,0.354,,,7.4,14.0,,,12.4,24.3,,0.2,2.0,2.3,0.036,,,,,
9,1971-72,30.0,CAR,ABA,SF,61.0,2145.0,13.9,0.486,0.022,0.345,6.5,8.4,7.4,16.3,,,13.4,21.1,,0.5,2.0,2.5,0.057,,,,,
10,1972-73,31.0,CAR,ABA,SF,77.0,2739.0,15.7,0.495,0.005,0.362,7.1,7.8,7.4,17.4,2.7,,16.0,21.2,,0.7,2.9,3.7,0.064,,,,,
11,1973-74,32.0,CAR,ABA,SF,79.0,2654.0,14.9,0.498,0.017,0.251,7.0,9.4,8.2,18.2,3.0,0.7,17.5,20.4,,1.4,3.0,4.4,0.079,,0.6,0.5,1.2,2.1
12,1974-75,33.0,SSL,ABA,SF,25.0,841.0,14.1,0.5,0.021,0.267,5.1,8.1,6.6,20.6,2.6,0.6,16.9,19.8,,0.4,0.7,1.1,0.061,,-0.2,0.3,0.1,0.4
13,Career,,,TOT,,782.0,25261.0,14.7,0.489,0.007,0.31,6.7,8.5,7.5,14.6,2.8,0.7,14.8,21.7,,16.4,21.4,37.8,0.072,,0.4,0.5,0.9,2.6
14,,,,NBA,,468.0,13874.0,14.6,0.489,,0.296,,,,12.9,,,,,,13.2,10.8,23.9,0.083,,,,,
15,,,,ABA,,314.0,11387.0,14.9,0.488,0.016,0.327,6.7,8.5,7.5,16.7,2.8,0.7,14.8,21.7,,3.3,10.6,13.9,0.059,,0.4,0.5,0.9,2.6
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5 seasons,,"STL,ATL",NBA,,369.0,11615.0,14.7,0.503,,0.302,,,,13.2,,,,,,14.5,8.0,22.5,0.093,,,,,
18,5 seasons,,"CAR,SSL",ABA,,314.0,11387.0,14.9,0.488,0.016,0.327,6.7,8.5,7.5,16.7,2.8,0.7,14.8,21.7,,3.3,10.6,13.9,0.059,,0.4,0.5,0.9,2.6
19,2 seasons,,DET,NBA,,99.0,2259.0,13.7,0.424,,0.268,,,,11.4,,,,,,-1.4,2.8,1.4,0.03,,,,,
