,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2012-13,22.0,MIL,NBA,PF,63.0,827.0,18.2,0.497,0.009,0.313,14.5,24.4,19.3,6.3,1.2,3.7,11.0,22.6,,0.6,1.2,1.9,0.109,,-0.7,-1.0,-1.7,0.1
1,2013-14,23.0,MIL,NBA,PF,70.0,1856.0,17.9,0.543,0.002,0.277,10.2,20.8,15.3,10.9,1.2,5.1,13.7,20.3,,1.7,1.5,3.3,0.084,,-0.3,-0.2,-0.5,0.7
2,2014-15,24.0,MIL,NBA,C,67.0,1228.0,18.0,0.578,0.0,0.396,11.7,17.4,14.5,7.8,1.2,9.3,17.6,18.1,,1.3,2.4,3.6,0.142,,-1.5,2.2,0.7,0.8
3,2015-16,25.0,MIL,NBA,C,57.0,960.0,18.6,0.58,0.003,0.402,10.4,15.8,13.2,9.0,1.0,9.7,15.7,19.1,,1.2,1.1,2.3,0.117,,-1.2,1.3,0.2,0.5
4,2016-17,26.0,MIL,NBA,C,58.0,1123.0,15.3,0.55,0.003,0.346,9.6,20.8,15.3,7.7,1.3,6.1,12.7,16.6,,1.2,1.6,2.7,0.116,,-2.3,0.7,-1.6,0.1
5,2017-18,27.0,MIL,NBA,C,76.0,1970.0,15.7,0.582,0.014,0.315,9.0,21.5,15.3,8.6,1.1,4.7,12.8,15.0,,2.8,2.2,4.9,0.12,,-1.0,0.1,-0.9,0.5
6,2018-19,28.0,MIL,NBA,C,14.0,188.0,17.1,0.553,0.463,0.149,9.2,28.0,19.2,10.1,1.7,4.9,14.4,18.6,,0.1,0.4,0.6,0.146,,0.4,2.1,2.5,0.2
7,2019-20,29.0,TOT,NBA,C,40.0,600.0,17.0,0.578,0.211,0.269,8.5,21.8,15.1,13.4,2.0,6.0,15.8,16.3,,0.6,0.8,1.4,0.109,,-1.2,2.1,0.9,0.4
8,2019-20,29.0,CLE,NBA,C,29.0,412.0,16.9,0.539,0.258,0.275,8.5,22.3,15.4,15.2,1.9,6.7,13.5,16.1,,0.4,0.5,0.9,0.109,,-1.2,2.2,1.1,0.3
9,2019-20,29.0,DET,NBA,C,11.0,188.0,17.1,0.67,0.098,0.255,8.3,20.8,14.5,9.3,2.1,4.5,20.9,16.7,,0.2,0.2,0.4,0.11,,-1.2,1.7,0.5,0.1
10,Career,,,NBA,,445.0,8752.0,17.1,0.557,0.03,0.322,10.4,20.5,15.4,9.1,1.2,6.2,14.0,18.1,,9.5,11.2,20.7,0.113,,-1.1,0.6,-0.5,3.4
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7 seasons,,MIL,NBA,,405.0,8152.0,17.1,0.555,0.018,0.326,10.5,20.4,15.4,8.7,1.2,6.2,13.9,18.2,,8.9,10.4,19.3,0.114,,-1.0,0.5,-0.5,2.9
13,1 season,,CLE,NBA,,29.0,412.0,16.9,0.539,0.258,0.275,8.5,22.3,15.4,15.2,1.9,6.7,13.5,16.1,,0.4,0.5,0.9,0.109,,-1.2,2.2,1.1,0.3
14,1 season,,DET,NBA,,11.0,188.0,17.1,0.67,0.098,0.255,8.3,20.8,14.5,9.3,2.1,4.5,20.9,16.7,,0.2,0.2,0.4,0.11,,-1.2,1.7,0.5,0.1
