,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,24.0,WSC,BAA,C,60.0,,,0.294,0.186,,,,,,-0.5,4.8,4.4,,
1,1947-48,25.0,WSC,BAA,C,48.0,,,0.28,0.167,,,,,,-1.5,2.4,0.9,,
2,1948-49,26.0,TOT,BAA,C,57.0,,,0.296,0.201,,,,,,-4.8,2.8,-2.0,,
3,1948-49,26.0,BLB,BAA,C,7.0,,,0.301,0.225,,,,,,-0.4,0.1,-0.3,,
4,1948-49,26.0,INJ,BAA,C,13.0,,,0.261,0.127,,,,,,-2.0,0.6,-1.5,,
5,1948-49,26.0,FTW,BAA,C,37.0,,,0.31,0.232,,,,,,-2.4,2.1,-0.3,,
6,1949-50,27.0,TOT,NBA,C,62.0,,,0.313,0.232,,,,,,-2.6,1.6,-1.0,,
7,1949-50,27.0,FTW,NBA,C,2.0,,,0.376,0.375,,,,,,0.0,0.1,0.1,,
8,1949-50,27.0,TRI,NBA,C,36.0,,,0.316,0.238,,,,,,-1.6,1.0,-0.6,,
9,1949-50,27.0,BOS,NBA,C,24.0,,,0.302,0.214,,,,,,-1.0,0.5,-0.5,,
10,1950-51,28.0,TOT,NBA,C,58.0,,,0.35,0.199,,,,,,-1.3,0.7,-0.6,,
11,1950-51,28.0,BOS,NBA,C,46.0,,,0.371,0.181,,,,,,-0.6,0.5,0.0,,
12,1950-51,28.0,INO,NBA,C,12.0,,,0.233,0.302,,,,,,-0.7,0.2,-0.5,,
13,1951-52,29.0,BOS,NBA,C,60.0,581.0,10.9,0.37,0.189,,,,,,-0.6,0.6,0.1,0.006,
14,1952-53,30.0,BOS,NBA,C,69.0,771.0,9.6,0.345,0.222,,,,,,-1.2,0.6,-0.6,-0.037,
15,Career,,,TOT,,414.0,1352.0,10.1,0.309,0.197,,,,,,-12.4,13.6,1.2,-0.018,
16,,,,NBA,,249.0,1352.0,10.1,0.338,0.214,,,,,,-5.7,3.6,-2.1,-0.018,
17,,,,BAA,,165.0,,,0.291,0.187,,,,,,-6.7,10.0,3.3,,
18,,,,,,,,,,,,,,,,,,,,
19,4 seasons,,BOS,NBA,,199.0,1352.0,10.1,0.352,0.2,,,,,,-3.4,2.3,-1.1,-0.018,
20,2 seasons,,WSC,BAA,,108.0,,,0.289,0.179,,,,,,-1.9,7.2,5.3,,
21,2 seasons,,FTW,BAA,,39.0,,,0.311,0.234,,,,,,-2.4,2.2,-0.2,,
22,1 season,,TRI,NBA,,36.0,,,0.316,0.238,,,,,,-1.6,1.0,-0.6,,
23,1 season,,INJ,BAA,,13.0,,,0.261,0.127,,,,,,-2.0,0.6,-1.5,,
24,1 season,,INO,NBA,,12.0,,,0.233,0.302,,,,,,-0.7,0.2,-0.5,,
25,1 season,,BLB,BAA,,7.0,,,0.301,0.225,,,,,,-0.4,0.1,-0.3,,
