,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1961-62,23.0,DET,NBA,PG,58.0,696.0,13.9,0.473,0.279,,,,,,0.7,0.6,1.3,0.088,
1,1962-63,24.0,DET,NBA,PG,46.0,752.0,9.8,0.418,0.233,,,,,,-0.5,0.6,0.0,0.001,
2,1963-64,25.0,TOT,NBA,PG,66.0,2326.0,12.7,0.498,0.321,,,,,,2.7,0.4,3.2,0.065,
3,1963-64,25.0,DET,NBA,PG,24.0,838.0,10.3,0.467,0.266,,,,,,0.4,0.3,0.7,0.043,
4,1963-64,25.0,NYK,NBA,PG,42.0,1488.0,14.1,0.513,0.349,,,,,,2.3,0.1,2.4,0.078,
5,1964-65,26.0,NYK,NBA,PG,74.0,1664.0,15.4,0.55,0.376,,,,21.6,,4.1,1.0,5.1,0.146,
6,1965-66,27.0,TOT,NBA,PG,76.0,1644.0,13.7,0.513,0.395,,,,21.4,,2.5,1.1,3.6,0.104,
7,1965-66,27.0,NYK,NBA,PG,7.0,58.0,10.4,0.417,0.625,,,,28.8,,0.0,0.0,0.0,-0.003,
8,1965-66,27.0,BAL,NBA,PG,69.0,1586.0,13.8,0.516,0.389,,,,21.1,,2.5,1.0,3.6,0.108,
9,1966-67,28.0,BAL,NBA,PG,71.0,1743.0,13.0,0.499,0.351,,,,20.1,,1.9,1.2,3.1,0.086,
10,1967-68,29.0,BAL,NBA,PG,67.0,930.0,13.9,0.472,0.441,,,,19.0,,0.4,1.0,1.4,0.074,
11,1968-69,30.0,LAL,NBA,PG,82.0,1805.0,11.3,0.495,0.402,,,,15.6,,1.8,1.3,3.1,0.082,
12,1969-70,31.0,LAL,NBA,PG,72.0,1627.0,9.6,0.486,0.246,,,,16.7,,0.6,1.5,2.0,0.06,
13,1970-71,32.0,TOT,NBA,PG,62.0,824.0,7.5,0.439,0.287,,,3.5,17.4,,-0.1,0.6,0.5,0.028,
14,1970-71,32.0,CLE,NBA,PG,26.0,410.0,9.4,0.476,0.286,,,3.8,19.1,,0.1,0.1,0.3,0.03,
15,1970-71,32.0,SDR,NBA,PG,36.0,414.0,5.6,0.394,0.288,,,3.3,15.6,,-0.3,0.5,0.2,0.026,
16,1971-72,33.0,HOU,NBA,PG,38.0,437.0,7.3,0.466,0.308,,,2.7,14.3,,0.0,0.5,0.5,0.056,
17,Career,,,NBA,,712.0,14448.0,12.2,0.493,0.343,,,3.2,18.7,,14.1,9.7,23.7,0.079,
18,,,,,,,,,,,,,,,,,,,,
19,3 seasons,,BAL,NBA,,207.0,4259.0,13.5,0.498,0.388,,,,20.2,,4.9,3.3,8.1,0.092,
20,2 seasons,,LAL,NBA,,154.0,3432.0,10.5,0.491,0.332,,,,16.2,,2.4,2.7,5.1,0.072,
21,3 seasons,,DET,NBA,,128.0,2286.0,11.2,0.453,0.259,,,,,,0.6,1.5,2.0,0.043,
22,3 seasons,,NYK,NBA,,123.0,3210.0,14.7,0.53,0.367,,,,21.8,,6.4,1.1,7.5,0.111,
23,2 seasons,,"SDR,HOU",NBA,,74.0,851.0,6.5,0.435,0.299,,,3.0,15.0,,-0.2,1.0,0.7,0.042,
24,1 season,,CLE,NBA,,26.0,410.0,9.4,0.476,0.286,,,3.8,19.1,,0.1,0.1,0.3,0.03,
