,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1990-91,22.0,NJN,NBA,SF,74.0,859.0,10.0,0.455,0.018,0.292,7.2,10.2,8.6,8.2,1.9,1.0,9.3,13.1,,0.4,0.8,1.2,0.065,,-2.3,0.2,-2.1,0.0
1,1991-92,23.0,TOT,NBA,SF,28.0,290.0,10.1,0.436,0.014,0.296,6.8,12.6,9.8,10.0,3.2,1.5,13.9,13.2,,0.0,0.4,0.4,0.061,,-2.3,2.3,0.0,0.2
2,1991-92,23.0,NJN,NBA,SF,2.0,29.0,11.8,0.5,0.0,0.0,7.1,0.0,3.7,9.3,3.4,2.0,11.1,12.5,,0.0,0.0,0.0,0.079,,0.0,2.9,2.9,0.0
3,1991-92,23.0,SAS,NBA,SF,11.0,140.0,10.0,0.486,0.0,0.3,4.7,12.4,8.6,10.5,2.9,1.3,12.8,11.7,,0.0,0.2,0.3,0.089,,-3.0,2.7,-0.3,0.1
4,1991-92,23.0,GSW,NBA,SF,15.0,121.0,9.8,0.379,0.03,0.364,9.2,16.0,12.7,9.6,3.5,1.5,15.5,15.0,,-0.1,0.2,0.1,0.024,,-1.9,1.5,-0.4,0.1
5,1992-93,24.0,GSW,NBA,SF,70.0,1287.0,11.5,0.495,0.146,0.216,7.0,9.9,8.5,9.9,1.8,0.9,11.1,15.7,,1.0,0.8,1.8,0.067,,-0.8,-0.3,-1.0,0.3
6,1993-94,25.0,GSW,NBA,SF,36.0,218.0,14.9,0.571,0.345,0.238,6.6,9.3,7.9,10.6,1.8,0.3,11.5,19.8,,0.4,0.1,0.5,0.112,,0.3,-1.0,-0.7,0.1
7,1994-95,26.0,CHI,NBA,SF,57.0,605.0,13.8,0.542,0.262,0.213,7.0,12.1,9.6,12.6,2.1,1.5,13.0,16.9,,0.7,0.9,1.5,0.122,,-0.3,0.6,0.3,0.4
8,1995-96,27.0,CHI,NBA,SF,74.0,740.0,14.1,0.552,0.372,0.091,7.1,10.4,8.7,11.1,2.4,0.7,13.4,17.3,,1.0,1.2,2.3,0.148,,0.8,1.0,1.7,0.7
9,1996-97,28.0,CHI,NBA,SF,76.0,703.0,9.8,0.423,0.342,0.089,7.3,12.8,10.1,11.4,1.7,2.2,14.1,12.1,,0.1,1.1,1.2,0.082,,-1.7,0.9,-0.9,0.2
10,1997-98,29.0,CHI,NBA,SF,74.0,608.0,14.1,0.554,0.369,0.034,4.5,10.0,7.3,12.8,2.0,1.8,10.5,14.7,,1.0,0.9,1.9,0.151,,1.0,1.8,2.8,0.7
11,1998-99,30.0,DET,NBA,SF,50.0,1056.0,12.2,0.553,0.617,0.075,3.3,12.1,7.7,9.1,1.9,1.0,7.8,12.1,,1.7,1.2,2.9,0.131,,1.1,1.0,2.1,1.1
12,1999-00,31.0,DET,NBA,SF,58.0,657.0,8.2,0.409,0.532,0.045,5.3,10.7,8.0,7.3,1.9,1.8,7.6,11.5,,0.0,0.5,0.5,0.037,,-1.2,0.5,-0.7,0.2
13,2000-01,32.0,DET,NBA,SF,57.0,737.0,9.9,0.57,0.47,0.073,2.9,11.0,6.8,8.4,1.4,1.0,12.9,11.4,,0.8,0.7,1.5,0.098,,-1.8,0.9,-0.9,0.2
14,2001-02,33.0,TOT,NBA,SF,66.0,684.0,7.8,0.463,0.508,0.034,4.7,14.3,9.5,6.5,1.6,0.8,11.1,8.8,,0.2,0.6,0.8,0.059,,-2.4,0.2,-2.2,0.0
15,2001-02,33.0,PHO,NBA,SF,6.0,54.0,5.1,0.5,1.0,0.0,4.1,12.7,8.4,7.5,1.0,0.0,14.3,5.8,,0.0,0.0,0.1,0.064,,-3.3,-0.5,-3.8,0.0
16,2001-02,33.0,ORL,NBA,SF,60.0,630.0,8.0,0.461,0.482,0.036,4.8,14.5,9.6,6.5,1.6,0.9,11.0,9.1,,0.2,0.6,0.8,0.058,,-2.3,0.2,-2.1,0.0
17,Career,,,NBA,,720.0,8444.0,11.2,0.505,0.323,0.142,5.7,11.2,8.5,9.7,1.9,1.2,11.2,13.6,,7.2,9.2,16.5,0.094,,-0.7,0.6,-0.1,4.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4 seasons,,CHI,NBA,,281.0,2656.0,12.9,0.524,0.339,0.107,6.6,11.3,8.9,11.9,2.1,1.5,12.8,15.3,,2.8,4.1,6.9,0.125,,-0.1,1.1,1.0,2.0
20,3 seasons,,DET,NBA,,165.0,2450.0,10.4,0.518,0.55,0.066,3.7,11.4,7.5,8.4,1.8,1.2,9.3,11.7,,2.5,2.4,4.9,0.096,,-0.4,0.8,0.4,1.5
21,3 seasons,,GSW,NBA,,121.0,1626.0,11.9,0.5,0.171,0.229,7.1,10.3,8.7,10.0,1.9,0.9,11.4,16.2,,1.3,1.1,2.4,0.07,,-0.7,-0.2,-0.9,0.4
22,2 seasons,,NJN,NBA,,76.0,888.0,10.0,0.456,0.017,0.282,7.2,9.8,8.4,8.2,1.9,1.1,9.3,13.1,,0.4,0.8,1.2,0.065,,-2.2,0.3,-1.9,0.0
23,1 season,,ORL,NBA,,60.0,630.0,8.0,0.461,0.482,0.036,4.8,14.5,9.6,6.5,1.6,0.9,11.0,9.1,,0.2,0.6,0.8,0.058,,-2.3,0.2,-2.1,0.0
24,1 season,,SAS,NBA,,11.0,140.0,10.0,0.486,0.0,0.3,4.7,12.4,8.6,10.5,2.9,1.3,12.8,11.7,,0.0,0.2,0.3,0.089,,-3.0,2.7,-0.3,0.1
25,1 season,,PHO,NBA,,6.0,54.0,5.1,0.5,1.0,0.0,4.1,12.7,8.4,7.5,1.0,0.0,14.3,5.8,,0.0,0.0,0.1,0.064,,-3.3,-0.5,-3.8,0.0
