,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2015-16,22.0,DAL,NBA,SF,55.0,647.0,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,,0.3,0.8,1.1,0.083,,-1.1,1.4,0.3,0.4
1,2016-17,23.0,TOT,NBA,SF,75.0,1228.0,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,,0.6,1.3,1.9,0.074,,-0.9,-0.4,-1.3,0.2
2,2016-17,23.0,DAL,NBA,SF,51.0,710.0,14.7,0.521,0.44,0.318,6.1,18.9,12.2,7.6,2.1,2.0,11.2,23.6,,0.1,0.9,1.0,0.067,,-1.0,0.0,-1.0,0.2
3,2016-17,23.0,PHI,NBA,SF,24.0,518.0,12.8,0.564,0.444,0.253,6.4,14.1,10.2,10.4,1.2,1.1,12.6,17.2,,0.5,0.4,0.9,0.084,,-0.8,-1.0,-1.9,0.0
4,2017-18,24.0,PHI,NBA,SF,38.0,519.0,13.0,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,,0.6,0.7,1.2,0.115,,-0.6,-0.3,-0.9,0.1
5,2018-19,25.0,ATL,NBA,SF,48.0,463.0,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,,0.1,0.4,0.4,0.043,,-2.4,-0.3,-2.7,-0.1
6,2019-20,26.0,BRK,NBA,SG,10.0,107.0,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,,-0.2,0.1,-0.1,-0.054,,-6.8,-1.0,-7.7,-0.2
7,2021-22,28.0,TOT,NBA,SF,16.0,316.0,10.4,0.493,0.621,0.2,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,,0.2,0.2,0.4,0.054,,-1.9,-1.3,-3.2,-0.1
8,2021-22,28.0,CLE,NBA,SF,3.0,47.0,10.7,0.666,0.75,0.5,0.0,13.8,7.1,17.3,1.1,0.0,17.0,11.1,,0.1,0.0,0.1,0.124,,-3.0,0.4,-2.6,0.0
9,2021-22,28.0,IND,NBA,SF,13.0,269.0,10.3,0.475,0.609,0.172,1.6,15.2,8.3,13.6,1.3,1.9,6.0,15.8,,0.1,0.1,0.2,0.041,,-1.7,-1.6,-3.3,-0.1
10,Career,,,NBA,,242.0,3280.0,12.4,0.522,0.493,0.253,4.7,16.3,10.4,8.4,1.6,2.1,10.3,18.4,,1.4,3.5,4.9,0.072,,-1.4,-0.1,-1.5,0.4
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2 seasons,,DAL,NBA,,106.0,1357.0,13.5,0.521,0.454,0.316,4.6,19.1,11.7,7.2,1.8,2.6,11.1,19.9,,0.4,1.7,2.1,0.075,,-1.1,0.7,-0.4,0.6
13,2 seasons,,PHI,NBA,,62.0,1037.0,12.9,0.55,0.481,0.217,5.9,13.8,9.9,8.7,1.3,1.1,9.5,18.3,,1.1,1.1,2.1,0.099,,-0.7,-0.7,-1.4,0.2
14,1 season,,ATL,NBA,,48.0,463.0,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,,0.1,0.4,0.4,0.043,,-2.4,-0.3,-2.7,-0.1
15,1 season,,IND,NBA,,13.0,269.0,10.3,0.475,0.609,0.172,1.6,15.2,8.3,13.6,1.3,1.9,6.0,15.8,,0.1,0.1,0.2,0.041,,-1.7,-1.6,-3.3,-0.1
16,1 season,,BRK,NBA,,10.0,107.0,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,,-0.2,0.1,-0.1,-0.054,,-6.8,-1.0,-7.7,-0.2
17,1 season,,CLE,NBA,,3.0,47.0,10.7,0.666,0.75,0.5,0.0,13.8,7.1,17.3,1.1,0.0,17.0,11.1,,0.1,0.0,0.1,0.124,,-3.0,0.4,-2.6,0.0
