,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2019-20,22.0,UTA,NBA,PF,21.0,134.0,10.1,0.648,0.308,0.154,8.5,15.1,11.9,6.2,0.4,1.2,17.8,11.0,,0.2,0.1,0.3,0.106,,-2.9,-0.3,-3.2,0.0
1,2020-21,23.0,UTA,NBA,PF,29.0,147.0,8.5,0.529,0.433,0.233,6.8,13.1,10.1,8.0,1.3,0.6,10.8,10.9,,0.1,0.2,0.3,0.105,,-3.5,1.2,-2.3,0.0
2,2021-22,24.0,TOT,NBA,PF,2.0,31.0,8.3,0.833,0.667,0.0,6.6,7.4,7.0,4.2,0.0,0.0,0.0,4.1,,0.1,0.0,0.1,0.124,,-3.3,-3.9,-7.1,0.0
3,2021-22,24.0,TOR,NBA,PF,1.0,27.0,9.5,0.833,0.667,0.0,7.6,8.5,8.0,4.8,0.0,0.0,0.0,4.8,,0.1,0.0,0.1,0.139,,-3.2,-4.2,-7.3,0.0
4,2021-22,24.0,BOS,NBA,PF,1.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.024,,-4.0,-2.0,-6.0,0.0
5,Career,,,NBA,,52.0,312.0,9.2,0.595,0.39,0.186,7.5,13.4,10.6,6.9,0.8,0.8,13.5,10.3,,0.4,0.3,0.7,0.107,,-3.2,0.1,-3.2,-0.1
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2 seasons,,UTA,NBA,,50.0,281.0,9.2,0.583,0.375,0.196,7.6,14.1,11.0,7.2,0.9,0.9,14.1,10.9,,0.3,0.3,0.6,0.106,,-3.2,0.5,-2.7,-0.1
8,1 season,,BOS,NBA,,1.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.024,,-4.0,-2.0,-6.0,0.0
9,1 season,,TOR,NBA,,1.0,27.0,9.5,0.833,0.667,0.0,7.6,8.5,8.0,4.8,0.0,0.0,0.0,4.8,,0.1,0.0,0.1,0.139,,-3.2,-4.2,-7.3,0.0
