,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,23.0,CHI,NBA,SF,3.0,26.0,16.2,0.511,,0.444,,,,11.2,,,,0.0,0.0,0.1,0.125,
1,1968-69,24.0,TOT,TOT,SF,51.0,479.0,13.3,0.412,0.0,0.364,,,19.5,7.7,17.0,22.1,,-0.6,0.7,0.0,0.004,
2,1968-69,24.0,TOT,ABA,SF,47.0,465.0,13.4,0.414,0.0,0.359,,,19.5,7.6,17.0,22.1,,-0.6,0.6,0.1,0.008,
3,1968-69,24.0,CHI,NBA,SF,4.0,14.0,9.9,0.359,,0.5,,,,11.3,,,,-0.1,0.0,0.0,-0.123,
4,1968-69,24.0,NYA,ABA,SF,4.0,22.0,1.7,0.418,0.0,1.125,,,8.1,12.2,25.1,26.5,,0.0,0.0,0.0,-0.031,
5,1968-69,24.0,DNR,ABA,SF,37.0,409.0,15.1,0.422,0.0,0.315,,,19.7,7.4,15.2,22.2,,-0.4,0.5,0.1,0.014,
6,1968-69,24.0,MNP,ABA,SF,6.0,34.0,1.5,0.268,0.0,0.556,,,23.5,7.2,34.9,17.9,,-0.1,0.1,0.0,-0.037,
7,Career,,,TOT,,54.0,505.0,13.5,0.416,0.0,0.367,,,19.5,7.9,17.0,22.1,,-0.6,0.7,0.1,0.01,
8,,,,ABA,,47.0,465.0,13.4,0.414,0.0,0.359,,,19.5,7.6,17.0,22.1,,-0.6,0.6,0.1,0.008,
9,,,,NBA,,7.0,40.0,14.0,0.439,,0.471,,,,11.2,,,,0.0,0.1,0.0,0.038,
10,,,,,,,,,,,,,,,,,,,,,,,
11,1 season,,DNR,ABA,,37.0,409.0,15.1,0.422,0.0,0.315,,,19.7,7.4,15.2,22.2,,-0.4,0.5,0.1,0.014,
12,2 seasons,,CHI,NBA,,7.0,40.0,14.0,0.439,,0.471,,,,11.2,,,,0.0,0.1,0.0,0.038,
13,1 season,,MNP,ABA,,6.0,34.0,1.5,0.268,0.0,0.556,,,23.5,7.2,34.9,17.9,,-0.1,0.1,0.0,-0.037,
14,1 season,,NYA,ABA,,4.0,22.0,1.7,0.418,0.0,1.125,,,8.1,12.2,25.1,26.5,,0.0,0.0,0.0,-0.031,
