,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2012-13,21.0,PHO,NBA,PG,48.0,702.0,7.8,0.455,0.483,0.093,0.6,6.3,3.4,29.4,1.6,0.4,26.6,13.6,,-0.4,0.2,-0.2,-0.012,,-3.5,-1.7,-5.2,-0.6
1,2013-14,22.0,LAL,NBA,PG,54.0,1564.0,12.6,0.494,0.425,0.086,1.0,9.6,5.3,44.3,1.5,0.2,25.6,16.3,,0.6,0.3,0.9,0.029,,0.0,-2.4,-2.4,-0.2
2,2014-15,23.0,MIL,NBA,PG,28.0,417.0,12.4,0.562,0.455,0.089,0.6,7.1,3.8,31.1,2.6,0.0,25.0,15.1,,0.3,0.5,0.8,0.088,,-0.7,-0.1,-0.8,0.1
3,2015-16,24.0,PHI,NBA,PG,30.0,400.0,6.7,0.449,0.415,0.11,0.5,7.3,3.8,28.4,2.0,0.4,25.8,18.3,,-0.7,0.1,-0.5,-0.064,,-4.7,-2.6,-7.3,-0.5
4,Career,,,NBA,,160.0,3083.0,10.7,0.489,0.439,0.091,0.8,8.2,4.5,37.1,1.7,0.2,25.8,15.8,,-0.2,1.2,1.0,0.015,,-1.5,-1.9,-3.5,-1.1
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1 season,,LAL,NBA,,54.0,1564.0,12.6,0.494,0.425,0.086,1.0,9.6,5.3,44.3,1.5,0.2,25.6,16.3,,0.6,0.3,0.9,0.029,,0.0,-2.4,-2.4,-0.2
7,1 season,,PHO,NBA,,48.0,702.0,7.8,0.455,0.483,0.093,0.6,6.3,3.4,29.4,1.6,0.4,26.6,13.6,,-0.4,0.2,-0.2,-0.012,,-3.5,-1.7,-5.2,-0.6
8,1 season,,PHI,NBA,,30.0,400.0,6.7,0.449,0.415,0.11,0.5,7.3,3.8,28.4,2.0,0.4,25.8,18.3,,-0.7,0.1,-0.5,-0.064,,-4.7,-2.6,-7.3,-0.5
9,1 season,,MIL,NBA,,28.0,417.0,12.4,0.562,0.455,0.089,0.6,7.1,3.8,31.1,2.6,0.0,25.0,15.1,,0.3,0.5,0.8,0.088,,-0.7,-0.1,-0.8,0.1
