,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1996-97,22.0,NJN,NBA,SG,82.0,3012.0,16.0,0.523,0.352,0.191,3.6,8.1,5.7,14.0,2.7,0.9,9.0,20.1,,5.1,1.8,6.9,0.11,,1.4,0.4,1.8,2.9
1,1997-98,23.0,NJN,NBA,SG,77.0,2814.0,17.5,0.525,0.228,0.217,5.1,10.1,7.4,10.6,2.5,1.0,7.7,21.2,,6.2,2.2,8.4,0.144,,2.9,0.2,3.1,3.7
2,1998-99,24.0,NJN,NBA,SG,46.0,1570.0,13.5,0.446,0.258,0.186,3.5,10.4,6.7,13.3,2.6,1.2,9.1,20.5,,0.6,1.2,1.8,0.054,,-0.1,0.1,0.0,0.8
3,1999-00,25.0,NJN,NBA,SG,62.0,1896.0,16.1,0.535,0.344,0.182,2.6,10.9,6.6,12.7,2.2,0.7,6.9,19.0,,3.5,1.2,4.7,0.119,,1.7,0.0,1.6,1.7
4,2001-02,27.0,NJN,NBA,SG,82.0,2601.0,16.1,0.542,0.257,0.183,2.9,9.0,5.9,13.9,2.6,0.9,9.7,19.4,,3.8,3.9,7.7,0.141,,1.2,1.4,2.6,3.0
5,2002-03,28.0,NJN,NBA,SG,65.0,1951.0,18.3,0.55,0.308,0.19,3.1,11.7,7.4,15.4,2.7,1.2,6.7,19.1,,4.2,3.4,7.7,0.188,,2.5,2.1,4.7,3.3
6,2003-04,29.0,NJN,NBA,SG,82.0,2842.0,14.7,0.526,0.288,0.142,2.3,11.2,6.8,12.9,2.4,1.1,8.5,18.4,,3.1,4.5,7.6,0.128,,0.4,1.2,1.6,2.6
7,2004-05,30.0,LAC,NBA,SG,11.0,243.0,10.0,0.446,0.288,0.137,0.5,14.9,7.9,13.4,1.8,0.9,8.3,16.1,,0.0,0.2,0.2,0.04,,-1.6,0.7,-0.9,0.1
8,Career,,,NBA,,507.0,16929.0,16.0,0.523,0.29,0.185,3.3,10.1,6.6,13.2,2.5,1.0,8.3,19.6,,26.4,18.5,44.8,0.127,,1.4,0.8,2.2,18.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7 seasons,,NJN,NBA,,496.0,16686.0,16.1,0.524,0.29,0.185,3.3,10.1,6.6,13.2,2.5,1.0,8.3,19.7,,26.4,18.2,44.6,0.128,,1.5,0.8,2.3,18.0
11,1 season,,LAC,NBA,,11.0,243.0,10.0,0.446,0.288,0.137,0.5,14.9,7.9,13.4,1.8,0.9,8.3,16.1,,0.0,0.2,0.2,0.04,,-1.6,0.7,-0.9,0.1
