,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1973-74,22.0,TOT,NBA,C,64.0,701.0,12.6,0.503,,0.153,12.4,19.4,16.0,7.9,0.6,4.0,,,,0.3,0.7,1.0,0.066,,-2.9,0.2,-2.7,-0.1
1,1973-74,22.0,BUF,NBA,C,39.0,340.0,12.1,0.504,,0.158,12.9,17.9,15.5,9.2,0.6,3.6,,,,0.1,0.3,0.4,0.057,,-3.6,0.3,-3.3,-0.1
2,1973-74,22.0,HOU,NBA,C,25.0,361.0,13.0,0.502,,0.149,12.0,20.8,16.4,6.7,0.6,4.3,,,,0.2,0.4,0.6,0.075,,-2.3,0.1,-2.2,0.0
3,1974-75,23.0,HOU,NBA,C,75.0,1801.0,17.7,0.538,,0.25,13.2,25.9,19.6,8.8,0.9,2.6,,,,3.0,2.1,5.1,0.136,,1.1,-0.6,0.5,1.1
4,1975-76,24.0,HOU,NBA,C,80.0,2335.0,16.4,0.505,,0.164,12.8,23.4,18.3,9.5,1.1,2.4,,,,2.6,2.2,4.8,0.099,,0.1,-0.7,-0.6,0.8
5,1976-77,25.0,HOU,NBA,C,81.0,2050.0,14.8,0.513,,0.184,11.6,23.6,17.8,10.3,0.8,2.8,,,,2.1,2.0,4.1,0.097,,-0.7,0.3,-0.4,0.8
6,1977-78,26.0,HOU,NBA,C,80.0,2152.0,13.6,0.46,,0.16,12.6,21.9,17.1,6.2,1.0,2.2,13.5,19.3,,1.2,1.4,2.6,0.058,,-1.4,-1.3,-2.8,-0.4
7,1978-79,27.0,SDC,NBA,C,81.0,1684.0,12.8,0.487,,0.17,12.7,23.2,18.0,8.3,1.2,3.5,20.8,15.3,,0.5,1.8,2.3,0.066,,-1.9,0.6,-1.3,0.3
8,1979-80,28.0,POR,NBA,C,18.0,302.0,13.5,0.474,0.0,0.377,13.3,27.7,20.4,13.8,1.1,4.2,23.6,23.6,,-0.3,0.5,0.2,0.032,,-3.9,1.1,-2.8,-0.1
9,1980-81,29.0,POR,NBA,C,55.0,842.0,12.7,0.509,0.0,0.25,12.6,24.5,18.5,9.7,0.9,2.1,17.3,13.6,,0.8,1.1,1.9,0.106,,-1.6,0.2,-1.4,0.1
10,1981-82,30.0,POR,NBA,C,21.0,237.0,6.4,0.442,0.0,0.354,9.5,21.5,15.5,9.1,0.6,1.4,24.5,12.7,,-0.2,0.2,0.0,0.009,,-4.8,0.0,-4.8,-0.2
11,Career,,,NBA,,555.0,12104.0,14.6,0.499,0.0,0.192,12.5,23.4,18.0,8.8,1.0,2.7,17.3,17.0,,9.9,12.1,22.0,0.087,,-0.9,-0.3,-1.2,2.4
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5 seasons,,HOU,NBA,,341.0,8699.0,15.5,0.502,,0.184,12.5,23.5,18.1,8.6,0.9,2.5,13.5,19.3,,9.1,8.1,17.2,0.095,,-0.4,-0.6,-0.9,2.4
14,2 seasons,,"BUF,SDC",NBA,,120.0,2024.0,12.7,0.49,,0.168,12.8,22.3,17.5,8.5,1.1,3.6,20.8,15.3,,0.6,2.1,2.7,0.064,,-2.2,0.6,-1.6,0.2
15,3 seasons,,POR,NBA,,94.0,1381.0,11.8,0.489,0.0,0.302,12.2,24.7,18.4,10.5,0.9,2.4,20.3,15.7,,0.2,1.9,2.1,0.073,,-2.6,0.4,-2.3,-0.1
