,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,23.0,TOT,BAA,,32.0,,,0.335,0.284,,,,,,1.3,0.6,1.9,,
1,1946-47,23.0,CLR,BAA,,11.0,,,0.292,0.224,,,,,,0.0,0.1,0.1,,
2,1946-47,23.0,TRH,BAA,,21.0,,,0.344,0.297,,,,,,1.3,0.4,1.8,,
3,1947-48,24.0,BLB,BAA,,48.0,,,0.332,0.297,,,,,,1.6,1.3,2.9,,
4,1948-49,25.0,WSC,BAA,,60.0,,,0.38,0.392,,,,,,1.3,3.0,4.3,,
5,1949-50,26.0,CHS,NBA,,67.0,,,0.377,0.402,,,,,,-0.2,3.3,3.0,,
6,1950-51,27.0,TOT,NBA,,71.0,,,0.356,0.368,,,,,,-2.2,2.0,-0.2,,
7,1950-51,27.0,TRI,NBA,,48.0,,,0.358,0.415,,,,,,-1.5,1.7,0.2,,
8,1950-51,27.0,BOS,NBA,,23.0,,,0.35,0.257,,,,,,-0.8,0.3,-0.5,,
9,1952-53,29.0,TOT,NBA,,10.0,62.0,-6.2,0.166,0.161,,,,,,-0.6,0.1,-0.5,-0.418,
10,1952-53,29.0,BOS,NBA,,4.0,22.0,-14.2,0.051,0.222,,,,,,-0.3,0.0,-0.2,-0.518,
11,1952-53,29.0,INO,NBA,,6.0,40.0,-1.9,0.214,0.136,,,,,,-0.4,0.1,-0.3,-0.364,
12,Career,,,TOT,,288.0,62.0,-6.2,0.356,0.351,,,,,,1.2,10.2,11.4,-0.418,
13,,,,NBA,,148.0,62.0,-6.2,0.362,0.379,,,,,,-3.1,5.4,2.3,-0.418,
14,,,,BAA,,140.0,,,0.353,0.333,,,,,,4.3,4.8,9.1,,
15,,,,,,,,,,,,,,,,,,,,
16,1 season,,CHS,NBA,,67.0,,,0.377,0.402,,,,,,-0.2,3.3,3.0,,
17,1 season,,WSC,BAA,,60.0,,,0.38,0.392,,,,,,1.3,3.0,4.3,,
18,1 season,,TRI,NBA,,48.0,,,0.358,0.415,,,,,,-1.5,1.7,0.2,,
19,1 season,,BLB,BAA,,48.0,,,0.332,0.297,,,,,,1.6,1.3,2.9,,
20,2 seasons,,BOS,NBA,,27.0,22.0,-14.2,0.337,0.255,,,,,,-1.0,0.3,-0.7,-0.518,
21,1 season,,TRH,BAA,,21.0,,,0.344,0.297,,,,,,1.3,0.4,1.8,,
22,1 season,,CLR,BAA,,11.0,,,0.292,0.224,,,,,,0.0,0.1,0.1,,
23,1 season,,INO,NBA,,6.0,40.0,-1.9,0.214,0.136,,,,,,-0.4,0.1,-0.3,-0.364,
