,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1976-77,22.0,WSB,NBA,PG,78.0,1421.0,13.0,0.474,,0.193,2.4,4.7,3.5,23.1,1.8,0.2,,,,0.3,1.1,1.4,0.048,,-1.8,-0.7,-2.5,-0.2
1,1977-78,23.0,WSB,NBA,PG,70.0,1466.0,13.7,0.52,,0.188,2.1,4.8,3.4,25.0,2.1,0.5,17.8,19.3,,1.5,1.2,2.7,0.088,,-0.8,0.2,-0.7,0.5
2,1978-79,24.0,WSB,NBA,PG,73.0,1658.0,13.7,0.511,,0.285,3.0,5.6,4.3,22.5,1.9,0.4,15.2,18.0,,2.0,1.5,3.5,0.101,,-0.3,0.2,-0.1,0.8
3,1979-80,25.0,WSB,NBA,PG,76.0,1286.0,13.3,0.51,0.032,0.216,3.1,6.5,4.8,23.9,1.8,0.7,16.5,20.1,,0.8,1.0,1.8,0.069,,-1.1,0.1,-1.0,0.3
4,1980-81,26.0,DET,NBA,PG,45.0,997.0,11.1,0.504,0.023,0.218,2.9,7.7,5.1,22.6,2.0,0.4,18.2,16.5,,0.4,0.9,1.2,0.06,,-2.2,0.1,-2.1,0.0
5,1981-82,27.0,DET,NBA,PG,1.0,6.0,-17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,13.0,,0.0,0.0,0.0,-0.349,,-5.1,-0.2,-5.3,0.0
6,Career,,,NBA,,343.0,6834.0,13.1,0.503,0.009,0.22,2.7,5.7,4.2,23.4,1.9,0.4,16.8,18.6,,4.9,5.7,10.6,0.074,,-1.2,0.0,-1.2,1.4
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,WSB,NBA,,297.0,5831.0,13.4,0.503,0.007,0.221,2.6,5.4,4.0,23.6,1.9,0.4,16.5,19.0,,4.6,4.8,9.4,0.077,,-1.0,0.0,-1.0,1.4
9,2 seasons,,DET,NBA,,46.0,1003.0,10.9,0.503,0.023,0.217,2.8,7.6,5.1,22.5,2.0,0.4,18.4,16.4,,0.3,0.9,1.2,0.057,,-2.3,0.1,-2.2,-0.1
