,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1974-75,22.0,INA,ABA,C,77.0,1414.0,12.4,0.451,0.002,0.178,9.6,17.6,13.4,3.1,2.2,3.4,12.8,17.2,,0.2,1.9,2.2,0.074,,-3.4,0.3,-3.1,-0.4
1,1975-76,23.0,INA,ABA,PF,76.0,2591.0,14.3,0.433,0.003,0.173,8.1,21.4,14.4,6.4,2.3,3.5,12.0,20.9,,-1.1,4.4,3.4,0.062,,-2.4,0.9,-1.5,0.3
2,1976-77,24.0,IND,NBA,C,6.0,46.0,12.8,0.469,,0.294,14.4,17.3,15.8,5.9,0.0,4.5,,,,0.0,0.0,0.0,0.039,,-4.0,-0.3,-4.3,0.0
3,1977-78,25.0,IND,NBA,C,69.0,1327.0,12.5,0.419,,0.342,9.9,21.1,15.4,7.8,2.5,2.8,14.1,14.6,,0.1,2.1,2.1,0.078,,-1.5,1.4,-0.1,0.6
4,1978-79,26.0,IND,NBA,C,80.0,1264.0,12.2,0.444,,0.228,9.4,23.4,16.4,7.4,2.2,3.3,16.2,13.9,,-0.1,2.2,2.1,0.079,,-2.3,1.9,-0.3,0.5
5,1979-80,27.0,KCK,NBA,C,58.0,915.0,10.6,0.472,0.0,0.306,8.4,22.2,15.0,8.8,2.1,2.5,19.6,14.9,,-0.3,1.8,1.5,0.08,,-3.5,2.1,-1.4,0.1
6,1980-81,28.0,MIL,NBA,C,72.0,925.0,8.6,0.42,0.0,0.354,8.4,16.3,12.4,8.7,1.9,3.2,15.2,12.2,,0.0,1.6,1.6,0.083,,-3.5,2.1,-1.4,0.1
7,1981-82,29.0,NJN,NBA,C,81.0,2100.0,11.8,0.506,0.0,0.261,8.9,14.9,11.9,6.4,2.0,2.6,15.8,16.4,,0.5,3.6,4.1,0.094,,-2.2,1.4,-0.8,0.6
8,1982-83,30.0,NJN,NBA,C,74.0,975.0,8.2,0.441,0.004,0.344,9.5,18.0,13.8,5.1,2.1,2.3,22.8,14.7,,-1.0,1.9,0.9,0.045,,-4.0,1.4,-2.6,-0.2
9,1983-84,31.0,NYK,NBA,PF,65.0,832.0,6.1,0.446,0.0,0.242,9.1,15.0,12.1,4.6,1.7,2.2,20.9,11.0,,-0.5,1.4,0.9,0.053,,-4.5,1.5,-3.0,-0.2
10,Career,,,TOT,,658.0,12389.0,11.5,0.45,0.001,0.241,9.0,19.0,13.9,6.4,2.1,3.0,15.1,16.1,,-2.2,21.0,18.9,0.073,,-2.8,1.3,-1.5,1.6
11,,,,NBA,,505.0,8384.0,10.5,0.458,0.0,0.291,9.1,18.5,13.8,7.0,2.1,2.7,17.2,14.4,,-1.3,14.6,13.3,0.076,,-2.8,1.6,-1.2,1.6
12,,,,ABA,,153.0,4005.0,13.6,0.439,0.002,0.174,8.6,20.0,14.0,5.2,2.3,3.5,12.3,19.6,,-0.8,6.4,5.5,0.066,,-2.7,0.7,-2.1,-0.1
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5 seasons,,"INA,IND",ABA,,308.0,6642.0,13.1,0.436,0.002,0.209,9.1,20.9,14.8,6.2,2.3,3.3,13.2,17.5,,-0.9,10.7,9.8,0.071,,-2.4,1.0,-1.4,1.0
15,2 seasons,,NJN,NBA,,155.0,3075.0,10.7,0.488,0.001,0.283,9.1,15.9,12.5,6.0,2.1,2.5,17.9,15.9,,-0.5,5.5,5.0,0.078,,-2.8,1.4,-1.4,0.5
16,1 season,,MIL,NBA,,72.0,925.0,8.6,0.42,0.0,0.354,8.4,16.3,12.4,8.7,1.9,3.2,15.2,12.2,,0.0,1.6,1.6,0.083,,-3.5,2.1,-1.4,0.1
17,1 season,,NYK,NBA,,65.0,832.0,6.1,0.446,0.0,0.242,9.1,15.0,12.1,4.6,1.7,2.2,20.9,11.0,,-0.5,1.4,0.9,0.053,,-4.5,1.5,-3.0,-0.2
18,1 season,,KCK,NBA,,58.0,915.0,10.6,0.472,0.0,0.306,8.4,22.2,15.0,8.8,2.1,2.5,19.6,14.9,,-0.3,1.8,1.5,0.08,,-3.5,2.1,-1.4,0.1
