,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2005-06,21.0,DEN,NBA,PF,61.0,519.0,13.2,0.51,0.075,0.468,8.7,17.4,13.1,4.6,1.0,1.9,7.1,19.4,,0.6,0.6,1.2,0.111,,-2.9,-0.8,-3.7,-0.2
1,2006-07,22.0,DEN,NBA,PF,79.0,1488.0,11.1,0.561,0.466,0.285,5.9,14.1,10.1,4.5,0.9,0.7,12.9,17.6,,1.6,1.2,2.8,0.09,,-1.6,-0.9,-2.5,-0.2
2,2007-08,23.0,DEN,NBA,SF,79.0,1889.0,14.4,0.585,0.42,0.323,5.4,13.5,9.5,7.5,1.1,0.7,10.6,18.9,,3.1,1.6,4.7,0.119,,0.2,-1.1,-0.9,0.5
3,2008-09,24.0,DEN,NBA,SF,82.0,1824.0,13.2,0.552,0.413,0.316,6.0,14.5,10.4,5.7,0.9,0.6,10.0,20.0,,2.1,1.5,3.6,0.095,,0.0,-1.5,-1.5,0.2
4,2010-11,26.0,TOR,NBA,SF,39.0,1032.0,10.1,0.502,0.323,0.16,4.1,16.5,10.2,6.2,1.0,0.5,13.0,21.7,,-0.5,0.2,-0.3,-0.012,,-2.4,-2.3,-4.7,-0.7
5,2011-12,27.0,TOR,NBA,SF,49.0,1057.0,12.4,0.521,0.437,0.244,4.7,17.2,11.0,7.9,1.2,0.3,12.4,23.1,,0.5,1.0,1.5,0.066,,-0.8,-1.2,-2.0,0.0
6,2012-13,28.0,TOR,NBA,SF,20.0,376.0,8.2,0.46,0.458,0.264,3.1,13.5,8.2,6.9,0.6,0.4,8.0,21.6,,-0.1,0.2,0.1,0.013,,-3.0,-2.4,-5.4,-0.3
7,Career,,,NBA,,409.0,8185.0,12.4,0.543,0.396,0.287,5.5,15.0,10.3,6.2,1.0,0.7,11.1,20.0,,7.4,6.3,13.6,0.08,,-1.0,-1.3,-2.3,-0.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,DEN,NBA,,301.0,5720.0,13.0,0.561,0.399,0.324,6.0,14.4,10.3,5.9,1.0,0.8,10.7,19.0,,7.4,4.9,12.3,0.103,,-0.6,-1.1,-1.7,0.4
10,3 seasons,,TOR,NBA,,108.0,2465.0,10.8,0.504,0.392,0.211,4.2,16.4,10.2,7.0,1.0,0.4,12.0,22.3,,0.0,1.3,1.3,0.025,,-1.8,-1.8,-3.6,-1.0
