,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2000-01,25.0,TOR,NBA,C,3.0,10.0,6.6,0.41,0.0,0.5,11.0,11.6,11.3,0.0,0.0,0.0,0.0,21.8,,0.0,0.0,0.0,0.083,,-7.1,-4.7,-11.7,0.0
1,2001-02,26.0,TOR,NBA,C,5.0,46.0,20.6,0.694,0.0,1.0,14.5,12.9,13.7,0.0,0.0,3.2,6.5,15.3,,0.2,0.0,0.3,0.265,,2.1,0.1,2.1,0.0
2,2002-03,27.0,TOR,NBA,C,22.0,364.0,13.5,0.514,0.0,0.49,8.7,17.3,12.8,3.2,1.2,6.2,15.3,17.3,,0.2,0.4,0.6,0.075,,-3.9,0.2,-3.7,-0.2
3,2003-04,28.0,TOT,NBA,C,28.0,366.0,12.9,0.516,0.0,0.855,13.4,21.1,17.3,0.0,1.2,5.0,15.9,14.0,,0.4,0.4,0.8,0.104,,-3.9,-1.4,-5.3,-0.3
4,2003-04,28.0,DAL,NBA,C,3.0,7.0,-8.1,0.0,0.0,0.0,0.0,16.0,7.8,0.0,0.0,10.6,50.0,12.5,,-0.1,0.0,0.0,-0.306,,-16.4,-0.8,-17.2,0.0
5,2003-04,28.0,ATL,NBA,C,25.0,359.0,13.3,0.521,0.0,0.868,13.7,21.2,17.5,0.0,1.2,4.9,15.3,14.1,,0.4,0.4,0.8,0.112,,-3.7,-1.4,-5.1,-0.3
6,2004-05,29.0,LAC,NBA,C,11.0,72.0,10.6,0.433,0.05,0.35,15.5,14.6,15.0,2.2,0.7,5.2,0.0,14.8,,0.1,0.1,0.2,0.115,,-4.0,-0.5,-4.5,0.0
7,Career,,,NBA,,69.0,858.0,13.3,0.516,0.005,0.628,11.6,18.4,15.0,1.5,1.1,5.4,13.6,15.6,,0.9,0.9,1.8,0.101,,-3.6,-0.6,-4.2,-0.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,TOR,NBA,,30.0,420.0,14.1,0.53,0.0,0.536,9.4,16.7,12.9,2.8,1.0,5.7,13.9,17.2,,0.4,0.4,0.8,0.096,,-3.3,0.0,-3.3,-0.1
10,1 season,,ATL,NBA,,25.0,359.0,13.3,0.521,0.0,0.868,13.7,21.2,17.5,0.0,1.2,4.9,15.3,14.1,,0.4,0.4,0.8,0.112,,-3.7,-1.4,-5.1,-0.3
11,1 season,,LAC,NBA,,11.0,72.0,10.6,0.433,0.05,0.35,15.5,14.6,15.0,2.2,0.7,5.2,0.0,14.8,,0.1,0.1,0.2,0.115,,-4.0,-0.5,-4.5,0.0
12,1 season,,DAL,NBA,,3.0,7.0,-8.1,0.0,0.0,0.0,0.0,16.0,7.8,0.0,0.0,10.6,50.0,12.5,,-0.1,0.0,0.0,-0.306,,-16.4,-0.8,-17.2,0.0
