,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1977-78,22.0,CHI,NBA,PF,62.0,926.0,14.5,0.539,,0.625,13.0,22.4,17.7,6.3,1.1,0.4,17.7,16.9,,1.1,0.8,1.9,0.1,,0.5,-1.6,-1.1,0.2
1,1978-79,23.0,CHI,NBA,PF,80.0,1959.0,12.6,0.483,,0.332,16.4,25.0,20.7,4.7,0.6,0.6,18.2,16.7,,0.2,2.0,2.2,0.054,,-0.7,-2.1,-2.8,-0.4
2,1979-80,24.0,TOT,NBA,C,77.0,1510.0,15.7,0.529,0.0,0.46,17.4,27.6,22.6,4.3,1.0,0.8,14.7,18.3,,1.6,1.8,3.4,0.109,,0.3,-2.2,-1.8,0.1
3,1979-80,24.0,CHI,NBA,C,54.0,1136.0,15.3,0.541,0.0,0.48,15.9,28.3,22.3,4.1,1.0,0.8,15.2,17.7,,1.1,1.3,2.4,0.103,,0.2,-2.0,-1.8,0.1
4,1979-80,24.0,LAL,NBA,C,23.0,374.0,17.0,0.498,0.0,0.409,22.0,25.2,23.8,4.7,1.2,0.7,13.4,20.0,,0.4,0.5,1.0,0.128,,0.7,-2.7,-2.0,0.0
5,1980-81,25.0,LAL,NBA,PF,69.0,1086.0,12.5,0.516,0.003,0.355,16.1,21.2,18.8,3.1,0.8,0.3,14.7,16.4,,0.9,1.3,2.2,0.099,,-1.5,-2.5,-4.0,-0.5
6,1981-82,26.0,LAL,NBA,PF,75.0,1134.0,10.3,0.449,0.006,0.198,16.3,22.0,19.3,3.3,0.4,0.3,12.1,14.2,,0.5,1.2,1.7,0.072,,-2.0,-2.8,-4.8,-0.8
7,1982-83,27.0,LAL,NBA,PF,39.0,356.0,10.2,0.434,0.0,0.245,17.9,21.7,19.9,3.8,1.0,0.6,15.0,14.8,,0.1,0.4,0.4,0.061,,-2.4,-2.5,-4.8,-0.3
8,1983-84,28.0,ATL,NBA,PF,35.0,335.0,8.1,0.424,0.0,0.51,14.1,26.7,20.3,3.9,0.9,0.5,25.2,10.8,,-0.2,0.5,0.3,0.036,,-2.7,-1.1,-3.8,-0.2
9,Career,,,NBA,,437.0,7306.0,12.8,0.497,0.001,0.378,16.1,24.1,20.2,4.3,0.8,0.5,16.0,16.3,,4.2,8.0,12.2,0.08,,-0.8,-2.2,-3.0,-1.9
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4 seasons,,LAL,NBA,,206.0,2950.0,12.0,0.48,0.003,0.293,17.2,22.1,19.7,3.5,0.7,0.4,13.6,15.8,,1.9,3.5,5.4,0.088,,-1.5,-2.6,-4.1,-1.6
12,3 seasons,,CHI,NBA,,196.0,4021.0,13.8,0.513,0.0,0.437,15.5,25.3,20.4,4.9,0.8,0.6,17.2,17.1,,2.4,4.1,6.6,0.078,,-0.2,-2.0,-2.1,-0.1
13,1 season,,ATL,NBA,,35.0,335.0,8.1,0.424,0.0,0.51,14.1,26.7,20.3,3.9,0.9,0.5,25.2,10.8,,-0.2,0.5,0.3,0.036,,-2.7,-1.1,-3.8,-0.2
