,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1978-79,22.0,TOT,NBA,SF,79.0,1264.0,9.9,0.525,,0.396,7.7,8.1,7.9,10.4,0.9,0.4,20.7,17.5,,0.2,0.7,0.9,0.034,,-1.7,-1.7,-3.5,-0.5
1,1978-79,22.0,PHO,NBA,SF,43.0,734.0,9.4,0.545,,0.448,7.5,7.2,7.3,10.1,0.9,0.1,22.8,18.1,,0.1,0.5,0.5,0.036,,-2.0,-2.0,-4.0,-0.4
2,1978-79,22.0,NOJ,NBA,SF,36.0,530.0,10.6,0.498,,0.325,7.8,9.5,8.7,10.9,1.0,0.7,17.4,16.5,,0.1,0.3,0.4,0.032,,-1.3,-1.3,-2.7,-0.1
3,1979-80,23.0,LAL,NBA,SF,32.0,194.0,6.3,0.557,0.0,0.3,5.5,9.3,7.6,7.9,1.2,0.3,28.0,16.2,,-0.1,0.2,0.0,0.009,,-4.4,-0.9,-5.2,-0.2
4,1980-81,24.0,DAL,NBA,SF,72.0,1360.0,13.6,0.539,0.044,0.348,6.0,8.9,7.4,12.8,1.0,0.7,10.5,17.9,,2.1,0.2,2.3,0.081,,0.6,-1.2,-0.6,0.5
5,1982-83,26.0,IND,NBA,SF,80.0,1436.0,9.6,0.47,0.07,0.254,5.4,9.2,7.2,15.1,1.3,0.2,14.9,13.4,,0.8,0.2,1.0,0.034,,-1.8,-1.1,-2.9,-0.3
6,Career,,,NBA,,263.0,4254.0,10.8,0.516,0.036,0.333,6.2,8.8,7.5,12.6,1.1,0.4,15.9,16.2,,2.9,1.3,4.2,0.048,,-1.1,-1.3,-2.4,-0.5
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1 season,,IND,NBA,,80.0,1436.0,9.6,0.47,0.07,0.254,5.4,9.2,7.2,15.1,1.3,0.2,14.9,13.4,,0.8,0.2,1.0,0.034,,-1.8,-1.1,-2.9,-0.3
9,1 season,,DAL,NBA,,72.0,1360.0,13.6,0.539,0.044,0.348,6.0,8.9,7.4,12.8,1.0,0.7,10.5,17.9,,2.1,0.2,2.3,0.081,,0.6,-1.2,-0.6,0.5
10,1 season,,PHO,NBA,,43.0,734.0,9.4,0.545,,0.448,7.5,7.2,7.3,10.1,0.9,0.1,22.8,18.1,,0.1,0.5,0.5,0.036,,-2.0,-2.0,-4.0,-0.4
11,1 season,,NOJ,NBA,,36.0,530.0,10.6,0.498,,0.325,7.8,9.5,8.7,10.9,1.0,0.7,17.4,16.5,,0.1,0.3,0.4,0.032,,-1.3,-1.3,-2.7,-0.1
12,1 season,,LAL,NBA,,32.0,194.0,6.3,0.557,0.0,0.3,5.5,9.3,7.6,7.9,1.2,0.3,28.0,16.2,,-0.1,0.2,0.0,0.009,,-4.4,-0.9,-5.2,-0.2
