,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1996-97,25.0,HOU,NBA,PG,82.0,2386.0,12.3,0.585,0.62,0.151,1.0,6.5,3.9,19.5,1.8,0.0,15.7,14.8,,3.2,2.1,5.3,0.107,,0.0,0.1,0.1,1.3
1,1997-98,26.0,HOU,NBA,PG,78.0,2217.0,10.5,0.539,0.59,0.133,0.9,6.6,3.8,15.6,1.5,0.2,14.7,14.9,,1.9,0.3,2.2,0.047,,-0.6,-1.3,-1.8,0.1
2,1998-99,27.0,HOU,NBA,PG,15.0,186.0,2.2,0.32,0.536,0.393,1.3,4.7,3.1,16.1,1.2,0.0,29.9,11.8,,-0.4,0.0,-0.3,-0.083,,-5.4,-1.4,-6.8,-0.2
3,1999-00,28.0,CHI,NBA,PG,51.0,1175.0,9.4,0.484,0.547,0.142,1.0,5.5,3.2,21.3,1.5,0.2,15.7,15.6,,0.2,0.5,0.7,0.028,,-1.4,-1.5,-2.9,-0.2
4,2000-01,29.0,ATL,NBA,PG,55.0,1403.0,10.4,0.508,0.408,0.098,1.1,8.2,4.6,17.6,2.1,0.3,16.2,13.8,,0.7,0.8,1.5,0.053,,-1.4,0.5,-0.9,0.4
5,2002-03,31.0,ATL,NBA,PG,14.0,103.0,9.2,0.441,0.6,0.2,1.2,6.4,3.9,25.8,2.0,0.0,15.5,14.3,,0.0,0.0,0.1,0.031,,-2.0,-1.4,-3.4,0.0
6,Career,,,NBA,,295.0,7470.0,10.6,0.534,0.559,0.139,1.0,6.7,3.9,18.3,1.7,0.1,15.8,14.7,,5.7,3.8,9.5,0.061,,-0.8,-0.5,-1.3,1.2
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,HOU,NBA,,175.0,4789.0,11.0,0.556,0.604,0.148,0.9,6.5,3.8,17.5,1.6,0.1,15.7,14.7,,4.8,2.4,7.2,0.072,,-0.4,-0.6,-1.0,1.1
9,2 seasons,,ATL,NBA,,69.0,1506.0,10.3,0.504,0.421,0.105,1.1,8.1,4.6,18.1,2.1,0.2,16.1,13.8,,0.7,0.9,1.6,0.051,,-1.5,0.4,-1.1,0.4
10,1 season,,CHI,NBA,,51.0,1175.0,9.4,0.484,0.547,0.142,1.0,5.5,3.2,21.3,1.5,0.2,15.7,15.6,,0.2,0.5,0.7,0.028,,-1.4,-1.5,-2.9,-0.2
