,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1974-75,22.0,SSL,ABA,C,80.0,2464.0,16.4,0.51,0.01,0.244,11.2,22.1,16.5,15.5,1.6,1.4,16.7,19.2,,2.8,2.7,5.5,0.108,,0.6,0.4,0.9,1.8
1,1975-76,23.0,TOT,ABA,"C,PF",86.0,2861.0,15.5,0.496,0.013,0.21,10.1,22.5,16.3,11.1,1.2,1.1,16.9,23.6,,0.7,4.0,4.7,0.079,,-0.6,-0.6,-1.2,0.6
2,1975-76,23.0,SSL,ABA,C,28.0,1065.0,16.3,0.486,0.02,0.17,9.6,28.8,19.2,10.5,0.8,1.1,16.0,25.1,,0.0,1.4,1.4,0.062,,-0.6,-1.5,-2.1,0.0
3,1975-76,23.0,KEN,ABA,PF,58.0,1796.0,15.0,0.504,0.009,0.238,10.4,18.7,14.6,11.5,1.4,1.1,17.4,22.7,,0.8,2.5,3.3,0.089,,-0.6,-0.1,-0.7,0.6
4,1976-77,24.0,POR,NBA,PF,79.0,2863.0,18.3,0.516,,0.323,9.9,22.2,16.2,11.5,1.3,1.0,,,,4.9,3.9,8.7,0.147,,1.6,-0.8,0.8,2.1
5,1977-78,25.0,POR,NBA,PF,68.0,2119.0,17.3,0.502,,0.273,9.3,20.9,15.3,11.9,1.3,1.4,14.8,24.2,,2.2,3.5,5.8,0.131,,0.7,-0.1,0.6,1.4
6,1978-79,26.0,POR,NBA,PF,69.0,2462.0,18.4,0.517,,0.286,8.6,24.0,16.2,13.1,1.2,1.8,14.6,25.5,,2.9,3.3,6.2,0.121,,1.0,-0.3,0.7,1.7
7,1979-80,27.0,TOT,NBA,PF,63.0,1884.0,14.8,0.503,0.011,0.294,8.1,22.7,15.3,16.5,1.1,1.9,19.2,24.3,,-0.3,2.7,2.4,0.061,,-1.2,0.2,-1.0,0.5
8,1979-80,27.0,POR,NBA,PF,41.0,1176.0,13.8,0.48,0.009,0.248,7.8,22.8,15.2,16.2,1.0,1.7,19.5,26.5,,-1.0,1.6,0.6,0.025,,-2.1,-0.3,-2.4,-0.1
9,1979-80,27.0,NJN,NBA,PF,22.0,708.0,16.4,0.548,0.015,0.391,8.5,22.6,15.5,16.9,1.2,2.1,18.6,20.5,,0.6,1.1,1.8,0.12,,0.3,1.0,1.3,0.6
10,1980-81,28.0,NJN,NBA,PF,68.0,2162.0,14.6,0.528,0.002,0.304,7.8,22.5,15.0,11.6,1.2,1.5,15.7,20.5,,1.2,2.3,3.5,0.078,,-0.8,-0.1,-0.9,0.6
11,1981-82,29.0,NYK,NBA,PF,80.0,2671.0,17.9,0.547,0.003,0.349,11.5,27.5,19.3,9.6,1.2,1.5,13.0,20.5,,4.1,3.2,7.4,0.133,,1.1,-0.5,0.6,1.8
12,1982-83,30.0,PHO,NBA,PF,77.0,2586.0,16.1,0.528,0.003,0.341,9.0,24.5,17.1,11.9,1.0,0.9,15.5,22.5,,2.4,4.7,7.1,0.132,,-0.2,0.0,-0.3,1.1
13,1983-84,31.0,PHO,NBA,PF,75.0,2309.0,18.1,0.555,0.006,0.422,10.5,26.3,18.4,12.0,1.1,1.0,14.1,22.3,,3.6,2.8,6.4,0.134,,1.1,-0.5,0.6,1.5
14,1984-85,32.0,PHO,NBA,PF,63.0,1670.0,15.1,0.517,0.006,0.275,9.5,28.0,18.9,12.8,1.1,0.6,15.6,23.5,,0.1,2.4,2.5,0.072,,-1.1,-0.6,-1.7,0.1
15,1985-86,33.0,LAL,NBA,PF,77.0,1750.0,13.8,0.52,0.003,0.352,11.2,24.9,18.4,6.0,1.2,0.8,13.8,20.2,,1.5,2.5,4.0,0.11,,-1.6,-0.7,-2.3,-0.1
16,1986-87,34.0,SEA,NBA,PF,63.0,1120.0,13.7,0.532,0.013,0.482,8.5,21.4,14.9,7.8,1.4,1.1,13.8,19.2,,1.3,1.2,2.4,0.104,,-1.5,-0.3,-1.7,0.1
17,1987-88,35.0,POR,NBA,PF,73.0,1191.0,11.5,0.508,0.008,0.397,9.2,19.5,14.3,10.0,1.3,0.5,14.3,16.9,,0.9,1.4,2.3,0.091,,-2.2,-0.1,-2.2,-0.1
18,Career,,,TOT,,1021.0,30112.0,16.2,0.519,0.005,0.311,9.7,23.6,16.7,11.7,1.2,1.2,15.4,22.0,,28.4,40.6,69.0,0.11,,0.0,-0.3,-0.3,13.0
19,,,,NBA,,855.0,24787.0,16.3,0.523,0.003,0.33,9.5,23.9,16.8,11.4,1.2,1.2,15.0,22.1,,24.8,33.9,58.7,0.114,,0.0,-0.3,-0.3,10.6
20,,,,ABA,,166.0,5325.0,15.9,0.502,0.012,0.224,10.6,22.3,16.4,13.1,1.4,1.2,16.8,21.5,,3.5,6.7,10.2,0.092,,0.0,-0.2,-0.2,2.4
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5 seasons,,POR,NBA,,330.0,9811.0,16.7,0.508,0.002,0.299,9.1,22.1,15.6,12.4,1.2,1.3,15.5,23.8,,9.9,13.7,23.6,0.115,,0.4,-0.4,0.0,5.0
23,3 seasons,,PHO,NBA,,215.0,6565.0,16.5,0.534,0.004,0.35,9.6,26.0,18.0,12.2,1.1,0.9,15.1,22.7,,6.1,9.9,16.0,0.117,,0.0,-0.3,-0.3,2.8
