,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,21.0,CHS,BAA,SG,61.0,,,0.384,0.273,,,,,,7.6,2.0,9.6,,
1,1947-48,22.0,CHS,BAA,SG,48.0,,,0.387,0.288,,,,,,7.7,1.7,9.4,,
2,1948-49,23.0,CHS,BAA,SG,58.0,,,0.428,0.34,,,,,,6.7,3.5,10.2,,
3,1949-50,24.0,CHS,NBA,SG,68.0,,,0.429,0.337,,,,,,4.8,3.6,8.4,,
4,1950-51,25.0,NYK,NBA,SG,66.0,,,0.424,0.349,,,,,,1.8,0.9,2.7,,
5,1951-52,26.0,NYK,NBA,SG,66.0,2113.0,12.5,0.414,0.397,,,,,,0.5,1.1,1.7,0.038,
6,1952-53,27.0,NYK,NBA,SG,29.0,722.0,15.7,0.45,0.444,,,,,,1.0,0.7,1.7,0.116,
7,1953-54,28.0,TOT,NBA,SG,65.0,1881.0,15.5,0.444,0.472,,,,,,2.5,1.2,3.7,0.095,
8,1953-54,28.0,BLB,NBA,SG,11.0,418.0,16.1,0.45,0.531,,,,,,0.6,0.1,0.7,0.085,
9,1953-54,28.0,MLH,NBA,SG,9.0,299.0,15.7,0.415,0.428,,,,,,0.1,0.2,0.3,0.045,
10,1953-54,28.0,FTW,NBA,SG,45.0,1164.0,15.2,0.451,0.465,,,,,,1.8,0.9,2.7,0.111,
11,1954-55,29.0,FTW,NBA,SG,70.0,1862.0,12.1,0.402,0.429,,,,,,-1.1,1.7,0.6,0.014,
12,1955-56,30.0,FTW,NBA,SG,9.0,182.0,13.8,0.456,0.432,,,,,,0.2,0.1,0.3,0.091,
13,Career,,,TOT,,540.0,6760.0,13.6,0.415,0.357,,,,,,31.8,16.5,48.3,0.057,
14,,,,NBA,,373.0,6760.0,13.6,0.425,0.395,,,,,,9.8,9.3,19.1,0.057,
15,,,,BAA,,167.0,,,0.401,0.302,,,,,,22.0,7.2,29.2,,
16,,,,,,,,,,,,,,,,,,,,
17,4 seasons,,CHS,BAA,,235.0,,,0.408,0.311,,,,,,26.8,10.8,37.6,,
18,3 seasons,,NYK,NBA,,161.0,2835.0,13.3,0.423,0.385,,,,,,3.4,2.7,6.1,0.058,
19,3 seasons,,FTW,NBA,,124.0,3208.0,13.3,0.422,0.441,,,,,,0.9,2.7,3.6,0.054,
20,1 season,,BLB,NBA,,11.0,418.0,16.1,0.45,0.531,,,,,,0.6,0.1,0.7,0.085,
21,1 season,,MLH,NBA,,9.0,299.0,15.7,0.415,0.428,,,,,,0.1,0.2,0.3,0.045,
