,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1984-85,24.0,CLE,NBA,C,79.0,1949.0,13.1,0.541,0.0,0.195,8.6,16.5,12.6,2.7,0.9,2.5,13.3,18.3,,1.1,2.0,3.1,0.075,,-1.4,-0.3,-1.7,0.2
1,1985-86,25.0,CLE,NBA,C,80.0,2292.0,16.4,0.585,0.005,0.272,8.8,18.0,13.4,3.5,1.3,2.6,12.5,19.1,,3.4,2.6,6.0,0.125,,0.2,0.1,0.4,1.4
2,1986-87,26.0,CLE,NBA,C,64.0,801.0,13.0,0.491,0.0,0.21,8.4,17.2,12.8,6.5,0.7,2.8,13.6,23.1,,-0.3,1.0,0.8,0.046,,-2.7,-0.6,-3.4,-0.3
3,1987-88,27.0,UTA,NBA,C,79.0,1011.0,13.8,0.544,0.008,0.252,9.8,15.1,12.5,4.6,1.2,3.9,14.1,20.4,,0.4,1.7,2.1,0.1,,-2.2,0.6,-1.6,0.1
4,1989-90,29.0,WSB,NBA,C,59.0,818.0,12.8,0.574,0.01,0.34,11.5,17.7,14.6,4.3,0.9,3.3,15.8,14.3,,0.9,0.9,1.8,0.105,,-2.6,-0.1,-2.8,-0.2
5,Career,,,NBA,,361.0,6871.0,14.3,0.552,0.004,0.244,9.2,17.0,13.1,3.9,1.1,2.9,13.4,19.0,,5.5,8.2,13.7,0.096,,-1.3,0.0,-1.3,1.2
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3 seasons,,CLE,NBA,,223.0,5042.0,14.6,0.551,0.002,0.232,8.6,17.3,13.0,3.7,1.1,2.6,13.0,19.5,,4.2,5.6,9.8,0.093,,-0.9,-0.1,-1.0,1.3
8,1 season,,UTA,NBA,,79.0,1011.0,13.8,0.544,0.008,0.252,9.8,15.1,12.5,4.6,1.2,3.9,14.1,20.4,,0.4,1.7,2.1,0.1,,-2.2,0.6,-1.6,0.1
9,1 season,,WSB,NBA,,59.0,818.0,12.8,0.574,0.01,0.34,11.5,17.7,14.6,4.3,0.9,3.3,15.8,14.3,,0.9,0.9,1.8,0.105,,-2.6,-0.1,-2.8,-0.2
