,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1983-84,24.0,WSB,NBA,PG,6.0,26.0,-5.5,0.174,0.5,1.0,4.5,0.0,2.2,13.7,0.0,0.0,51.0,9.7,,-0.1,0.0,-0.1,-0.159,,-5.2,-0.5,-5.7,-0.1
1,1984-85,25.0,TOT,NBA,SG,19.0,267.0,13.3,0.533,0.0,0.468,5.7,7.1,6.4,17.4,2.5,1.1,17.7,17.0,,0.2,0.2,0.4,0.079,,-0.2,1.1,0.9,0.2
2,1984-85,25.0,CLE,NBA,SG,11.0,175.0,15.5,0.573,0.0,0.556,6.2,4.9,5.6,19.0,2.7,0.9,18.2,18.9,,0.2,0.2,0.4,0.104,,1.1,1.2,2.2,0.2
3,1984-85,25.0,NJN,NBA,SG,8.0,92.0,9.3,0.429,0.0,0.261,4.7,11.3,7.9,14.5,2.1,1.3,16.3,13.4,,0.0,0.1,0.1,0.033,,-2.7,1.1,-1.6,0.0
4,1986-87,27.0,TOT,NBA,"PG,SG",7.0,45.0,0.3,0.368,0.0,0.2,2.5,7.5,5.0,19.6,1.0,0.0,31.5,14.3,,-0.1,0.0,-0.1,-0.098,,-7.6,-0.3,-7.8,-0.1
5,1986-87,27.0,NJN,NBA,SG,5.0,43.0,2.6,0.45,0.0,0.25,2.6,7.8,5.2,17.9,1.1,0.0,31.1,12.1,,-0.1,0.0,0.0,-0.039,,-6.0,0.7,-5.3,0.0
6,1986-87,27.0,ATL,NBA,PG,2.0,2.0,-49.6,0.0,0.0,0.0,0.0,0.0,0.0,57.4,0.0,0.0,33.3,61.7,,-0.1,0.0,-0.1,-1.365,,-40.8,-20.3,-61.2,0.0
7,Career,,,NBA,,32.0,338.0,10.1,0.507,0.011,0.449,5.2,6.6,5.9,17.4,2.1,0.8,20.8,16.1,,0.0,0.3,0.3,0.038,,-1.6,0.8,-0.8,0.1
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,NJN,NBA,,13.0,135.0,7.1,0.435,0.0,0.258,4.1,10.2,7.1,15.6,1.8,0.9,20.7,13.0,,-0.1,0.1,0.0,0.01,,-3.8,1.0,-2.8,0.0
10,1 season,,CLE,NBA,,11.0,175.0,15.5,0.573,0.0,0.556,6.2,4.9,5.6,19.0,2.7,0.9,18.2,18.9,,0.2,0.2,0.4,0.104,,1.1,1.2,2.2,0.2
11,1 season,,WSB,NBA,,6.0,26.0,-5.5,0.174,0.5,1.0,4.5,0.0,2.2,13.7,0.0,0.0,51.0,9.7,,-0.1,0.0,-0.1,-0.159,,-5.2,-0.5,-5.7,-0.1
12,1 season,,ATL,NBA,,2.0,2.0,-49.6,0.0,0.0,0.0,0.0,0.0,0.0,57.4,0.0,0.0,33.3,61.7,,-0.1,0.0,-0.1,-1.365,,-40.8,-20.3,-61.2,0.0
