,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1996-97,23.0,VAN,NBA,PG,8.0,89.0,8.2,0.248,0.455,0.227,3.9,11.9,7.8,38.7,2.4,0.0,17.1,15.2,,-0.2,0.0,-0.1,-0.066,,-3.9,-1.9,-5.9,-0.1
1,1998-99,25.0,SEA,NBA,PG,12.0,140.0,7.6,0.404,0.375,0.4,3.3,13.3,8.2,27.1,2.7,0.0,25.4,20.4,,-0.3,0.1,-0.2,-0.057,,-4.0,-0.3,-4.3,-0.1
2,1999-00,26.0,HOU,NBA,PG,30.0,502.0,18.4,0.542,0.182,0.459,3.7,11.4,7.6,30.2,2.3,0.1,13.6,19.3,,1.3,0.4,1.7,0.158,,1.6,0.1,1.7,0.5
3,2000-01,27.0,HOU,NBA,PG,82.0,1654.0,16.2,0.546,0.215,0.47,3.2,10.5,6.9,27.1,2.2,0.1,17.7,16.8,,3.1,1.2,4.4,0.126,,0.9,0.1,1.0,1.2
4,2001-02,28.0,HOU,NBA,PG,82.0,2249.0,13.1,0.471,0.212,0.268,3.7,8.9,6.3,29.9,2.0,0.1,18.1,17.8,,1.2,0.7,1.8,0.039,,-1.2,-1.2,-2.4,-0.2
5,2002-03,29.0,HOU,NBA,PG,82.0,1375.0,11.8,0.47,0.136,0.345,3.2,10.0,6.7,23.2,2.2,0.2,18.4,15.6,,0.5,1.3,1.7,0.061,,-1.8,0.4,-1.5,0.2
6,2003-04,30.0,TOT,NBA,PG,66.0,847.0,10.9,0.471,0.267,0.327,1.4,7.3,4.5,23.4,2.8,0.4,20.5,17.3,,-0.1,0.9,0.8,0.045,,-1.9,0.8,-1.1,0.2
7,2003-04,30.0,HOU,NBA,PG,30.0,401.0,6.7,0.41,0.264,0.276,0.6,7.8,4.4,19.3,2.2,0.4,23.5,15.2,,-0.5,0.5,0.0,-0.005,,-3.8,0.9,-3.0,-0.1
8,2003-04,30.0,NYK,NBA,PG,36.0,446.0,14.8,0.511,0.269,0.362,2.1,6.9,4.5,27.0,3.4,0.5,18.4,19.2,,0.4,0.5,0.8,0.091,,-0.1,0.7,0.6,0.3
9,2004-05,31.0,TOT,NBA,PG,38.0,360.0,6.1,0.376,0.11,0.22,3.2,11.8,7.5,16.7,2.7,0.4,18.4,18.7,,-0.7,0.3,-0.4,-0.056,,-6.6,0.0,-6.6,-0.4
10,2004-05,31.0,NYK,NBA,PG,32.0,321.0,6.8,0.399,0.129,0.237,3.3,12.2,7.7,16.3,2.8,0.5,19.6,18.2,,-0.6,0.3,-0.3,-0.043,,-6.1,0.6,-5.5,-0.3
11,2004-05,31.0,HOU,NBA,PG,6.0,39.0,0.6,0.237,0.0,0.125,3.1,8.7,6.0,20.0,1.4,0.0,10.6,22.8,,-0.2,0.0,-0.1,-0.168,,-10.8,-5.0,-15.8,-0.1
12,2005-06,32.0,TOT,NBA,PG,45.0,424.0,10.1,0.479,0.125,0.375,3.4,11.7,7.5,20.1,2.6,0.2,20.2,18.2,,-0.3,0.5,0.3,0.029,,-4.2,1.3,-3.0,-0.1
13,2005-06,32.0,HOU,NBA,PG,29.0,241.0,10.4,0.448,0.077,0.262,4.5,12.0,8.3,20.9,3.2,0.3,18.1,17.5,,-0.2,0.4,0.2,0.046,,-4.6,2.6,-1.9,0.0
14,2005-06,32.0,NOK,NBA,PG,16.0,183.0,9.6,0.517,0.191,0.532,1.9,11.4,6.5,19.0,1.8,0.0,22.7,19.1,,-0.1,0.1,0.0,0.006,,-3.8,-0.6,-4.3,-0.1
15,Career,,,NBA,,445.0,7640.0,13.0,0.485,0.2,0.348,3.2,9.8,6.5,26.3,2.3,0.2,18.3,17.3,,4.5,5.5,10.0,0.063,,-1.2,-0.1,-1.4,1.2
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7 seasons,,HOU,NBA,,341.0,6461.0,13.4,0.491,0.191,0.349,3.3,9.8,6.6,26.8,2.2,0.2,17.9,17.1,,5.2,4.5,9.7,0.072,,-0.9,-0.2,-1.1,1.4
18,2 seasons,,NYK,NBA,,68.0,767.0,11.4,0.466,0.211,0.309,2.6,9.1,5.8,22.5,3.1,0.5,18.9,18.8,,-0.2,0.7,0.6,0.035,,-2.6,0.7,-2.0,0.0
19,1 season,,NOK,NBA,,16.0,183.0,9.6,0.517,0.191,0.532,1.9,11.4,6.5,19.0,1.8,0.0,22.7,19.1,,-0.1,0.1,0.0,0.006,,-3.8,-0.6,-4.3,-0.1
20,1 season,,SEA,NBA,,12.0,140.0,7.6,0.404,0.375,0.4,3.3,13.3,8.2,27.1,2.7,0.0,25.4,20.4,,-0.3,0.1,-0.2,-0.057,,-4.0,-0.3,-4.3,-0.1
21,1 season,,VAN,NBA,,8.0,89.0,8.2,0.248,0.455,0.227,3.9,11.9,7.8,38.7,2.4,0.0,17.1,15.2,,-0.2,0.0,-0.1,-0.066,,-3.9,-1.9,-5.9,-0.1
