,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1966-67,23.0,CHI,NBA,C,9.0,65.0,9.8,0.449,,0.381,,,,3.9,,,,,0.0,0.1,0.1,0.067,
1,1967-68,24.0,NYK,NBA,C,42.0,272.0,11.0,0.405,,0.112,,,,10.0,,,,,-0.4,0.4,0.0,-0.006,
2,1968-69,25.0,NYK,NBA,C,67.0,607.0,9.2,0.382,,0.27,,,,11.3,,,,,-1.0,1.0,0.0,0.0,
3,1969-70,26.0,NYK,NBA,C,81.0,744.0,8.9,0.439,,0.336,,,,7.4,,,,,-0.5,1.8,1.3,0.083,
4,1970-71,27.0,BUF,NBA,C,44.0,483.0,10.0,0.413,,0.257,,,16.3,11.4,,,,,-0.4,0.4,0.0,0.0,
5,1971-72,28.0,PTC,ABA,C,18.0,217.0,6.0,0.377,0.019,0.17,13.5,23.1,18.3,6.8,,23.0,12.4,,-0.3,0.0,-0.3,-0.07,
6,Career,,,TOT,,261.0,2388.0,9.2,0.41,0.001,0.257,13.5,23.1,16.9,9.4,,23.0,12.4,,-2.6,3.7,1.0,0.021,
7,,,,NBA,,243.0,2171.0,9.5,0.412,,0.263,,,16.3,9.6,,,,,-2.3,3.7,1.3,0.03,
8,,,,ABA,,18.0,217.0,6.0,0.377,0.019,0.17,13.5,23.1,18.3,6.8,,23.0,12.4,,-0.3,0.0,-0.3,-0.07,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,NYK,NBA,,190.0,1623.0,9.3,0.41,,0.261,,,,9.3,,,,,-1.9,3.1,1.2,0.037,
11,1 season,,BUF,NBA,,44.0,483.0,10.0,0.413,,0.257,,,16.3,11.4,,,,,-0.4,0.4,0.0,0.0,
12,1 season,,PTC,ABA,,18.0,217.0,6.0,0.377,0.019,0.17,13.5,23.1,18.3,6.8,,23.0,12.4,,-0.3,0.0,-0.3,-0.07,
13,1 season,,CHI,NBA,,9.0,65.0,9.8,0.449,,0.381,,,,3.9,,,,,0.0,0.1,0.1,0.067,
