,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,24.0,CHS,BAA,SF,57.0,,,0.37,0.312,,,,,,0.4,2.8,3.3,,
1,1949-50,25.0,CHS,NBA,SF,68.0,,,0.406,0.297,,,,,,1.9,3.7,5.6,,
2,1951-52,27.0,ROC,NBA,SF,66.0,1673.0,14.0,0.444,0.267,,,,,,1.9,1.2,3.1,0.09,
3,1952-53,28.0,ROC,NBA,SF,62.0,1414.0,17.2,0.495,0.492,,,,,,3.7,1.6,5.2,0.177,
4,1953-54,29.0,ROC,NBA,SF,72.0,1633.0,14.3,0.452,0.471,,,,,,2.1,2.6,4.7,0.137,
5,1954-55,30.0,ROC,NBA,SF,71.0,1888.0,12.7,0.477,0.463,,,,,,2.8,1.0,3.8,0.096,
6,1955-56,31.0,FTW,NBA,SF,72.0,1378.0,11.3,0.441,0.429,,,,,,0.7,1.3,2.0,0.07,
7,1956-57,32.0,TOT,NBA,SF,11.0,118.0,8.4,0.451,0.579,,,,,,0.1,0.1,0.2,0.078,
8,1956-57,32.0,FTW,NBA,SF,4.0,21.0,11.9,0.457,0.571,,,,,,0.0,0.0,0.0,0.08,
9,1956-57,32.0,STL,NBA,SF,7.0,97.0,7.6,0.45,0.581,,,,,,0.1,0.1,0.2,0.078,
10,Career,,,TOT,,479.0,8104.0,13.8,0.438,0.382,,,,,,13.6,14.3,27.8,0.113,
11,,,,NBA,,422.0,8104.0,13.8,0.45,0.395,,,,,,13.1,11.4,24.6,0.113,
12,,,,BAA,,57.0,,,0.37,0.312,,,,,,0.4,2.8,3.3,,
13,,,,,,,,,,,,,,,,,,,,
14,4 seasons,,ROC,NBA,,271.0,6608.0,14.4,0.467,0.42,,,,,,10.4,6.4,16.8,0.122,
15,2 seasons,,CHS,BAA,,125.0,,,0.39,0.304,,,,,,2.3,6.5,8.8,,
16,2 seasons,,FTW,NBA,,76.0,1399.0,11.3,0.441,0.432,,,,,,0.8,1.3,2.1,0.071,
17,1 season,,STL,NBA,,7.0,97.0,7.6,0.45,0.581,,,,,,0.1,0.1,0.2,0.078,
