,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1972-73,23.0,POR,NBA,SF,78.0,2138.0,13.5,0.543,,0.332,,,9.4,12.2,,,,,,3.5,0.7,4.1,0.093,,,,,
1,1973-74,24.0,POR,NBA,SF,79.0,1718.0,11.8,0.521,,0.217,6.8,12.6,9.6,12.4,1.5,0.9,,,,1.6,0.5,2.0,0.057,,-0.4,-0.5,-0.9,0.5
2,1974-75,25.0,TOT,NBA,SF,73.0,1667.0,10.9,0.523,,0.266,5.2,9.7,7.4,9.3,1.6,1.1,,,,1.4,1.2,2.6,0.075,,-1.1,0.2,-0.9,0.5
3,1974-75,25.0,NOJ,NBA,SF,43.0,1159.0,10.8,0.511,,0.258,5.0,10.5,7.7,9.6,1.6,0.9,,,,0.8,0.8,1.6,0.065,,-1.1,0.2,-1.0,0.3
4,1974-75,25.0,KCO,NBA,SF,30.0,508.0,11.3,0.55,,0.285,5.5,8.0,6.7,8.4,1.5,1.4,,,,0.6,0.4,1.0,0.098,,-1.2,0.4,-0.7,0.2
5,1975-76,26.0,KCK,NBA,SF,81.0,2150.0,13.5,0.552,,0.22,5.5,11.6,8.5,9.9,1.4,1.0,,,,3.4,1.4,4.8,0.107,,0.3,-0.2,0.1,1.1
6,1976-77,27.0,KCK,NBA,SF,81.0,1386.0,12.6,0.541,,0.258,4.9,11.2,7.9,10.2,1.4,0.8,,,,1.9,1.1,2.9,0.102,,-0.4,-0.4,-0.7,0.4
7,1977-78,28.0,ATL,NBA,SF,82.0,1704.0,13.9,0.514,,0.21,5.5,11.3,8.3,10.5,2.2,1.3,13.7,18.5,,1.7,1.9,3.6,0.102,,0.2,0.3,0.6,1.1
8,1978-79,29.0,CHI,NBA,SF,71.0,1734.0,12.3,0.552,,0.204,3.7,10.6,7.2,13.1,1.5,1.0,16.2,16.2,,1.6,1.4,3.1,0.085,,-0.9,0.5,-0.4,0.7
9,1979-80,30.0,CHI,NBA,SF,79.0,1535.0,12.3,0.534,0.021,0.176,3.7,8.1,6.0,15.6,1.8,0.9,14.5,17.6,,1.3,1.0,2.3,0.073,,-0.9,0.0,-0.9,0.4
10,1980-81,31.0,PHI,NBA,SF,40.0,372.0,16.7,0.588,0.038,0.196,2.5,12.9,8.1,11.8,2.5,0.3,12.7,21.3,,0.6,0.7,1.3,0.161,,-0.4,1.4,1.0,0.3
11,1981-82,32.0,PHI,NBA,SF,26.0,150.0,12.4,0.534,0.056,0.13,5.5,10.8,8.3,9.1,4.1,1.2,18.6,19.5,,0.0,0.3,0.2,0.076,,-3.5,1.4,-2.1,0.0
12,Career,,,NBA,,690.0,14554.0,12.8,0.538,0.004,0.233,5.0,10.8,8.1,11.6,1.7,1.0,14.7,17.7,,16.9,10.1,27.0,0.089,,-0.5,0.0,-0.4,5.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3 seasons,,"KCO,KCK",NBA,,192.0,4044.0,12.9,0.548,,0.24,5.3,11.0,8.1,9.8,1.4,1.0,,,,5.9,2.9,8.8,0.104,,-0.1,-0.2,-0.3,1.7
15,2 seasons,,POR,NBA,,157.0,3856.0,12.7,0.534,,0.285,6.8,12.6,9.5,12.3,1.5,0.9,,,,5.1,1.1,6.2,0.077,,-0.4,-0.5,-0.9,0.5
16,2 seasons,,CHI,NBA,,150.0,3269.0,12.3,0.544,0.01,0.19,3.7,9.4,6.6,14.3,1.6,1.0,15.4,16.9,,2.9,2.4,5.4,0.079,,-0.9,0.2,-0.7,1.1
17,1 season,,ATL,NBA,,82.0,1704.0,13.9,0.514,,0.21,5.5,11.3,8.3,10.5,2.2,1.3,13.7,18.5,,1.7,1.9,3.6,0.102,,0.2,0.3,0.6,1.1
18,2 seasons,,PHI,NBA,,66.0,522.0,15.5,0.575,0.042,0.179,3.4,12.3,8.1,11.1,3.0,0.5,14.2,20.8,,0.6,0.9,1.5,0.137,,-1.3,1.4,0.1,0.3
19,1 season,,NOJ,NBA,,43.0,1159.0,10.8,0.511,,0.258,5.0,10.5,7.7,9.6,1.6,0.9,,,,0.8,0.8,1.6,0.065,,-1.1,0.2,-1.0,0.3
