,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1981-82,22.0,CHI,NBA,SF,75.0,1188.0,13.4,0.565,0.008,0.523,8.2,13.3,10.8,10.1,0.9,1.1,18.1,20.9,,1.0,0.8,1.8,0.073,,-1.1,-0.9,-2.1,0.0
1,1982-83,23.0,CHI,NBA,SF,57.0,1627.0,17.0,0.608,0.005,0.547,8.0,11.6,9.8,8.9,1.1,1.4,16.9,22.1,,2.9,0.8,3.6,0.107,,1.4,-1.1,0.4,1.0
2,1983-84,24.0,CHI,NBA,SF,75.0,2544.0,15.9,0.567,0.002,0.39,5.8,11.0,8.3,8.9,1.3,1.4,12.9,23.8,,3.0,2.3,5.3,0.1,,0.7,-0.6,0.1,1.4
3,1984-85,25.0,CHI,NBA,SF,77.0,2816.0,19.5,0.608,0.004,0.425,6.7,11.1,8.9,7.6,1.0,0.8,10.9,24.2,,7.4,1.6,9.0,0.153,,3.1,-1.6,1.5,2.5
4,1985-86,26.0,CHI,NBA,SF,70.0,2248.0,19.6,0.56,0.021,0.424,7.3,10.4,8.8,14.9,1.0,1.2,11.9,26.5,,5.2,0.4,5.6,0.12,,3.8,-1.9,2.0,2.3
5,1986-87,27.0,NJN,NBA,SF,75.0,2638.0,17.6,0.59,0.007,0.529,5.0,10.6,7.8,15.5,1.0,1.9,13.9,23.4,,5.3,1.6,6.8,0.124,,2.6,-0.5,2.1,2.7
6,1987-88,28.0,NJN,NBA,SF,19.0,622.0,14.5,0.513,0.008,0.526,5.6,11.6,8.5,18.0,1.0,1.9,13.6,23.9,,0.4,0.4,0.8,0.061,,-0.5,-0.9,-1.4,0.1
7,1988-89,29.0,LAL,NBA,SF,74.0,1491.0,14.0,0.554,0.002,0.694,6.5,13.2,10.1,5.2,1.0,2.5,13.8,20.7,,1.7,1.6,3.3,0.105,,-1.2,-0.6,-1.9,0.1
8,1989-90,30.0,LAL,NBA,SF,62.0,1421.0,17.6,0.601,0.009,0.436,4.1,10.6,7.5,10.4,1.4,1.9,10.0,21.9,,3.3,1.5,4.8,0.161,,1.3,0.2,1.5,1.3
9,1990-91,31.0,DEN,NBA,SF,53.0,1823.0,19.5,0.565,0.004,0.447,6.7,12.6,9.3,9.1,1.6,0.7,11.4,25.7,,3.7,0.2,3.9,0.102,,2.4,-2.1,0.3,1.1
10,1991-92,32.0,DET,NBA,SF,82.0,2113.0,14.9,0.539,0.01,0.389,5.9,8.0,7.0,7.0,1.0,1.0,11.1,24.8,,2.3,2.1,4.4,0.099,,0.1,-0.7,-0.5,0.8
11,1992-93,33.0,TOT,NBA,SF,58.0,1555.0,13.4,0.516,0.015,0.295,5.9,7.3,6.6,11.5,0.9,1.1,10.5,20.8,,1.5,0.8,2.3,0.072,,-0.4,-0.7,-1.1,0.4
12,1992-93,33.0,DET,NBA,SF,50.0,1477.0,13.4,0.512,0.016,0.297,6.0,7.2,6.6,11.8,0.9,1.1,10.2,20.7,,1.4,0.8,2.2,0.073,,-0.4,-0.6,-0.9,0.4
13,1992-93,33.0,MIL,NBA,SF,8.0,78.0,14.1,0.582,0.0,0.273,4.4,9.0,6.7,6.4,0.6,1.7,14.0,23.6,,0.1,0.0,0.1,0.047,,-1.0,-2.1,-3.1,0.0
14,1993-94,34.0,PHI,NBA,SF,74.0,1955.0,13.9,0.517,0.018,0.391,5.8,11.0,8.4,11.9,1.1,1.7,13.6,23.3,,0.7,0.7,1.5,0.036,,-1.4,-1.7,-3.1,-0.5
15,Career,,,NBA,,851.0,24041.0,16.6,0.567,0.009,0.448,6.2,10.8,8.5,10.4,1.1,1.4,12.7,23.5,,38.2,14.8,53.0,0.106,,1.2,-1.0,0.1,12.8
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5 seasons,,CHI,NBA,,354.0,10423.0,17.6,0.582,0.008,0.442,7.0,11.3,9.1,10.0,1.1,1.2,13.2,23.9,,19.4,5.9,25.3,0.117,,1.9,-1.2,0.7,7.1
18,2 seasons,,LAL,NBA,,136.0,2912.0,15.8,0.578,0.006,0.558,5.3,11.9,8.8,7.7,1.2,2.2,11.9,21.3,,5.0,3.1,8.0,0.132,,0.0,-0.2,-0.2,1.3
19,2 seasons,,DET,NBA,,132.0,3590.0,14.3,0.529,0.012,0.354,5.9,7.7,6.8,9.0,1.0,1.0,10.8,23.1,,3.7,2.9,6.6,0.089,,-0.1,-0.6,-0.7,1.2
20,2 seasons,,NJN,NBA,,94.0,3260.0,17.0,0.575,0.008,0.528,5.1,10.8,7.9,16.0,1.0,1.9,13.9,23.5,,5.7,2.0,7.6,0.112,,2.0,-0.6,1.4,2.8
21,1 season,,PHI,NBA,,74.0,1955.0,13.9,0.517,0.018,0.391,5.8,11.0,8.4,11.9,1.1,1.7,13.6,23.3,,0.7,0.7,1.5,0.036,,-1.4,-1.7,-3.1,-0.5
22,1 season,,DEN,NBA,,53.0,1823.0,19.5,0.565,0.004,0.447,6.7,12.6,9.3,9.1,1.6,0.7,11.4,25.7,,3.7,0.2,3.9,0.102,,2.4,-2.1,0.3,1.1
23,1 season,,MIL,NBA,,8.0,78.0,14.1,0.582,0.0,0.273,4.4,9.0,6.7,6.4,0.6,1.7,14.0,23.6,,0.1,0.0,0.1,0.047,,-1.0,-2.1,-3.1,0.0
