,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1970-71,22.0,CHI,NBA,C,10.0,60.0,12.5,0.441,,0.229,,,12.6,5.3,,,,,,-0.1,0.1,0.0,0.021,,,,,
1,1971-72,23.0,PTC,ABA,C,79.0,1059.0,13.8,0.519,0.0,0.302,10.2,19.2,14.7,6.2,,,13.8,17.2,,0.9,-0.1,0.9,0.039,,,,,
2,1973-74,25.0,BUF,NBA,C,20.0,51.0,11.7,0.458,,0.481,8.0,13.3,10.7,0.0,0.8,1.0,,,,0.0,0.0,0.0,-0.012,,-4.7,-1.0,-5.7,-0.1
3,1974-75,26.0,BUF,NBA,C,22.0,103.0,12.1,0.457,,0.106,12.3,9.5,10.9,9.9,1.3,1.4,,,,0.0,0.1,0.1,0.029,,-3.7,-0.5,-4.2,-0.1
4,1975-76,27.0,SSL,ABA,C,2.0,5.0,35.8,0.667,0.0,0.0,19.4,38.8,29.1,0.0,0.0,0.0,0.0,22.9,,0.0,0.0,0.0,0.336,,-4.1,-0.1,-4.1,0.0
5,Career,,,TOT,,133.0,1278.0,13.6,0.505,0.0,0.286,10.3,18.2,14.2,6.2,1.1,1.2,13.7,17.3,,0.8,0.1,1.0,0.036,,-4.0,-0.7,-4.7,-0.1
6,,,,ABA,,81.0,1064.0,13.9,0.52,0.0,0.299,10.2,19.3,14.8,6.2,0.0,0.0,13.7,17.3,,0.9,-0.1,0.9,0.04,,-4.1,-0.1,-4.1,0.0
7,,,,NBA,,52.0,214.0,12.1,0.453,,0.239,10.9,10.8,11.3,6.3,1.1,1.3,,,,-0.1,0.2,0.1,0.017,,-4.0,-0.7,-4.7,-0.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1 season,,PTC,ABA,,79.0,1059.0,13.8,0.519,0.0,0.302,10.2,19.2,14.7,6.2,,,13.8,17.2,,0.9,-0.1,0.9,0.039,,,,,
10,2 seasons,,BUF,NBA,,42.0,154.0,12.0,0.458,,0.243,10.9,10.8,10.8,6.6,1.1,1.3,,,,-0.1,0.1,0.0,0.015,,-4.0,-0.7,-4.7,-0.2
11,1 season,,CHI,NBA,,10.0,60.0,12.5,0.441,,0.229,,,12.6,5.3,,,,,,-0.1,0.1,0.0,0.021,,,,,
12,1 season,,SSL,ABA,,2.0,5.0,35.8,0.667,0.0,0.0,19.4,38.8,29.1,0.0,0.0,0.0,0.0,22.9,,0.0,0.0,0.0,0.336,,-4.1,-0.1,-4.1,0.0
