,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1949-50,25.0,ROC,NBA,SG,49.0,,,0.447,0.257,,,,,,1.0,0.5,1.5,,
1,1950-51,26.0,ROC,NBA,SG,65.0,,,0.396,0.339,,,,,,0.1,0.5,0.6,,
2,1951-52,27.0,TOT,NBA,SG,64.0,1479.0,12.3,0.43,0.351,,,,,,1.2,1.7,2.9,0.093,
3,1951-52,27.0,BLB,NBA,SG,39.0,720.0,11.4,0.393,0.239,,,,,,-0.2,0.4,0.2,0.013,
4,1951-52,27.0,MNL,NBA,SG,25.0,759.0,13.2,0.476,0.503,,,,,,1.3,1.4,2.7,0.17,
5,1952-53,28.0,MNL,NBA,SG,70.0,1796.0,11.0,0.462,0.425,,,,,,2.2,2.0,4.2,0.111,
6,1953-54,29.0,MNL,NBA,SG,71.0,1805.0,9.8,0.417,0.364,,,,,,0.6,2.2,2.8,0.075,
7,1954-55,30.0,MLH,NBA,SG,65.0,1139.0,8.3,0.402,0.406,,,,,,-0.3,1.1,0.8,0.032,
8,Career,,,NBA,,384.0,6219.0,10.5,0.427,0.368,,,,,,4.7,8.0,12.7,0.082,
9,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,MNL,NBA,,166.0,4360.0,10.9,0.446,0.412,,,,,,4.1,5.6,9.7,0.107,
11,2 seasons,,ROC,NBA,,114.0,,,0.414,0.308,,,,,,1.1,1.0,2.0,,
12,1 season,,MLH,NBA,,65.0,1139.0,8.3,0.402,0.406,,,,,,-0.3,1.1,0.8,0.032,
13,1 season,,BLB,NBA,,39.0,720.0,11.4,0.393,0.239,,,,,,-0.2,0.4,0.2,0.013,
