,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1979-80,22.0,KCK,NBA,PF,82.0,2052.0,13.5,0.565,0.002,0.439,9.3,20.7,14.8,6.6,1.6,0.9,14.4,13.5,,2.8,3.4,6.2,0.146,,-0.5,0.9,0.3,1.2
1,1980-81,23.0,KCK,NBA,PF,81.0,2743.0,16.9,0.583,0.0,0.445,9.6,22.2,15.9,6.1,1.8,0.9,13.7,18.1,,4.4,3.9,8.3,0.145,,0.8,-0.2,0.6,1.8
2,1981-82,24.0,KCK,NBA,SF,80.0,2609.0,13.0,0.551,0.0,0.379,6.8,16.0,11.2,8.7,1.5,0.6,15.0,16.2,,2.2,2.5,4.8,0.087,,-0.3,-0.1,-0.4,1.0
3,1982-83,25.0,KCK,NBA,SF,58.0,995.0,10.5,0.526,0.0,0.427,9.9,16.2,13.0,7.0,1.3,0.6,19.6,12.8,,0.7,1.0,1.6,0.077,,-0.8,-0.2,-1.0,0.3
4,1983-84,26.0,SEA,NBA,SF,77.0,2086.0,11.7,0.559,0.004,0.46,7.3,18.2,12.8,11.2,1.2,0.6,19.1,13.3,,1.3,2.1,3.4,0.079,,-1.0,0.3,-0.6,0.7
5,1984-85,27.0,SEA,NBA,SF,60.0,860.0,6.9,0.477,0.0,0.396,5.9,10.5,8.2,8.1,1.6,0.7,19.4,10.6,,-0.2,0.7,0.5,0.028,,-3.8,-0.1,-3.9,-0.4
6,Career,,,NBA,,438.0,11345.0,13.1,0.558,0.001,0.426,8.2,18.3,13.2,8.0,1.5,0.7,15.8,14.9,,11.2,13.7,24.8,0.105,,-0.5,0.1,-0.4,4.6
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,KCK,NBA,,301.0,8399.0,14.1,0.563,0.0,0.421,8.7,19.2,13.8,7.2,1.6,0.8,14.8,15.8,,10.1,10.8,20.9,0.119,,0.0,0.1,0.0,4.3
9,2 seasons,,SEA,NBA,,137.0,2946.0,10.3,0.539,0.003,0.444,6.9,16.0,11.5,10.3,1.3,0.7,19.1,12.5,,1.1,2.9,3.9,0.064,,-1.8,0.2,-1.6,0.3
