,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1970-71,24.0,INA,ABA,SG,66.0,832.0,10.5,0.469,0.197,0.361,,,3.8,17.1,,,14.3,24.6,,-0.1,0.7,0.7,0.039,,,,,
1,1971-72,25.0,INA,ABA,SG,78.0,2126.0,14.4,0.523,0.19,0.275,2.1,4.4,3.3,15.8,,,11.8,21.9,,2.8,1.8,4.6,0.104,,,,,
2,1972-73,26.0,KEN,ABA,SG,61.0,1780.0,13.1,0.508,0.037,0.246,2.7,4.8,3.7,15.0,,,11.8,22.1,,1.2,2.3,3.5,0.094,,,,,
3,1973-74,27.0,TOT,ABA,SG,52.0,753.0,15.0,0.486,0.112,0.173,3.8,4.3,4.0,13.4,1.7,0.1,9.8,26.4,,0.7,0.4,1.1,0.073,,-0.2,-1.2,-1.5,0.1
4,1973-74,27.0,KEN,ABA,SG,18.0,276.0,7.5,0.404,0.086,0.166,2.4,4.4,3.4,13.8,1.2,0.0,11.5,25.6,,-0.3,0.2,-0.1,-0.017,,-4.7,-1.3,-6.0,-0.3
5,1973-74,27.0,UTS,ABA,SG,34.0,477.0,19.3,0.534,0.127,0.178,4.5,4.2,4.4,13.1,2.0,0.1,8.8,26.8,,1.1,0.2,1.2,0.125,,2.3,-1.2,1.1,0.4
6,1974-75,28.0,MMS,ABA,SG,26.0,895.0,13.3,0.48,0.109,0.169,1.5,4.4,2.9,13.1,1.5,0.4,8.1,23.5,,0.4,0.2,0.6,0.032,,-0.6,-1.6,-2.2,0.0
7,Career,,,ABA,,283.0,6386.0,13.5,0.501,0.128,0.25,2.4,4.5,3.5,15.0,1.6,0.3,11.4,23.1,,5.0,5.4,10.5,0.079,,-0.4,-1.4,-1.9,0.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,INA,ABA,,144.0,2958.0,13.3,0.507,0.192,0.301,2.1,4.4,3.5,16.1,,,12.6,22.7,,2.7,2.6,5.3,0.085,,,,,
10,2 seasons,,KEN,ABA,,79.0,2056.0,12.4,0.492,0.045,0.234,2.6,4.7,3.7,14.8,1.2,0.0,11.7,22.6,,0.8,2.6,3.4,0.079,,-4.7,-1.3,-6.0,-0.3
11,1 season,,UTS,ABA,,34.0,477.0,19.3,0.534,0.127,0.178,4.5,4.2,4.4,13.1,2.0,0.1,8.8,26.8,,1.1,0.2,1.2,0.125,,2.3,-1.2,1.1,0.4
12,1 season,,MMS,ABA,,26.0,895.0,13.3,0.48,0.109,0.169,1.5,4.4,2.9,13.1,1.5,0.4,8.1,23.5,,0.4,0.2,0.6,0.032,,-0.6,-1.6,-2.2,0.0
