,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1956-57,22.0,NYK,NBA,SG,71.0,1378.0,14.1,0.457,0.45,,,,,,1.5,1.0,2.6,0.09,
1,1957-58,23.0,NYK,NBA,PG,55.0,1399.0,14.9,0.489,0.443,,,,,,2.8,0.8,3.6,0.124,
2,1958-59,24.0,NYK,NBA,PG,50.0,857.0,13.5,0.436,0.333,,,,,,0.4,0.5,0.9,0.05,
3,1959-60,25.0,TOT,NBA,PG,16.0,234.0,11.1,0.422,0.343,,,,,,0.0,0.1,0.1,0.016,
4,1959-60,25.0,NYK,NBA,,15.0,221.0,11.8,0.43,0.346,,,,,,0.0,0.1,0.1,0.024,
5,1959-60,25.0,MNL,NBA,PG,1.0,13.0,-0.8,0.225,0.25,,,,,,0.0,0.0,0.0,-0.121,
6,Career,,,NBA,,192.0,3868.0,14.1,0.461,0.408,,,,,,4.7,2.4,7.2,0.089,
7,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,NYK,NBA,,191.0,3855.0,14.1,0.461,0.409,,,,,,4.8,2.4,7.2,0.09,
9,1 season,,MNL,NBA,,1.0,13.0,-0.8,0.225,0.25,,,,,,0.0,0.0,0.0,-0.121,
