,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1996-97,23.0,VAN,NBA,PF,82.0,1848.0,12.6,0.518,0.002,0.195,8.6,15.7,12.1,4.3,0.6,6.7,14.1,15.3,,0.3,1.1,1.4,0.037,,-3.4,-0.3,-3.7,-0.8
1,1997-98,24.0,TOT,NBA,PF,15.0,106.0,5.4,0.362,0.0,0.24,8.1,10.5,9.1,2.8,1.5,5.6,15.3,13.4,,-0.2,0.1,-0.1,-0.047,,-6.5,-2.3,-8.8,-0.2
2,1997-98,24.0,BOS,NBA,PF,9.0,37.0,8.2,0.394,0.0,0.25,0.0,17.4,8.0,4.0,2.8,8.5,10.1,11.5,,0.0,0.1,0.0,0.036,,-5.2,3.4,-1.8,0.0
3,1997-98,24.0,TOR,NBA,PF,6.0,69.0,3.9,0.346,0.0,0.235,12.5,6.8,9.7,2.2,0.8,4.0,17.6,14.5,,-0.1,0.0,-0.1,-0.091,,-7.2,-5.4,-12.6,-0.2
4,1999-00,26.0,DEN,NBA,PF,40.0,355.0,11.4,0.42,0.011,0.466,10.0,14.5,12.3,3.8,0.3,7.3,8.6,14.2,,0.0,0.4,0.4,0.048,,-2.4,0.7,-1.8,0.0
5,Career,,,NBA,,137.0,2309.0,12.1,0.495,0.003,0.237,8.8,15.3,12.0,4.1,0.6,6.8,13.3,15.1,,0.2,1.5,1.7,0.035,,-3.4,-0.2,-3.7,-1.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,VAN,NBA,,82.0,1848.0,12.6,0.518,0.002,0.195,8.6,15.7,12.1,4.3,0.6,6.7,14.1,15.3,,0.3,1.1,1.4,0.037,,-3.4,-0.3,-3.7,-0.8
8,1 season,,DEN,NBA,,40.0,355.0,11.4,0.42,0.011,0.466,10.0,14.5,12.3,3.8,0.3,7.3,8.6,14.2,,0.0,0.4,0.4,0.048,,-2.4,0.7,-1.8,0.0
9,1 season,,BOS,NBA,,9.0,37.0,8.2,0.394,0.0,0.25,0.0,17.4,8.0,4.0,2.8,8.5,10.1,11.5,,0.0,0.1,0.0,0.036,,-5.2,3.4,-1.8,0.0
10,1 season,,TOR,NBA,,6.0,69.0,3.9,0.346,0.0,0.235,12.5,6.8,9.7,2.2,0.8,4.0,17.6,14.5,,-0.1,0.0,-0.1,-0.091,,-7.2,-5.4,-12.6,-0.2
