,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1976-77,22.0,CHI,NBA,SF,72.0,2369.0,14.1,0.498,,0.238,6.1,13.2,9.6,9.6,1.6,0.4,,,,2.6,2.9,5.4,0.11,,0.0,-0.3,-0.3,1.0
1,1977-78,23.0,CHI,NBA,SF,55.0,1802.0,12.7,0.516,,0.35,7.2,12.9,10.0,9.2,1.3,0.2,14.9,18.7,,2.1,1.1,3.1,0.084,,-0.4,-1.3,-1.7,0.2
2,1978-79,24.0,CHI,NBA,SF,37.0,403.0,8.4,0.482,,0.294,3.8,13.5,8.7,13.2,2.5,0.1,24.9,20.3,,-0.6,0.4,-0.1,-0.015,,-4.7,0.3,-4.4,-0.3
3,1979-80,25.0,CHI,NBA,SF,54.0,1298.0,14.9,0.507,0.007,0.293,6.9,11.8,9.4,12.5,1.6,0.2,10.4,23.2,,1.5,0.9,2.4,0.09,,-0.1,-1.3,-1.3,0.2
4,1980-81,26.0,CHI,NBA,SF,63.0,815.0,17.2,0.549,0.0,0.441,9.1,12.5,10.8,11.5,2.0,0.5,15.0,23.7,,1.4,0.8,2.2,0.127,,1.0,-0.7,0.3,0.5
5,1981-82,27.0,MIL,NBA,SF,65.0,1187.0,16.7,0.581,0.01,0.463,8.5,12.4,10.5,15.6,2.0,0.3,15.5,20.6,,2.4,1.8,4.2,0.171,,1.2,0.6,1.7,1.1
6,1982-83,28.0,DET,NBA,SF,9.0,155.0,9.9,0.498,0.0,0.42,6.6,11.0,8.7,10.0,1.5,0.7,18.0,18.0,,0.0,0.1,0.1,0.045,,-2.9,-0.4,-3.4,-0.1
7,Career,,,NBA,,355.0,8029.0,14.2,0.52,0.003,0.328,7.0,12.7,9.9,11.3,1.7,0.3,14.7,21.0,,9.4,8.0,17.4,0.104,,-0.1,-0.6,-0.7,2.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5 seasons,,CHI,NBA,,281.0,6687.0,13.9,0.51,0.002,0.305,6.8,12.8,9.8,10.5,1.6,0.3,14.4,21.2,,7.0,6.1,13.0,0.094,,-0.3,-0.8,-1.0,1.6
10,1 season,,MIL,NBA,,65.0,1187.0,16.7,0.581,0.01,0.463,8.5,12.4,10.5,15.6,2.0,0.3,15.5,20.6,,2.4,1.8,4.2,0.171,,1.2,0.6,1.7,1.1
11,1 season,,DET,NBA,,9.0,155.0,9.9,0.498,0.0,0.42,6.6,11.0,8.7,10.0,1.5,0.7,18.0,18.0,,0.0,0.1,0.1,0.045,,-2.9,-0.4,-3.4,-0.1
