,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1985-86,23.0,TOT,NBA,PG,13.0,230.0,7.3,0.502,0.152,0.47,1.6,10.6,6.2,14.8,1.2,0.0,21.6,17.7,,-0.2,0.2,0.0,-0.001,,-4.2,-1.4,-5.6,-0.2
1,1985-86,23.0,ATL,NBA,PG,3.0,24.0,-5.5,0.336,0.0,0.143,0.0,9.2,4.6,0.0,2.0,0.0,28.7,17.8,,-0.1,0.0,-0.1,-0.169,,-13.8,-0.8,-14.6,-0.1
2,1985-86,23.0,PHO,NBA,PG,10.0,206.0,8.8,0.519,0.169,0.508,1.7,10.7,6.4,16.6,1.1,0.0,20.8,17.6,,-0.1,0.1,0.1,0.018,,-3.1,-1.4,-4.5,-0.1
3,1987-88,25.0,NYK,NBA,PG,21.0,139.0,12.8,0.539,0.292,0.229,2.4,4.3,3.3,24.7,3.1,0.4,18.5,18.9,,0.1,0.2,0.3,0.099,,-1.3,0.7,-0.6,0.1
4,1988-89,26.0,IND,NBA,PG,2.0,9.0,-14.9,0.184,0.6,0.2,13.1,11.7,12.3,0.0,0.0,0.0,26.9,34.6,,-0.1,0.0,-0.1,-0.586,,-17.1,-9.5,-26.6,-0.1
5,1989-90,27.0,TOT,NBA,PG,64.0,968.0,8.0,0.461,0.252,0.332,1.6,5.4,3.5,23.8,1.7,0.0,20.3,15.9,,-0.4,0.4,0.0,-0.001,,-3.3,-1.6,-4.9,-0.7
6,1989-90,27.0,ATL,NBA,PG,32.0,286.0,10.1,0.53,0.181,0.347,1.2,4.5,2.8,23.9,1.8,0.0,20.2,15.3,,0.2,0.0,0.3,0.047,,-1.5,-0.9,-2.4,0.0
7,1989-90,27.0,SAC,NBA,PG,32.0,682.0,7.1,0.432,0.281,0.326,1.8,5.8,3.8,23.8,1.7,0.0,20.4,16.2,,-0.6,0.3,-0.3,-0.021,,-4.1,-1.9,-6.0,-0.7
8,1993-94,31.0,CLE,NBA,PG,12.0,64.0,-0.9,0.233,0.083,0.167,1.8,3.6,2.7,22.7,0.0,0.0,28.0,12.5,,-0.2,0.0,-0.2,-0.117,,-7.0,-3.6,-10.6,-0.1
9,Career,,,NBA,,112.0,1410.0,7.8,0.468,0.239,0.336,1.8,6.1,4.0,22.2,1.7,0.0,20.7,16.4,,-0.7,0.7,0.0,0.0,,-3.5,-1.5,-5.0,-1.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,ATL,NBA,,35.0,310.0,8.9,0.514,0.165,0.329,1.1,4.9,3.0,22.0,1.8,0.0,21.0,15.4,,0.1,0.1,0.2,0.03,,-2.4,-0.9,-3.4,-0.1
12,1 season,,SAC,NBA,,32.0,682.0,7.1,0.432,0.281,0.326,1.8,5.8,3.8,23.8,1.7,0.0,20.4,16.2,,-0.6,0.3,-0.3,-0.021,,-4.1,-1.9,-6.0,-0.7
13,1 season,,NYK,NBA,,21.0,139.0,12.8,0.539,0.292,0.229,2.4,4.3,3.3,24.7,3.1,0.4,18.5,18.9,,0.1,0.2,0.3,0.099,,-1.3,0.7,-0.6,0.1
14,1 season,,CLE,NBA,,12.0,64.0,-0.9,0.233,0.083,0.167,1.8,3.6,2.7,22.7,0.0,0.0,28.0,12.5,,-0.2,0.0,-0.2,-0.117,,-7.0,-3.6,-10.6,-0.1
15,1 season,,PHO,NBA,,10.0,206.0,8.8,0.519,0.169,0.508,1.7,10.7,6.4,16.6,1.1,0.0,20.8,17.6,,-0.1,0.1,0.1,0.018,,-3.1,-1.4,-4.5,-0.1
16,1 season,,IND,NBA,,2.0,9.0,-14.9,0.184,0.6,0.2,13.1,11.7,12.3,0.0,0.0,0.0,26.9,34.6,,-0.1,0.0,-0.1,-0.586,,-17.1,-9.5,-26.6,-0.1
