,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1998-99,23.0,ATL,NBA,PG,2.0,4.0,33.8,0.543,0.0,4.0,0.0,0.0,0.0,39.2,0.0,0.0,0.0,32.5,,0.0,0.0,0.0,0.446,,7.0,-0.3,6.8,0.0
1,1999-00,24.0,SEA,NBA,PG,43.0,517.0,12.2,0.455,0.36,0.227,2.5,8.6,5.5,24.2,1.8,0.0,13.9,24.5,,-0.1,0.3,0.2,0.02,,-0.9,-1.9,-2.8,-0.1
2,2000-01,25.0,SEA,NBA,PG,69.0,1238.0,15.4,0.569,0.361,0.261,3.2,9.0,6.1,24.2,1.3,0.2,16.7,17.9,,2.6,0.3,2.9,0.112,,2.0,-1.2,0.8,0.9
3,2001-02,26.0,SEA,NBA,SG,50.0,603.0,14.3,0.526,0.389,0.202,3.2,9.0,6.2,21.0,1.9,0.3,14.3,18.9,,0.8,0.3,1.2,0.095,,1.3,-0.7,0.6,0.4
4,2002-03,27.0,TOT,NBA,PG,78.0,1881.0,12.4,0.503,0.451,0.176,1.4,9.3,5.2,25.4,2.2,0.3,15.4,17.9,,1.1,2.0,3.1,0.078,,-1.2,0.0,-1.3,0.3
5,2002-03,27.0,BOS,NBA,PG,51.0,1169.0,12.3,0.512,0.47,0.169,1.1,9.8,5.3,19.3,2.8,0.2,14.4,16.9,,0.7,1.4,2.1,0.086,,-1.9,1.0,-0.9,0.3
6,2002-03,27.0,DEN,NBA,PG,27.0,712.0,12.5,0.489,0.423,0.187,1.9,8.4,5.0,35.3,1.2,0.3,16.9,19.6,,0.4,0.5,1.0,0.064,,-0.2,-1.8,-1.9,0.0
7,2003-04,28.0,TOT,NBA,"PG,SG",53.0,763.0,13.1,0.495,0.431,0.25,1.3,7.8,4.5,25.3,2.6,0.2,15.4,18.1,,0.7,0.2,1.0,0.06,,-0.9,-0.6,-1.5,0.1
8,2003-04,28.0,ORL,NBA,SG,37.0,525.0,14.0,0.536,0.49,0.298,1.9,7.5,4.6,19.7,2.3,0.1,13.2,16.9,,0.9,0.0,0.9,0.078,,0.0,-0.9,-0.8,0.2
9,2003-04,28.0,NOH,NBA,PG,16.0,238.0,11.1,0.415,0.321,0.16,0.0,8.4,4.1,37.6,3.2,0.3,19.5,20.7,,-0.2,0.3,0.1,0.02,,-2.9,0.1,-2.8,-0.1
10,2006-07,31.0,LAL,NBA,PG,30.0,345.0,10.8,0.53,0.581,0.07,3.8,9.8,6.8,13.3,1.8,0.0,12.8,13.2,,0.3,0.2,0.5,0.067,,-0.5,-0.4,-1.0,0.1
11,Career,,,NBA,,325.0,5351.0,13.3,0.514,0.416,0.211,2.3,8.9,5.5,23.7,1.9,0.2,15.2,18.4,,5.5,3.4,8.8,0.079,,-0.1,-0.7,-0.7,1.7
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3 seasons,,SEA,NBA,,162.0,2358.0,14.4,0.526,0.368,0.237,3.0,8.9,6.0,23.4,1.6,0.2,15.3,19.6,,3.3,1.0,4.3,0.088,,1.2,-1.2,-0.1,1.1
14,1 season,,BOS,NBA,,51.0,1169.0,12.3,0.512,0.47,0.169,1.1,9.8,5.3,19.3,2.8,0.2,14.4,16.9,,0.7,1.4,2.1,0.086,,-1.9,1.0,-0.9,0.3
15,1 season,,ORL,NBA,,37.0,525.0,14.0,0.536,0.49,0.298,1.9,7.5,4.6,19.7,2.3,0.1,13.2,16.9,,0.9,0.0,0.9,0.078,,0.0,-0.9,-0.8,0.2
16,1 season,,LAL,NBA,,30.0,345.0,10.8,0.53,0.581,0.07,3.8,9.8,6.8,13.3,1.8,0.0,12.8,13.2,,0.3,0.2,0.5,0.067,,-0.5,-0.4,-1.0,0.1
17,1 season,,DEN,NBA,,27.0,712.0,12.5,0.489,0.423,0.187,1.9,8.4,5.0,35.3,1.2,0.3,16.9,19.6,,0.4,0.5,1.0,0.064,,-0.2,-1.8,-1.9,0.0
18,1 season,,NOH,NBA,,16.0,238.0,11.1,0.415,0.321,0.16,0.0,8.4,4.1,37.6,3.2,0.3,19.5,20.7,,-0.2,0.3,0.1,0.02,,-2.9,0.1,-2.8,-0.1
19,1 season,,ATL,NBA,,2.0,4.0,33.8,0.543,0.0,4.0,0.0,0.0,0.0,39.2,0.0,0.0,0.0,32.5,,0.0,0.0,0.0,0.446,,7.0,-0.3,6.8,0.0
