,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2017-18,24.0,PHO,NBA,PG,23.0,384.0,15.6,0.54,0.21,0.306,2.5,14.7,8.5,22.2,3.2,1.5,13.5,18.0,,0.4,0.4,0.8,0.094,,-2.3,1.7,-0.7,0.1
1,2018-19,25.0,CHI,NBA,SG,73.0,1430.0,12.4,0.494,0.209,0.289,2.5,14.5,8.4,14.1,3.0,1.8,11.1,16.5,,-0.1,1.6,1.4,0.048,,-2.8,1.5,-1.3,0.2
2,2019-20,26.0,CHI,NBA,SG,43.0,484.0,17.8,0.559,0.255,0.303,4.8,15.3,9.8,15.3,3.4,3.7,9.2,18.1,,0.7,0.8,1.5,0.153,,0.4,2.4,2.8,0.6
3,2020-21,27.0,TOT,NBA,SG,34.0,333.0,6.8,0.416,0.205,0.282,2.4,13.7,8.1,9.5,2.5,1.5,11.1,12.9,,-0.2,0.4,0.2,0.03,,-5.5,1.5,-4.1,-0.2
4,2020-21,27.0,UTA,NBA,SG,17.0,56.0,6.5,0.375,0.1,0.3,5.9,10.9,8.5,21.5,1.7,0.0,18.1,21.3,,-0.1,0.1,0.0,-0.033,,-6.4,-0.3,-6.7,-0.1
5,2020-21,27.0,DEN,NBA,SG,17.0,277.0,6.9,0.431,0.241,0.276,1.6,14.3,8.0,7.1,2.7,1.8,8.4,11.2,,-0.1,0.4,0.2,0.042,,-5.4,1.8,-3.6,-0.1
6,2021-22,28.0,BRK,NBA,SG,2.0,23.0,4.6,0.333,0.333,0.0,4.9,13.8,9.5,16.6,2.1,3.9,25.0,15.0,,-0.1,0.0,0.0,-0.067,,-9.0,0.6,-8.3,0.0
7,2022-23,29.0,POR,NBA,SG,5.0,120.0,17.9,0.516,0.278,0.417,1.0,20.3,10.5,34.9,4.5,1.5,12.3,17.6,,0.2,0.2,0.3,0.137,,-2.5,2.6,0.1,0.1
8,Career,,,NBA,,180.0,2774.0,13.3,0.506,0.222,0.297,2.8,14.8,8.7,15.8,3.1,2.1,11.3,16.6,,0.9,3.4,4.3,0.074,,-2.5,1.7,-0.8,0.8
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,CHI,NBA,,116.0,1914.0,13.7,0.512,0.222,0.293,3.1,14.7,8.8,14.4,3.1,2.3,10.6,16.9,,0.6,2.3,3.0,0.075,,-2.0,1.7,-0.3,0.8
11,1 season,,PHO,NBA,,23.0,384.0,15.6,0.54,0.21,0.306,2.5,14.7,8.5,22.2,3.2,1.5,13.5,18.0,,0.4,0.4,0.8,0.094,,-2.3,1.7,-0.7,0.1
12,1 season,,DEN,NBA,,17.0,277.0,6.9,0.431,0.241,0.276,1.6,14.3,8.0,7.1,2.7,1.8,8.4,11.2,,-0.1,0.4,0.2,0.042,,-5.4,1.8,-3.6,-0.1
13,1 season,,UTA,NBA,,17.0,56.0,6.5,0.375,0.1,0.3,5.9,10.9,8.5,21.5,1.7,0.0,18.1,21.3,,-0.1,0.1,0.0,-0.033,,-6.4,-0.3,-6.7,-0.1
14,1 season,,POR,NBA,,5.0,120.0,17.9,0.516,0.278,0.417,1.0,20.3,10.5,34.9,4.5,1.5,12.3,17.6,,0.2,0.2,0.3,0.137,,-2.5,2.6,0.1,0.1
15,1 season,,BRK,NBA,,2.0,23.0,4.6,0.333,0.333,0.0,4.9,13.8,9.5,16.6,2.1,3.9,25.0,15.0,,-0.1,0.0,0.0,-0.067,,-9.0,0.6,-8.3,0.0
