,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1992-93,20.0,ORL,NBA,C,81.0,3071.0,22.9,0.584,0.002,0.553,13.4,27.1,20.6,8.5,1.0,5.7,15.9,27.0,,4.5,6.0,10.4,0.163,,2.0,1.5,3.5,4.3
1,1993-94,21.0,ORL,NBA,C,81.0,3224.0,28.5,0.605,0.001,0.534,13.5,23.7,18.7,11.0,1.2,4.5,10.2,29.0,,12.1,4.8,16.9,0.252,,6.2,0.6,6.8,7.2
2,1994-95,22.0,ORL,NBA,C,79.0,2923.0,28.6,0.588,0.003,0.536,13.3,21.7,17.6,13.3,1.3,4.5,9.4,31.9,,9.6,4.4,14.0,0.23,,5.6,0.2,5.8,5.7
3,1995-96,23.0,ORL,NBA,C,54.0,1946.0,26.4,0.57,0.002,0.495,11.1,24.2,17.8,15.9,0.9,4.4,11.0,32.8,,3.9,3.0,6.9,0.171,,3.5,0.2,3.7,2.8
4,1996-97,24.0,LAL,NBA,C,51.0,1941.0,27.1,0.556,0.004,0.483,11.6,25.9,18.8,17.3,1.2,5.8,10.8,31.1,,4.1,3.9,8.0,0.197,,4.7,1.8,6.5,4.1
5,1997-98,25.0,LAL,NBA,C,60.0,2175.0,28.8,0.587,0.0,0.594,11.1,24.0,17.7,13.5,0.9,4.6,10.8,32.9,,6.7,3.4,10.2,0.224,,5.7,0.2,5.8,4.3
6,1998-99,26.0,LAL,NBA,C,49.0,1705.0,30.6,0.584,0.001,0.563,13.1,22.6,18.0,14.4,1.1,3.5,10.0,32.4,,7.2,1.9,9.0,0.255,,7.5,-0.4,7.1,3.9
7,1999-00,27.0,LAL,NBA,C,79.0,3163.0,30.6,0.578,0.001,0.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,,11.7,7.0,18.6,0.283,,7.3,2.0,9.3,9.0
8,2000-01,28.0,LAL,NBA,C,74.0,2924.0,30.2,0.574,0.001,0.684,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,,11.1,3.9,14.9,0.245,,7.0,0.7,7.7,7.1
9,2001-02,29.0,LAL,NBA,C,67.0,2422.0,29.7,0.59,0.001,0.583,10.8,21.6,16.3,16.4,0.9,4.1,10.0,31.8,,9.2,4.0,13.2,0.262,,7.1,0.9,8.0,6.1
