,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1995-96,23.0,MIL,NBA,SG,62.0,845.0,10.8,0.488,0.418,0.144,4.0,6.8,5.4,12.7,2.0,0.4,11.9,19.1,,0.2,0.3,0.5,0.027,,-1.0,-0.9,-1.9,0.0
1,1996-97,24.0,TOT,NBA,SG,41.0,495.0,11.5,0.551,0.41,0.281,3.3,6.1,4.7,13.1,2.1,0.3,16.1,16.9,,0.5,0.2,0.7,0.068,,-1.1,-0.5,-1.6,0.0
2,1996-97,24.0,MIL,NBA,SG,14.0,83.0,4.4,0.453,0.474,0.368,4.4,5.9,5.2,14.2,0.0,0.0,26.6,16.8,,-0.1,0.0,-0.1,-0.067,,-4.1,-3.2,-7.3,-0.1
3,1996-97,24.0,TOR,NBA,SG,27.0,412.0,13.0,0.567,0.4,0.267,3.0,6.2,4.5,12.9,2.6,0.4,14.1,17.0,,0.6,0.3,0.8,0.095,,-0.5,0.1,-0.5,0.2
4,1997-98,25.0,TOT,NBA,SG,57.0,911.0,12.3,0.53,0.317,0.208,4.4,8.0,6.1,11.3,1.9,0.1,13.0,17.9,,0.8,0.0,0.8,0.045,,-1.1,-2.1,-3.2,-0.3
5,1997-98,25.0,TOR,NBA,SG,47.0,696.0,12.9,0.552,0.321,0.258,4.7,7.2,5.9,10.4,2.2,0.1,12.4,16.7,,1.0,0.0,0.9,0.064,,-0.5,-1.9,-2.4,-0.1
6,1997-98,25.0,DAL,NBA,SG,10.0,215.0,10.3,0.471,0.31,0.083,3.5,10.6,7.0,14.2,1.2,0.0,14.7,21.7,,-0.2,0.1,-0.1,-0.017,,-3.1,-2.6,-5.8,-0.2
7,1998-99,26.0,PHO,NBA,SG,12.0,99.0,11.4,0.458,0.361,0.278,2.3,13.2,7.7,13.2,2.7,0.0,11.0,21.2,,0.0,0.1,0.1,0.046,,-2.4,0.6,-1.8,0.0
8,Career,,,NBA,,172.0,2350.0,11.6,0.515,0.375,0.2,3.9,7.4,5.6,12.2,2.0,0.2,13.1,18.3,,1.4,0.7,2.1,0.043,,-1.1,-1.2,-2.3,-0.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,MIL,NBA,,76.0,928.0,10.3,0.486,0.421,0.158,4.0,6.7,5.3,12.8,1.8,0.3,13.1,18.9,,0.1,0.3,0.4,0.018,,-1.3,-1.1,-2.4,-0.1
11,2 seasons,,TOR,NBA,,74.0,1108.0,12.9,0.557,0.35,0.261,4.1,6.8,5.4,11.3,2.3,0.2,13.0,16.8,,1.5,0.2,1.7,0.075,,-0.5,-1.2,-1.7,0.1
12,1 season,,PHO,NBA,,12.0,99.0,11.4,0.458,0.361,0.278,2.3,13.2,7.7,13.2,2.7,0.0,11.0,21.2,,0.0,0.1,0.1,0.046,,-2.4,0.6,-1.8,0.0
13,1 season,,DAL,NBA,,10.0,215.0,10.3,0.471,0.31,0.083,3.5,10.6,7.0,14.2,1.2,0.0,14.7,21.7,,-0.2,0.1,-0.1,-0.017,,-3.1,-2.6,-5.8,-0.2
