,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1979-80,22.0,MIL,NBA,SG,77.0,1557.0,15.9,0.564,0.002,0.647,11.1,12.5,11.8,10.7,2.2,0.6,16.8,17.8,,2.8,2.0,4.9,0.15,,1.4,0.2,1.5,1.4
1,1980-81,23.0,MIL,NBA,SG,80.0,2417.0,18.0,0.614,0.012,0.539,8.8,9.8,9.3,14.1,1.7,0.9,13.7,17.2,,6.9,2.9,9.9,0.196,,3.4,0.3,3.8,3.5
2,1981-82,24.0,MIL,NBA,SG,80.0,2980.0,20.1,0.601,0.013,0.539,8.8,11.6,10.3,18.1,2.2,0.4,13.7,21.0,,8.9,4.5,13.4,0.216,,3.9,0.9,4.8,5.1
3,1982-83,25.0,MIL,NBA,SG,76.0,2710.0,22.6,0.602,0.009,0.522,8.2,9.5,8.9,16.9,2.0,0.5,12.2,24.7,,9.7,3.5,13.2,0.233,,5.1,0.4,5.4,5.1
4,1983-84,26.0,MIL,NBA,SG,79.0,3075.0,19.8,0.591,0.016,0.555,8.3,11.1,9.8,17.1,1.7,0.5,13.4,22.2,,8.4,4.2,12.7,0.198,,3.7,0.4,4.1,4.7
5,1984-85,27.0,MIL,NBA,PG,73.0,2734.0,20.1,0.565,0.028,0.472,6.1,9.8,7.9,20.1,2.1,0.8,11.6,23.6,,7.3,3.9,11.2,0.197,,3.8,1.0,4.8,4.7
6,1985-86,28.0,MIL,NBA,PG,73.0,2567.0,20.0,0.604,0.107,0.603,5.0,9.4,7.3,19.2,1.9,0.4,12.5,21.8,,8.3,3.4,11.7,0.219,,4.2,0.7,4.9,4.5
7,1986-87,29.0,MIL,NBA,SG,39.0,992.0,15.9,0.582,0.096,0.5,6.3,7.9,7.1,17.1,1.3,0.6,13.7,18.9,,2.0,0.9,2.9,0.142,,2.1,-0.4,1.7,0.9
8,1987-88,30.0,MIL,NBA,SG,56.0,1428.0,15.2,0.569,0.07,0.441,4.6,9.6,7.1,20.4,1.4,0.6,14.0,18.2,,2.5,1.2,3.7,0.123,,1.1,-0.2,0.9,1.1
9,1988-89,31.0,MIL,NBA,PG,62.0,1594.0,16.4,0.591,0.137,0.445,3.3,9.3,6.2,16.9,2.0,0.5,12.9,19.0,,3.5,1.6,5.0,0.151,,1.9,0.7,2.6,1.9
10,1990-91,33.0,ATL,NBA,SG,72.0,1096.0,11.2,0.589,0.267,0.438,3.0,10.0,6.4,12.8,2.2,0.5,18.7,13.3,,1.1,0.8,1.8,0.079,,-1.6,0.9,-0.7,0.4
11,Career,,,NBA,,767.0,23150.0,18.7,0.591,0.047,0.527,7.1,10.2,8.6,17.0,1.9,0.6,13.3,20.6,,61.4,28.9,90.3,0.187,,3.2,0.5,3.7,33.1
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10 seasons,,MIL,NBA,,695.0,22054.0,19.1,0.591,0.041,0.53,7.3,10.2,8.7,17.2,1.9,0.6,13.1,21.0,,60.3,28.2,88.5,0.193,,3.4,0.5,3.9,32.8
14,1 season,,ATL,NBA,,72.0,1096.0,11.2,0.589,0.267,0.438,3.0,10.0,6.4,12.8,2.2,0.5,18.7,13.3,,1.1,0.8,1.8,0.079,,-1.6,0.9,-0.7,0.4
