,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,24.0,NYK,BAA,,59.0,,,0.339,0.214,,,,,,2.6,1.5,4.0,,
1,1947-48,25.0,TOT,BAA,,41.0,,,0.312,0.176,,,,,,0.0,1.3,1.4,,
2,1947-48,25.0,NYK,BAA,,4.0,,,0.159,0.286,,,,,,-0.2,0.1,-0.1,,
3,1947-48,25.0,WSC,BAA,,37.0,,,0.317,0.173,,,,,,0.2,1.3,1.5,,
4,1948-49,26.0,WSC,BAA,,60.0,,,0.36,0.303,,,,,,0.2,2.1,2.3,,
5,1949-50,27.0,BOS,NBA,,68.0,,,0.365,0.221,,,,,,-0.9,1.6,0.7,,
6,1950-51,28.0,BOS,NBA,,65.0,,,0.412,0.415,,,,,,1.4,1.1,2.5,,
7,Career,,,TOT,,293.0,,,0.362,0.268,,,,,,3.3,7.5,10.8,,
8,,,,BAA,,160.0,,,0.339,0.234,,,,,,2.8,4.9,7.7,,
9,,,,NBA,,133.0,,,0.386,0.304,,,,,,0.5,2.7,3.1,,
10,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,BOS,NBA,,133.0,,,0.386,0.304,,,,,,0.5,2.7,3.1,,
12,2 seasons,,WSC,BAA,,97.0,,,0.343,0.248,,,,,,0.5,3.3,3.8,,
13,2 seasons,,NYK,BAA,,63.0,,,0.335,0.216,,,,,,2.4,1.5,3.9,,
