,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1987-88,23.0,DAL,NBA,PG,28.0,197.0,11.6,0.472,0.145,0.309,1.7,10.9,6.3,15.4,4.3,0.9,16.1,15.6,,0.0,0.3,0.3,0.082,,-4.1,3.1,-1.1,0.0
1,1988-89,24.0,TOT,NBA,PG,66.0,906.0,11.9,0.522,0.17,0.188,1.1,6.8,4.0,13.2,2.2,0.2,11.4,16.6,,0.7,0.7,1.4,0.072,,-2.1,-0.5,-2.5,-0.1
2,1988-89,24.0,DAL,NBA,PG,9.0,38.0,7.2,0.295,0.182,0.182,0.0,8.6,4.4,32.0,1.3,0.0,7.8,14.7,,0.0,0.0,0.0,-0.026,,-4.8,0.4,-4.4,0.0
3,1988-89,24.0,GSW,NBA,PG,57.0,868.0,12.1,0.53,0.169,0.188,1.2,6.8,4.0,12.4,2.3,0.2,11.5,16.7,,0.7,0.6,1.4,0.076,,-2.0,-0.5,-2.5,-0.1
4,1989-90,25.0,DAL,NBA,PG,41.0,302.0,18.7,0.544,0.159,0.268,0.8,8.5,4.7,21.2,2.5,0.6,9.4,24.7,,0.6,0.3,0.9,0.144,,1.2,0.4,1.6,0.3
5,1990-91,26.0,DAL,NBA,PG,34.0,236.0,20.5,0.578,0.197,0.265,4.8,6.8,5.8,16.4,1.7,0.3,10.9,27.5,,0.5,0.1,0.6,0.121,,3.5,-1.4,2.1,0.2
6,Career,,,NBA,,169.0,1641.0,14.4,0.533,0.17,0.23,1.7,7.6,4.7,15.4,2.5,0.4,11.3,19.6,,1.8,1.4,3.2,0.093,,-0.9,0.0,-0.9,0.5
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,DAL,NBA,,112.0,773.0,16.9,0.536,0.171,0.271,2.2,8.6,5.4,18.8,2.7,0.5,11.1,22.8,,1.0,0.8,1.8,0.113,,0.2,0.5,0.8,0.5
9,1 season,,GSW,NBA,,57.0,868.0,12.1,0.53,0.169,0.188,1.2,6.8,4.0,12.4,2.3,0.2,11.5,16.7,,0.7,0.6,1.4,0.076,,-2.0,-0.5,-2.5,-0.1
