,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1969-70,22.0,BOS,NBA,PF,51.0,797.0,11.3,0.431,0.275,,,,4.8,,,,,,-0.8,1.0,0.2,0.01,,,,,
1,1970-71,23.0,BOS,NBA,PF,82.0,1867.0,11.8,0.46,0.246,,,12.4,5.3,,,,,,-0.1,2.7,2.6,0.066,,,,,
2,1971-72,24.0,BOS,NBA,PF,71.0,1128.0,11.4,0.46,0.23,,,13.0,5.1,,,,,,-0.2,1.9,1.7,0.073,,,,,
3,1972-73,25.0,BOS,NBA,SF,78.0,762.0,11.7,0.449,0.242,,,11.6,4.4,,,,,,-0.3,1.5,1.2,0.077,,,,,
4,1973-74,26.0,BOS,NBA,PF,78.0,985.0,10.9,0.48,0.302,9.7,13.5,11.6,5.1,0.3,0.3,,,,0.7,1.0,1.7,0.084,,-2.2,-1.2,-3.4,-0.4
5,1974-75,27.0,MIL,NBA,SF,59.0,517.0,11.6,0.457,0.352,10.9,13.9,12.4,9.0,1.0,0.3,,,,0.2,0.4,0.6,0.056,,-1.6,-1.2,-2.8,-0.1
6,1975-76,28.0,TOT,NBA,"C,SF",70.0,967.0,12.0,0.523,0.271,9.2,17.3,13.2,6.5,0.6,0.7,,,,1.2,1.1,2.3,0.113,,-1.2,-0.2,-1.3,0.2
7,1975-76,28.0,BUF,NBA,SF,10.0,85.0,7.8,0.464,0.176,5.1,25.0,15.4,4.4,0.5,1.2,,,,0.0,0.1,0.1,0.043,,-3.3,0.0,-3.4,0.0
8,1975-76,28.0,BOS,NBA,C,60.0,882.0,12.4,0.527,0.277,9.6,16.5,13.0,6.7,0.6,0.6,,,,1.2,1.0,2.2,0.12,,-0.9,-0.2,-1.1,0.2
9,1976-77,29.0,BOS,NBA,SF,76.0,860.0,10.7,0.466,0.266,8.8,15.0,11.9,6.3,0.4,0.3,,,,0.3,0.8,1.1,0.061,,-1.8,-1.0,-2.8,-0.2
10,1977-78,30.0,BOS,NBA,PF,3.0,14.0,0.6,0.25,0.0,7.4,35.5,21.8,0.0,3.2,0.0,33.3,16.6,,-0.1,0.0,0.0,-0.14,,-4.9,0.0,-4.9,0.0
11,Career,,,NBA,,568.0,7897.0,11.4,0.464,0.263,9.5,15.1,12.4,5.6,0.5,0.4,33.3,16.6,,0.9,10.4,11.4,0.069,,-1.7,-0.9,-2.6,-0.5
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8 seasons,,BOS,NBA,,499.0,7295.0,11.5,0.465,0.258,9.3,15.1,12.3,5.3,0.4,0.4,33.3,16.6,,0.8,9.9,10.7,0.07,,-1.7,-0.8,-2.5,-0.4
14,1 season,,MIL,NBA,,59.0,517.0,11.6,0.457,0.352,10.9,13.9,12.4,9.0,1.0,0.3,,,,0.2,0.4,0.6,0.056,,-1.6,-1.2,-2.8,-0.1
15,1 season,,BUF,NBA,,10.0,85.0,7.8,0.464,0.176,5.1,25.0,15.4,4.4,0.5,1.2,,,,0.0,0.1,0.1,0.043,,-3.3,0.0,-3.4,0.0
