,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1977-78,22.0,POR,NBA,SG,63.0,768.0,11.7,0.448,,0.233,8.7,11.1,10.0,7.6,2.8,0.6,11.7,15.4,,0.4,1.2,1.6,0.099,,-0.7,1.1,0.4,0.5
1,1978-79,23.0,POR,NBA,SG,80.0,1828.0,12.3,0.496,,0.288,8.7,12.3,10.5,7.4,2.2,0.7,13.1,15.3,,1.7,2.0,3.7,0.097,,-0.3,0.1,-0.2,0.8
2,1979-80,24.0,POR,NBA,SG,82.0,1841.0,12.5,0.47,0.005,0.201,7.8,11.6,9.7,10.9,2.7,1.0,13.2,15.4,,0.9,2.3,3.3,0.086,,-0.8,1.3,0.4,1.1
3,1980-81,25.0,DEN,NBA,SG,82.0,1427.0,10.2,0.456,0.006,0.342,9.3,12.3,10.8,6.7,2.0,1.0,12.1,12.1,,0.7,0.8,1.6,0.052,,-0.9,-0.1,-1.0,0.3
4,1981-82,26.0,DEN,NBA,SG,82.0,2519.0,12.1,0.559,0.002,0.427,9.2,14.4,11.9,8.3,2.3,0.7,17.0,10.9,,2.9,1.1,4.0,0.076,,0.7,-0.1,0.6,1.7
5,1982-83,27.0,DEN,NBA,SG,82.0,2640.0,11.4,0.524,0.002,0.309,8.8,14.7,11.8,7.9,2.4,0.5,15.9,10.0,,2.6,1.8,4.4,0.079,,-0.1,0.2,0.1,1.4
6,1983-84,28.0,DEN,NBA,SG,80.0,2705.0,10.2,0.523,0.003,0.392,7.4,15.1,11.1,9.1,2.8,0.6,18.3,7.4,,2.0,2.1,4.1,0.073,,-0.8,1.2,0.4,1.6
7,1984-85,29.0,DEN,NBA,SG,81.0,2290.0,9.8,0.531,0.006,0.324,7.4,10.7,9.0,7.4,2.7,0.3,13.7,7.8,,2.1,2.3,4.4,0.092,,-1.3,1.1,-0.1,1.0
8,1985-86,30.0,DEN,NBA,SG,82.0,2401.0,9.4,0.493,0.003,0.232,5.9,10.7,8.2,8.2,2.9,0.4,10.9,7.5,,1.8,3.1,4.9,0.098,,-1.9,2.2,0.3,1.4
9,1986-87,31.0,DEN,NBA,SG,81.0,1932.0,7.8,0.453,0.007,0.199,4.6,10.1,7.2,8.6,2.3,0.6,9.9,6.6,,0.9,1.5,2.4,0.06,,-2.7,1.2,-1.4,0.3
10,1987-88,32.0,DEN,NBA,SG,82.0,1534.0,8.3,0.503,0.006,0.333,7.3,9.3,8.2,6.3,3.0,0.4,12.7,5.2,,1.3,2.0,3.2,0.102,,-2.0,2.4,0.4,0.9
11,1988-89,33.0,PHO,NBA,SG,34.0,321.0,7.0,0.41,0.0,0.343,10.4,9.5,9.9,8.5,1.7,0.2,13.0,5.7,,0.3,0.3,0.6,0.088,,-1.5,1.2,-0.3,0.1
12,1989-90,34.0,DEN,NBA,SF,65.0,657.0,9.8,0.499,0.021,0.402,8.4,13.9,11.0,7.5,2.8,0.4,14.3,7.9,,0.5,0.9,1.4,0.101,,-2.3,1.6,-0.7,0.2
13,1990-91,35.0,DEN,NBA,SG,17.0,217.0,10.7,0.506,0.085,0.213,7.9,10.6,9.1,12.4,2.3,0.2,12.0,9.5,,0.3,0.0,0.3,0.066,,-2.5,-0.3,-2.8,0.0
14,Career,,,NBA,,993.0,23080.0,10.4,0.5,0.005,0.302,7.7,12.3,10.0,8.2,2.6,0.6,13.9,9.7,,18.2,21.6,39.8,0.083,,-1.0,1.0,0.0,11.5
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10 seasons,,DEN,NBA,,734.0,18322.0,10.1,0.511,0.006,0.327,7.5,12.5,10.0,8.0,2.6,0.5,14.4,8.5,,14.9,15.7,30.6,0.08,,-1.1,1.0,-0.1,8.9
17,3 seasons,,POR,NBA,,225.0,4437.0,12.3,0.477,0.002,0.243,8.3,11.8,10.0,8.9,2.5,0.8,12.9,15.4,,3.0,5.5,8.5,0.092,,-0.6,0.7,0.1,2.4
18,1 season,,PHO,NBA,,34.0,321.0,7.0,0.41,0.0,0.343,10.4,9.5,9.9,8.5,1.7,0.2,13.0,5.7,,0.3,0.3,0.6,0.088,,-1.5,1.2,-0.3,0.1
