,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1982-83,21.0,SDC,NBA,PF,70.0,2531.0,22.8,0.557,0.001,0.315,12.6,21.6,16.7,10.9,2.4,1.4,12.0,26.0,,6.5,2.2,8.7,0.164,,3.8,-0.8,3.0,3.2
1,1983-84,22.0,SDC,NBA,PF,81.0,2907.0,19.8,0.538,0.002,0.354,12.6,17.6,15.1,7.2,1.5,1.1,11.2,26.6,,5.7,1.8,7.5,0.123,,2.0,-1.6,0.4,1.8
2,1984-85,23.0,MIL,NBA,PF,79.0,2722.0,22.1,0.536,0.001,0.302,10.0,19.1,14.6,13.5,2.1,1.5,9.9,28.8,,5.6,5.1,10.7,0.189,,3.6,0.7,4.3,4.3
3,1985-86,24.0,MIL,NBA,PF,82.0,2669.0,18.2,0.503,0.001,0.281,9.4,19.5,14.5,11.1,2.1,1.1,10.6,27.2,,2.5,4.9,7.4,0.133,,0.9,0.0,0.9,2.0
4,1986-87,25.0,MIL,NBA,PF,82.0,2770.0,20.5,0.536,0.002,0.264,8.5,19.8,14.1,13.5,2.2,1.8,9.8,26.1,,4.1,4.7,8.8,0.152,,2.5,0.8,3.3,3.7
5,1987-88,26.0,MIL,NBA,PF,76.0,2629.0,17.4,0.516,0.002,0.292,7.9,15.8,11.8,11.6,1.5,1.0,9.8,27.9,,2.2,2.9,5.2,0.094,,0.7,-0.7,-0.1,1.3
6,1988-89,27.0,MIL,NBA,SF,80.0,2824.0,19.7,0.518,0.01,0.294,11.3,15.3,13.3,11.7,1.8,1.6,10.2,28.9,,4.2,3.5,7.7,0.131,,2.0,-0.8,1.2,2.3
7,1989-90,28.0,SAS,NBA,PF,81.0,2821.0,19.6,0.527,0.039,0.287,9.3,17.5,13.5,12.9,1.9,1.1,10.5,28.3,,4.3,4.4,8.7,0.149,,1.8,-0.1,1.7,2.7
8,1990-91,29.0,SAS,NBA,PF,67.0,2195.0,16.3,0.514,0.032,0.231,10.3,15.6,13.1,11.3,1.4,0.8,10.3,24.2,,2.3,3.2,5.6,0.122,,0.5,-0.3,0.2,1.2
9,1991-92,30.0,SAS,NBA,PF,70.0,2149.0,18.5,0.52,0.012,0.236,12.7,19.3,16.0,7.7,1.3,1.0,9.0,25.1,,3.2,3.2,6.5,0.145,,1.2,-1.1,0.1,1.1
10,1992-93,31.0,SAS,NBA,PF,8.0,76.0,7.9,0.404,0.0,0.345,9.5,18.7,14.3,7.6,0.7,0.8,5.6,20.5,,0.0,0.1,0.0,0.023,,-4.8,-1.3,-6.1,-0.1
11,1993-94,32.0,SAS,NBA,PF,59.0,1133.0,12.7,0.452,0.005,0.25,13.8,15.6,14.8,6.9,1.5,0.8,11.0,21.1,,0.4,1.4,1.8,0.076,,-2.4,-1.3,-3.7,-0.5
12,1994-95,33.0,SAS,NBA,PF,76.0,1273.0,13.3,0.502,0.0,0.265,12.9,20.4,16.8,7.3,1.4,1.0,15.5,21.2,,0.1,1.9,2.0,0.076,,-3.1,-0.4,-3.4,-0.5
13,1995-96,34.0,MIL,NBA,PF,81.0,1777.0,13.9,0.493,0.012,0.274,11.0,19.9,15.3,8.1,1.7,1.3,9.5,18.6,,1.5,1.5,3.0,0.08,,-1.6,-0.6,-2.3,-0.1
14,1996-97,35.0,SEA,NBA,PF,45.0,828.0,15.2,0.521,0.016,0.257,10.2,16.4,13.3,8.3,2.1,0.7,11.2,22.1,,0.9,1.2,2.1,0.121,,-1.3,-0.7,-2.0,0.0
15,1997-98,36.0,TOT,NBA,PF,74.0,1185.0,13.7,0.496,0.002,0.229,9.5,18.6,14.0,7.3,1.7,0.6,9.8,20.2,,0.9,1.6,2.6,0.103,,-2.2,-0.4,-2.6,-0.2
16,1997-98,36.0,PHI,NBA,PF,44.0,656.0,12.9,0.49,0.005,0.274,9.6,16.4,13.0,5.6,1.8,0.6,6.7,17.4,,0.8,0.7,1.4,0.106,,-2.1,-0.8,-2.9,-0.2
17,1997-98,36.0,NYK,NBA,PF,30.0,529.0,14.6,0.501,0.0,0.185,9.5,21.2,15.3,9.3,1.6,0.7,12.7,23.7,,0.1,1.0,1.1,0.101,,-2.3,0.1,-2.2,0.0
18,1998-99,37.0,GSW,NBA,PF,50.0,1011.0,16.2,0.479,0.002,0.269,9.8,17.3,13.5,10.8,2.5,0.7,10.9,23.4,,1.1,1.5,2.6,0.122,,-0.9,0.8,-0.1,0.4
19,1999-00,38.0,GSW,NBA,PF,22.0,398.0,14.0,0.474,0.0,0.22,11.2,17.4,14.1,9.3,1.6,1.4,12.2,23.4,,0.2,0.3,0.4,0.049,,-2.3,-1.1,-3.4,-0.1
20,Career,,,NBA,,1183.0,33898.0,18.3,0.52,0.009,0.283,10.6,18.2,14.4,10.5,1.8,1.2,10.5,25.6,,45.7,45.5,91.1,0.129,,1.0,-0.4,0.6,22.5
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6 seasons,,MIL,NBA,,480.0,15391.0,18.9,0.52,0.004,0.286,9.6,18.1,13.9,11.8,1.9,1.4,10.0,26.7,,20.2,22.6,42.7,0.133,,1.5,-0.1,1.5,13.4
23,6 seasons,,SAS,NBA,,361.0,9647.0,16.9,0.512,0.024,0.257,11.3,17.7,14.6,9.9,1.5,1.0,10.7,24.8,,10.3,14.4,24.6,0.123,,0.2,-0.5,-0.4,4.0
24,2 seasons,,SDC,NBA,,151.0,5438.0,21.2,0.547,0.001,0.336,12.6,19.5,15.9,8.9,1.9,1.2,11.6,26.3,,12.2,3.9,16.1,0.142,,2.8,-1.2,1.6,5.0
25,2 seasons,,GSW,NBA,,72.0,1409.0,15.6,0.477,0.002,0.255,10.2,17.4,13.7,10.4,2.2,0.9,11.3,23.4,,1.2,1.7,3.0,0.102,,-1.3,0.3,-1.0,0.3
26,1 season,,SEA,NBA,,45.0,828.0,15.2,0.521,0.016,0.257,10.2,16.4,13.3,8.3,2.1,0.7,11.2,22.1,,0.9,1.2,2.1,0.121,,-1.3,-0.7,-2.0,0.0
27,1 season,,PHI,NBA,,44.0,656.0,12.9,0.49,0.005,0.274,9.6,16.4,13.0,5.6,1.8,0.6,6.7,17.4,,0.8,0.7,1.4,0.106,,-2.1,-0.8,-2.9,-0.2
28,1 season,,NYK,NBA,,30.0,529.0,14.6,0.501,0.0,0.185,9.5,21.2,15.3,9.3,1.6,0.7,12.7,23.7,,0.1,1.0,1.1,0.101,,-2.3,0.1,-2.2,0.0
