,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1970-71,23.0,DET,NBA,PF,69.0,1255.0,10.4,0.482,,0.484,,,15.5,5.6,,,,,,0.5,1.3,1.7,0.066,,,,,
1,1971-72,24.0,BAL,NBA,PF,40.0,313.0,11.9,0.442,,0.375,,,16.4,9.7,,,,,,-0.2,0.4,0.3,0.039,,,,,
2,1972-73,25.0,TOT,NBA,"C,PF",60.0,964.0,11.6,0.456,,0.19,,,15.1,7.1,,,,,,-0.1,1.8,1.7,0.084,,,,,
3,1972-73,25.0,BAL,NBA,PF,1.0,5.0,1.9,0.0,,0.0,,,28.1,0.0,,,,,,0.0,0.0,0.0,-0.147,,,,,
4,1972-73,25.0,MIL,NBA,C,59.0,959.0,11.7,0.457,,0.19,,,15.0,7.1,,,,,,-0.1,1.8,1.7,0.085,,,,,
5,1973-74,26.0,MIL,NBA,PF,64.0,697.0,11.9,0.497,,0.246,11.4,17.2,14.5,9.5,1.4,1.2,,,,0.3,1.1,1.5,0.1,,-2.1,0.7,-1.3,0.1
6,1974-75,27.0,TOT,TOT,PF,41.0,403.0,8.5,0.403,0.0,0.215,10.9,15.2,13.0,10.8,1.1,0.8,17.3,17.5,,-0.3,0.3,0.0,0.001,,-3.4,-0.9,-4.3,-0.3
7,1974-75,27.0,MIL,NBA,PF,11.0,52.0,5.3,0.252,,0.154,14.5,17.5,16.1,7.1,0.9,0.0,,,,-0.1,0.0,-0.1,-0.068,,-4.4,-0.6,-5.0,-0.1
8,1974-75,27.0,SSL,ABA,PF,30.0,351.0,9.0,0.418,0.0,0.221,10.3,14.8,12.5,11.4,1.2,0.9,17.3,17.5,,-0.2,0.2,0.1,0.011,,-3.3,-0.9,-4.2,-0.2
9,Career,,,TOT,,274.0,3632.0,10.9,0.463,0.0,0.308,11.2,16.5,15.0,7.7,1.3,1.0,17.3,17.5,,0.3,4.9,5.1,0.068,,-2.6,0.2,-2.4,-0.2
10,,,,NBA,,244.0,3281.0,11.1,0.469,,0.319,11.6,17.2,15.3,7.3,1.3,1.1,,,,0.4,4.6,5.0,0.074,,-2.2,0.7,-1.6,0.0
11,,,,ABA,,30.0,351.0,9.0,0.418,0.0,0.221,10.3,14.8,12.5,11.4,1.2,0.9,17.3,17.5,,-0.2,0.2,0.1,0.011,,-3.3,-0.9,-4.2,-0.2
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3 seasons,,MIL,NBA,,134.0,1708.0,11.6,0.467,,0.209,11.6,17.2,14.8,8.1,1.3,1.1,,,,0.1,2.9,3.1,0.086,,-2.2,0.7,-1.6,0.0
14,1 season,,DET,NBA,,69.0,1255.0,10.4,0.482,,0.484,,,15.5,5.6,,,,,,0.5,1.3,1.7,0.066,,,,,
15,2 seasons,,BAL,NBA,,41.0,318.0,11.7,0.438,,0.371,,,16.6,9.6,,,,,,-0.2,0.4,0.2,0.036,,,,,
16,1 season,,SSL,ABA,,30.0,351.0,9.0,0.418,0.0,0.221,10.3,14.8,12.5,11.4,1.2,0.9,17.3,17.5,,-0.2,0.2,0.1,0.011,,-3.3,-0.9,-4.2,-0.2
