,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1983-84,22.0,UTA,NBA,PF,81.0,2009.0,12.9,0.539,0.0,0.198,6.4,17.3,12.1,8.4,0.9,3.1,14.1,14.8,,1.3,2.3,3.6,0.086,,-1.2,0.7,-0.5,0.8
1,1984-85,23.0,UTA,NBA,PF,80.0,2481.0,14.7,0.533,0.001,0.226,6.5,15.1,10.9,8.2,0.9,2.3,11.8,20.6,,1.6,3.8,5.4,0.104,,-0.6,0.5,-0.2,1.2
2,1985-86,24.0,UTA,NBA,PF,82.0,2358.0,15.0,0.499,0.006,0.257,6.9,15.7,11.4,9.7,0.8,2.7,10.7,23.0,,1.0,3.0,4.0,0.081,,-0.5,-0.4,-0.9,0.7
3,1986-87,25.0,UTA,NBA,PF,81.0,2155.0,13.9,0.49,0.002,0.228,6.9,14.0,10.4,7.1,0.8,2.3,9.7,23.2,,0.2,2.9,3.1,0.07,,-1.0,-0.4,-1.3,0.4
4,1987-88,26.0,UTA,NBA,SF,82.0,2804.0,16.3,0.547,0.002,0.317,5.4,14.6,10.2,8.6,0.8,2.6,11.5,24.2,,2.7,4.1,6.8,0.116,,0.3,-0.1,0.2,1.6
5,1988-89,27.0,UTA,NBA,SF,82.0,2777.0,15.6,0.544,0.004,0.346,5.0,12.3,8.9,8.5,0.8,2.0,12.4,25.5,,2.4,4.1,6.5,0.113,,0.1,-0.4,-0.3,1.2
6,1989-90,28.0,UTA,NBA,SF,82.0,2583.0,13.4,0.527,0.008,0.292,5.6,12.5,9.3,8.1,0.6,2.4,11.2,21.0,,1.7,2.8,4.6,0.085,,-0.6,-0.6,-1.2,0.5
7,1990-91,29.0,UTA,NBA,PF,82.0,2486.0,12.5,0.513,0.003,0.311,5.1,13.6,9.6,7.7,1.1,2.3,11.6,20.0,,0.6,3.1,3.7,0.072,,-1.4,0.0,-1.4,0.4
8,1991-92,30.0,TOT,NBA,PF,84.0,2104.0,14.5,0.498,0.002,0.323,6.3,19.5,12.8,5.5,0.8,3.3,10.2,21.5,,0.8,1.8,2.6,0.059,,-1.3,-1.1,-2.4,-0.2
9,1991-92,30.0,UTA,NBA,PF,13.0,327.0,12.0,0.487,0.01,0.545,8.3,18.1,13.5,8.0,0.8,2.8,14.4,19.3,,0.1,0.4,0.5,0.079,,-1.9,-0.1,-2.0,0.0
10,1991-92,30.0,MIN,NBA,PF,71.0,1777.0,14.9,0.5,0.001,0.293,6.0,19.7,12.6,5.0,0.9,3.4,9.5,21.9,,0.7,1.4,2.0,0.055,,-1.2,-1.3,-2.5,-0.2
11,1992-93,31.0,MIN,NBA,PF,70.0,1276.0,12.9,0.516,0.0,0.318,5.0,15.2,10.1,7.9,0.8,2.3,10.6,19.8,,0.6,0.6,1.2,0.046,,-1.1,-1.4,-2.5,-0.1
12,1993-94,32.0,MIN,NBA,PF,79.0,1297.0,15.2,0.56,0.004,0.327,6.1,13.2,9.7,7.2,0.8,2.9,10.0,19.5,,1.9,0.7,2.6,0.097,,0.5,-0.8,-0.3,0.6
13,1998-99,37.0,UTA,NBA,PF,43.0,543.0,11.5,0.476,0.011,0.194,8.7,12.1,10.6,8.7,0.9,3.9,12.4,19.1,,0.2,0.7,0.9,0.083,,-2.9,0.3,-2.6,-0.1
14,Career,,,NBA,,928.0,24873.0,14.3,0.523,0.003,0.285,6.0,14.7,10.5,8.0,0.8,2.6,11.3,21.5,,15.0,30.1,45.0,0.087,,-0.6,-0.3,-0.9,6.9
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10 seasons,,UTA,NBA,,708.0,20523.0,14.3,0.523,0.004,0.28,6.0,14.3,10.3,8.3,0.9,2.5,11.6,21.6,,11.8,27.4,39.1,0.092,,-0.6,-0.1,-0.7,6.6
17,3 seasons,,MIN,NBA,,220.0,4350.0,14.4,0.521,0.002,0.309,5.7,16.4,11.0,6.5,0.8,2.9,9.9,20.6,,3.2,2.7,5.9,0.065,,-0.7,-1.2,-1.8,0.2
