,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1992-93,23.0,MIL,NBA,SG,71.0,1931.0,14.5,0.513,0.222,0.359,8.5,8.9,8.7,9.4,1.9,1.6,11.0,23.9,,1.5,1.1,2.6,0.065,,-0.1,-1.5,-1.6,0.2
1,1993-94,24.0,MIL,NBA,SG,76.0,2127.0,13.5,0.488,0.175,0.392,5.9,11.2,8.4,10.7,2.5,1.7,11.5,22.8,,0.6,1.5,2.1,0.047,,-1.2,-0.7,-1.9,0.1
2,1994-95,25.0,MIL,NBA,SG,82.0,2717.0,14.4,0.546,0.398,0.325,4.1,10.4,7.1,8.3,2.0,1.7,11.6,22.1,,2.9,1.9,4.8,0.085,,0.4,-0.5,-0.1,1.3
3,1995-96,26.0,TOT,NBA,SG,79.0,1807.0,13.5,0.489,0.37,0.351,4.3,9.9,7.0,9.5,2.2,2.0,10.4,25.2,,0.4,1.5,1.9,0.049,,-0.8,-0.5,-1.3,0.3
4,1995-96,26.0,MIL,NBA,SG,8.0,171.0,8.0,0.443,0.352,0.366,5.6,10.2,7.9,4.6,1.2,1.4,11.8,25.0,,-0.2,0.1,-0.1,-0.028,,-5.0,-1.3,-6.3,-0.2
5,1995-96,26.0,BOS,NBA,SG,71.0,1636.0,14.1,0.493,0.371,0.35,4.1,9.8,6.9,10.0,2.3,2.1,10.2,25.2,,0.6,1.4,2.0,0.057,,-0.4,-0.4,-0.8,0.5
6,1996-97,27.0,BOS,NBA,SG,81.0,2277.0,15.5,0.515,0.348,0.331,5.1,12.1,8.3,8.6,2.4,1.6,10.0,24.0,,2.1,1.2,3.2,0.068,,0.9,-1.2,-0.4,0.9
7,1997-98,28.0,MIA,NBA,SG,5.0,69.0,14.8,0.429,0.387,0.29,7.0,3.3,5.1,18.1,5.5,0.0,7.9,25.7,,0.0,0.1,0.1,0.102,,-2.2,2.3,0.1,0.0
8,1999-00,30.0,PHO,NBA,SG,58.0,941.0,13.2,0.524,0.5,0.327,3.7,11.4,7.6,10.7,2.4,1.7,11.7,20.0,,0.9,1.6,2.5,0.125,,-0.5,1.2,0.7,0.6
9,2000-01,31.0,MIN,NBA,SG,31.0,345.0,10.1,0.515,0.585,0.195,3.3,9.0,6.1,12.2,1.5,1.4,15.8,19.9,,0.1,0.2,0.3,0.048,,-1.3,-0.9,-2.1,0.0
10,Career,,,NBA,,483.0,12214.0,14.1,0.512,0.328,0.344,5.3,10.5,7.8,9.5,2.2,1.7,11.0,23.1,,8.5,9.0,17.5,0.069,,-0.2,-0.7,-0.9,3.4
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,MIL,NBA,,237.0,6946.0,14.0,0.516,0.277,0.356,5.9,10.2,8.0,9.2,2.1,1.7,11.4,22.9,,4.8,4.6,9.4,0.065,,-0.4,-0.9,-1.2,1.3
13,2 seasons,,BOS,NBA,,152.0,3913.0,14.9,0.505,0.358,0.339,4.7,11.1,7.7,9.2,2.4,1.8,10.1,24.5,,2.6,2.6,5.2,0.064,,0.3,-0.9,-0.6,1.4
14,1 season,,PHO,NBA,,58.0,941.0,13.2,0.524,0.5,0.327,3.7,11.4,7.6,10.7,2.4,1.7,11.7,20.0,,0.9,1.6,2.5,0.125,,-0.5,1.2,0.7,0.6
15,1 season,,MIN,NBA,,31.0,345.0,10.1,0.515,0.585,0.195,3.3,9.0,6.1,12.2,1.5,1.4,15.8,19.9,,0.1,0.2,0.3,0.048,,-1.3,-0.9,-2.1,0.0
16,1 season,,MIA,NBA,,5.0,69.0,14.8,0.429,0.387,0.29,7.0,3.3,5.1,18.1,5.5,0.0,7.9,25.7,,0.0,0.1,0.1,0.102,,-2.2,2.3,0.1,0.0
