,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1988-89,22.0,LAC,NBA,SG,71.0,1499.0,11.0,0.547,0.036,0.354,2.6,8.5,5.6,21.0,2.4,0.3,21.9,14.0,,0.5,0.9,1.4,0.044,,-2.6,0.2,-2.4,-0.2
1,1989-90,23.0,LAC,NBA,SG,73.0,1721.0,11.8,0.539,0.05,0.271,2.3,8.4,5.4,23.4,2.5,0.2,19.9,14.3,,0.9,1.6,2.5,0.07,,-2.0,0.7,-1.3,0.3
2,1990-91,24.0,LAC,NBA,SG,67.0,949.0,13.3,0.48,0.093,0.335,4.5,10.0,7.2,31.3,3.1,0.1,19.6,14.4,,0.6,1.2,1.8,0.089,,-1.8,1.8,0.0,0.5
3,1991-92,25.0,TOT,NBA,SG,40.0,549.0,9.8,0.444,0.028,0.182,2.4,8.8,5.6,24.2,3.3,0.4,22.2,15.3,,-0.5,0.7,0.2,0.022,,-3.7,1.9,-1.8,0.0
4,1991-92,25.0,SAS,NBA,SG,19.0,374.0,10.2,0.49,0.011,0.172,2.4,9.6,6.0,22.9,2.8,0.2,23.1,14.7,,-0.1,0.5,0.4,0.05,,-3.2,2.2,-1.0,0.1
5,1991-92,25.0,MIN,NBA,SG,15.0,112.0,7.4,0.397,0.061,0.242,1.9,7.1,4.4,21.4,3.2,1.6,21.5,17.7,,-0.2,0.1,-0.1,-0.059,,-5.5,-0.7,-6.1,-0.1
6,1991-92,25.0,DAL,NBA,SG,6.0,63.0,11.3,0.28,0.059,0.118,3.3,7.0,5.1,37.2,6.5,0.0,18.3,14.9,,-0.1,0.1,0.0,-0.004,,-3.3,4.6,1.3,0.1
7,Career,,,NBA,,251.0,4718.0,11.6,0.518,0.052,0.299,2.8,8.8,5.8,24.3,2.7,0.3,20.7,14.3,,1.5,4.4,5.9,0.06,,-2.4,0.9,-1.4,0.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,LAC,NBA,,211.0,4169.0,11.9,0.528,0.055,0.315,2.9,8.8,5.9,24.4,2.6,0.2,20.5,14.2,,2.0,3.7,5.6,0.065,,-2.2,0.8,-1.4,0.6
10,1 season,,SAS,NBA,,19.0,374.0,10.2,0.49,0.011,0.172,2.4,9.6,6.0,22.9,2.8,0.2,23.1,14.7,,-0.1,0.5,0.4,0.05,,-3.2,2.2,-1.0,0.1
11,1 season,,MIN,NBA,,15.0,112.0,7.4,0.397,0.061,0.242,1.9,7.1,4.4,21.4,3.2,1.6,21.5,17.7,,-0.2,0.1,-0.1,-0.059,,-5.5,-0.7,-6.1,-0.1
12,1 season,,DAL,NBA,,6.0,63.0,11.3,0.28,0.059,0.118,3.3,7.0,5.1,37.2,6.5,0.0,18.3,14.9,,-0.1,0.1,0.0,-0.004,,-3.3,4.6,1.3,0.1
