,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1963-64,23.0,NYK,NBA,C,59.0,988.0,9.7,0.467,,0.534,,,,,,,,0.3,0.1,0.4,0.02,
1,1964-65,24.0,NYK,NBA,C,24.0,153.0,9.6,0.445,,0.438,,,,10.2,,,,0.0,0.1,0.1,0.047,
2,1966-67,26.0,STL,NBA,C,17.0,129.0,5.8,0.422,,0.419,,,,7.7,,,,-0.1,0.1,0.0,0.018,
3,1967-68,27.0,DNR,ABA,C,70.0,1588.0,9.8,0.507,0.028,0.577,,,14.5,5.5,23.7,14.2,,1.7,2.7,4.4,0.132,
4,1968-69,28.0,TOT,ABA,C,53.0,1419.0,11.5,0.516,0.005,0.463,,,14.8,11.7,25.9,17.0,,1.4,1.2,2.6,0.089,
5,1968-69,28.0,HSM,ABA,C,4.0,80.0,14.3,0.539,0.0,0.214,,,15.9,9.3,20.7,17.4,,0.1,0.1,0.2,0.131,
6,1968-69,28.0,MNP,ABA,C,9.0,83.0,13.0,0.482,0.0,0.808,,,16.6,9.9,18.5,18.5,,0.0,0.2,0.2,0.122,
7,1968-69,28.0,NYA,ABA,C,40.0,1256.0,11.3,0.517,0.006,0.458,,,14.6,12.0,26.8,16.9,,1.3,0.9,2.2,0.084,
8,Career,,,TOT,,223.0,4277.0,10.2,0.497,0.011,0.515,,,14.6,8.5,24.9,15.6,,3.5,4.2,7.6,0.085,
9,,,,ABA,,123.0,3007.0,10.6,0.512,0.016,0.516,,,14.6,8.5,24.9,15.6,,3.2,3.8,7.0,0.112,
10,,,,NBA,,100.0,1270.0,9.3,0.461,,0.513,,,,9.0,,,,0.3,0.3,0.6,0.023,
11,,,,,,,,,,,,,,,,,,,,,,,
12,2 seasons,,NYK,NBA,,83.0,1141.0,9.7,0.465,,0.523,,,,10.2,,,,0.4,0.2,0.6,0.024,
13,1 season,,DNR,ABA,,70.0,1588.0,9.8,0.507,0.028,0.577,,,14.5,5.5,23.7,14.2,,1.7,2.7,4.4,0.132,
14,1 season,,NYA,ABA,,40.0,1256.0,11.3,0.517,0.006,0.458,,,14.6,12.0,26.8,16.9,,1.3,0.9,2.2,0.084,
15,1 season,,STL,NBA,,17.0,129.0,5.8,0.422,,0.419,,,,7.7,,,,-0.1,0.1,0.0,0.018,
16,1 season,,MNP,ABA,,9.0,83.0,13.0,0.482,0.0,0.808,,,16.6,9.9,18.5,18.5,,0.0,0.2,0.2,0.122,
17,1 season,,HSM,ABA,,4.0,80.0,14.3,0.539,0.0,0.214,,,15.9,9.3,20.7,17.4,,0.1,0.1,0.2,0.131,
