,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1975-76,23.0,BUF,NBA,C,50.0,708.0,11.5,0.474,,0.243,9.8,17.4,13.7,13.0,0.4,0.4,,,,0.2,0.6,0.8,0.055,,-1.5,-1.1,-2.5,-0.1
1,1976-77,24.0,TOT,NBA,C,76.0,1492.0,12.9,0.522,,0.218,8.0,18.9,13.6,6.2,0.3,0.2,,,,1.4,1.0,2.5,0.079,,-0.8,-1.6,-2.4,-0.2
2,1976-77,24.0,BUF,NBA,C,20.0,270.0,13.9,0.538,,0.391,10.8,16.2,13.4,8.6,0.2,0.4,,,,0.4,0.1,0.5,0.088,,-0.7,-1.6,-2.3,0.0
3,1976-77,24.0,NYK,NBA,C,56.0,1222.0,12.7,0.518,,0.185,7.4,19.5,13.6,5.6,0.4,0.2,,,,1.0,0.9,2.0,0.077,,-0.8,-1.6,-2.5,-0.2
4,1977-78,25.0,ATL,NBA,C,68.0,1683.0,13.3,0.535,,0.255,9.4,17.7,13.5,7.4,0.9,0.6,14.7,17.7,,2.2,1.7,3.9,0.112,,-0.5,-1.1,-1.6,0.2
5,1978-79,26.0,ATL,NBA,C,82.0,1392.0,12.6,0.518,,0.239,9.8,16.3,12.9,6.9,0.5,1.3,13.7,18.1,,1.7,1.2,2.9,0.1,,-1.0,-1.2,-2.2,-0.1
6,1979-80,27.0,ATL,NBA,C,53.0,1071.0,14.2,0.54,0.003,0.28,7.0,15.1,11.0,9.0,1.6,0.8,13.0,18.8,,1.4,1.5,2.9,0.128,,-0.1,0.4,0.2,0.6
7,1980-81,28.0,ATL,NBA,C,79.0,1564.0,11.6,0.518,0.012,0.208,7.0,14.8,10.8,6.9,0.7,0.9,12.5,17.2,,1.2,0.9,2.2,0.066,,-1.0,-1.1,-2.1,-0.1
8,1981-82,29.0,ATL,NBA,C,73.0,1792.0,13.1,0.559,0.005,0.297,6.4,14.8,10.6,11.2,0.7,0.8,16.1,18.7,,1.7,2.0,3.7,0.099,,-0.5,-0.1,-0.6,0.6
9,1982-83,30.0,ATL,NBA,C,61.0,1364.0,10.8,0.522,0.002,0.314,4.5,12.4,8.5,7.9,0.6,1.0,14.2,17.2,,0.7,1.3,2.0,0.071,,-2.0,-0.4,-2.4,-0.1
10,1983-84,31.0,WSB,NBA,C,62.0,1294.0,12.3,0.555,0.013,0.349,5.8,12.1,9.0,8.4,0.5,0.8,12.0,19.3,,1.4,1.0,2.4,0.09,,-1.4,-0.8,-2.2,-0.1
11,1984-85,32.0,WSB,NBA,C,69.0,1547.0,10.4,0.519,0.009,0.253,4.5,10.7,7.5,4.6,0.2,0.6,6.9,17.2,,1.2,1.4,2.7,0.082,,-2.5,-1.1,-3.6,-0.6
12,1985-86,33.0,WSB,NBA,C,56.0,863.0,10.4,0.51,0.011,0.277,5.5,8.6,7.1,5.9,0.5,0.6,9.6,17.1,,0.6,0.7,1.2,0.069,,-2.3,-1.2,-3.5,-0.3
13,Career,,,NBA,,729.0,14770.0,12.2,0.528,0.005,0.265,7.0,14.6,10.8,7.8,0.6,0.7,12.8,17.9,,13.9,13.3,27.2,0.088,,-1.2,-0.9,-2.0,-0.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6 seasons,,ATL,NBA,,416.0,8866.0,12.6,0.533,0.004,0.264,7.4,15.3,11.3,8.3,0.8,0.9,14.1,17.9,,9.0,8.6,17.6,0.095,,-0.8,-0.6,-1.5,1.1
16,3 seasons,,WSB,NBA,,187.0,3704.0,11.1,0.53,0.011,0.292,5.2,10.7,7.9,6.3,0.4,0.7,9.4,17.9,,3.2,3.1,6.3,0.082,,-2.1,-1.0,-3.1,-1.0
17,2 seasons,,BUF,NBA,,70.0,978.0,12.2,0.493,,0.287,10.0,17.1,13.6,11.8,0.4,0.4,,,,0.6,0.7,1.3,0.064,,-1.2,-1.2,-2.5,-0.1
18,1 season,,NYK,NBA,,56.0,1222.0,12.7,0.518,,0.185,7.4,19.5,13.6,5.6,0.4,0.2,,,,1.0,0.9,2.0,0.077,,-0.8,-1.6,-2.5,-0.2
