,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2016-17,25.0,WAS,NBA,SG,57.0,719.0,8.5,0.477,0.252,0.224,3.9,9.1,6.5,16.7,1.8,0.7,19.0,12.1,,0.1,0.5,0.6,0.04,,-3.1,0.7,-2.4,-0.1
1,2017-18,26.0,WAS,NBA,SG,73.0,1643.0,15.4,0.615,0.263,0.25,5.0,11.1,8.0,24.8,1.6,0.8,16.3,13.7,,3.7,1.3,5.0,0.145,,0.8,0.5,1.2,1.3
2,2018-19,27.0,WAS,NBA,PG,80.0,2164.0,14.1,0.59,0.306,0.302,4.0,10.0,7.0,24.6,1.8,0.5,16.7,14.1,,3.8,0.9,4.7,0.104,,-0.4,-0.3,-0.7,0.7
3,2019-20,28.0,CHI,NBA,SG,65.0,1878.0,13.5,0.533,0.361,0.22,4.3,11.0,7.5,27.1,2.1,0.4,17.7,16.7,,1.8,1.7,3.5,0.09,,-1.1,-0.2,-1.2,0.4
4,2020-21,29.0,CHI,NBA,SG,58.0,1307.0,13.8,0.614,0.359,0.24,2.6,9.4,6.0,27.9,1.5,0.9,20.9,15.2,,1.9,1.1,3.1,0.113,,-0.6,0.1,-0.5,0.5
5,2021-22,30.0,TOT,NBA,"PG,SF,SG",55.0,906.0,10.2,0.461,0.277,0.283,3.3,12.1,7.7,27.0,1.6,0.5,17.6,12.6,,0.5,0.6,1.0,0.056,,-3.3,-0.3,-3.7,-0.4
6,2021-22,30.0,NOP,NBA,SG,32.0,481.0,6.5,0.373,0.29,0.234,4.1,10.8,7.4,20.6,1.4,0.2,16.3,12.6,,-0.3,0.3,0.0,-0.003,,-5.1,-0.5,-5.6,-0.4
7,2021-22,30.0,SAS,NBA,SF,1.0,9.0,12.8,0.852,,,0.0,11.7,5.8,0.0,0.0,0.0,0.0,8.3,,0.0,0.0,0.0,0.2,,0.8,-2.1,-1.3,0.0
8,2021-22,30.0,WAS,NBA,PG,22.0,416.0,14.4,0.563,0.262,0.298,2.4,13.6,8.1,35.0,1.8,0.8,19.5,12.6,,0.7,0.3,1.0,0.12,,-1.4,0.0,-1.5,0.1
9,Career,,,NBA,,388.0,8617.0,13.3,0.564,0.314,0.255,4.0,10.5,7.2,25.3,1.7,0.6,17.8,14.4,,11.7,6.2,17.9,0.1,,-0.9,0.0,-0.9,2.4
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4 seasons,,WAS,NBA,,232.0,4942.0,13.7,0.582,0.281,0.274,4.2,10.5,7.4,24.4,1.7,0.7,17.1,13.5,,8.3,3.0,11.3,0.11,,-0.5,0.1,-0.4,2.0
12,2 seasons,,CHI,NBA,,123.0,3185.0,13.6,0.564,0.36,0.227,3.6,10.3,6.9,27.4,1.8,0.6,18.9,16.1,,3.7,2.9,6.6,0.099,,-0.9,-0.1,-0.9,0.8
13,1 season,,NOP,NBA,,32.0,481.0,6.5,0.373,0.29,0.234,4.1,10.8,7.4,20.6,1.4,0.2,16.3,12.6,,-0.3,0.3,0.0,-0.003,,-5.1,-0.5,-5.6,-0.4
14,1 season,,SAS,NBA,,1.0,9.0,12.8,0.852,,,0.0,11.7,5.8,0.0,0.0,0.0,0.0,8.3,,0.0,0.0,0.0,0.2,,0.8,-2.1,-1.3,0.0
