,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1967-68,23.0,PTP,ABA,PF,63.0,1844.0,19.9,0.54,0.003,0.312,,,15.4,8.0,,,14.0,15.9,,3.7,2.4,6.0,0.157,
1,1968-69,24.0,MNP,ABA,C,69.0,2625.0,16.9,0.528,0.007,0.377,,,14.7,9.5,,,16.3,15.8,,3.4,5.0,8.3,0.152,
2,1969-70,25.0,TOT,ABA,PF,81.0,2353.0,16.0,0.581,0.014,0.412,,,15.0,10.9,,,20.5,13.4,,4.2,2.6,6.9,0.14,
3,1969-70,25.0,PTP,ABA,PF,44.0,1249.0,15.8,0.57,0.016,0.458,,,15.1,11.9,,,21.9,13.7,,2.1,1.3,3.4,0.13,
4,1969-70,25.0,LAS,ABA,PF,37.0,1104.0,16.2,0.594,0.011,0.361,,,15.0,9.9,,,18.7,13.1,,2.2,1.3,3.5,0.152,
5,1970-71,26.0,FLO,ABA,PF,57.0,1876.0,11.0,0.535,0.005,0.392,,,15.1,12.7,,,29.4,14.1,,1.7,1.8,3.4,0.087,
6,1971-72,27.0,NYA,ABA,PF,80.0,2510.0,14.1,0.587,0.0,0.245,11.2,17.6,14.5,8.5,,,20.0,14.6,,4.5,1.8,6.3,0.121,
7,1972-73,28.0,NYA,ABA,PF,76.0,2027.0,10.3,0.555,0.0,0.238,9.0,18.4,13.9,13.8,,,28.0,13.2,,1.9,0.2,2.2,0.051,
8,Career,,,ABA,,426.0,13235.0,14.8,0.554,0.005,0.332,10.2,18.0,14.8,10.5,,,20.6,14.5,,19.3,13.8,33.1,0.12,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,"PTP,MNP",ABA,,176.0,5718.0,17.6,0.54,0.007,0.369,,,15.0,9.5,,,16.6,15.4,,9.1,8.6,17.7,0.149,
11,2 seasons,,NYA,ABA,,156.0,4537.0,12.4,0.574,0.0,0.242,10.2,18.0,14.2,10.9,,,23.3,13.9,,6.4,2.1,8.5,0.09,
12,1 season,,FLO,ABA,,57.0,1876.0,11.0,0.535,0.005,0.392,,,15.1,12.7,,,29.4,14.1,,1.7,1.8,3.4,0.087,
13,1 season,,LAS,ABA,,37.0,1104.0,16.2,0.594,0.011,0.361,,,15.0,9.9,,,18.7,13.1,,2.2,1.3,3.5,0.152,
