,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1967-68,22.0,NYK,NBA,PG,74.0,1588.0,15.4,0.496,,0.414,,,,25.1,,,,,,1.6,1.9,3.5,0.105,,,,,
1,1968-69,23.0,NYK,NBA,PG,80.0,2949.0,20.2,0.56,,0.434,,,,29.5,,,,,,8.3,4.4,12.7,0.207,,,,,
2,1969-70,24.0,NYK,NBA,PG,77.0,3040.0,21.1,0.575,,0.472,,,,27.0,,,,,,8.6,6.4,15.0,0.236,,,,,
3,1970-71,25.0,NYK,NBA,PG,80.0,3455.0,19.5,0.556,,0.423,,,7.2,21.2,,,,,,8.9,6.7,15.6,0.217,,,,,
4,1971-72,26.0,NYK,NBA,PG,77.0,3126.0,21.6,0.576,,0.426,,,8.0,21.1,,,,,,10.3,4.2,14.5,0.223,,,,,
5,1972-73,27.0,NYK,NBA,PG,78.0,3181.0,19.7,0.534,,0.252,,,8.9,20.6,,,,,,7.3,5.7,13.0,0.196,,,,,
6,1973-74,28.0,NYK,NBA,PG,80.0,3338.0,18.7,0.519,,0.246,3.8,13.1,8.5,24.4,2.2,0.2,,,,5.9,5.1,10.9,0.157,,2.1,1.2,3.2,4.4
7,1974-75,29.0,NYK,NBA,PG,78.0,3204.0,19.9,0.534,,0.288,2.9,12.4,7.6,23.1,2.8,0.2,,,,7.2,3.5,10.8,0.161,,2.7,1.0,3.8,4.7
8,1975-76,30.0,NYK,NBA,PG,59.0,2427.0,17.7,0.527,,0.233,3.3,13.8,8.5,21.4,2.0,0.2,,,,4.4,2.4,6.8,0.134,,1.9,0.6,2.5,2.8
9,1976-77,31.0,NYK,NBA,PG,76.0,2687.0,16.6,0.535,,0.309,2.1,9.2,5.7,20.6,2.2,0.2,,,,3.8,2.3,6.1,0.108,,0.8,0.1,0.9,2.0
10,1977-78,32.0,CLE,NBA,PG,51.0,1664.0,17.5,0.52,,0.252,3.3,9.5,6.4,18.5,2.1,0.4,12.5,21.6,,2.8,1.8,4.6,0.132,,1.1,0.7,1.9,1.6
11,1978-79,33.0,CLE,NBA,PG,12.0,279.0,12.9,0.482,,0.221,2.6,5.4,3.9,16.2,2.2,0.4,14.1,22.2,,0.1,0.1,0.2,0.029,,-1.3,-0.8,-2.1,0.0
12,1979-80,34.0,CLE,NBA,PG,3.0,27.0,13.6,0.421,0.091,0.182,3.7,8.2,5.9,36.7,3.4,2.0,25.2,22.6,,0.0,0.0,0.0,-0.012,,-3.5,0.2,-3.3,0.0
13,Career,,,NBA,,825.0,30965.0,19.1,0.542,0.0,0.338,3.1,11.7,7.6,23.0,2.3,0.2,12.9,21.7,,69.1,44.5,113.5,0.176,,1.8,0.7,2.5,15.5
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10 seasons,,NYK,NBA,,759.0,28995.0,19.3,0.544,,0.344,3.0,12.2,7.8,23.3,2.3,0.2,,,,66.3,42.5,108.8,0.18,,1.9,0.8,2.7,13.9
16,3 seasons,,CLE,NBA,,66.0,1970.0,16.8,0.513,0.001,0.247,3.2,8.9,6.0,18.5,2.2,0.4,12.9,21.7,,2.8,1.9,4.7,0.116,,0.7,0.5,1.3,1.6
