,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1968-69,23.0,KEN,ABA,SF,48.0,458.0,7.2,0.415,0.064,0.356,,,7.0,11.9,,14.3,22.0,,-0.6,0.5,-0.1,-0.008,
1,1969-70,24.0,KEN,ABA,SF,82.0,1519.0,9.5,0.446,0.057,0.312,,,7.3,12.9,,15.3,21.0,,-0.8,1.8,1.0,0.032,
2,1970-71,25.0,TOT,ABA,SF,69.0,1241.0,8.9,0.44,0.101,0.281,,,6.1,13.4,,15.4,21.3,,-1.0,1.1,0.1,0.004,
3,1970-71,25.0,DNR,ABA,SF,47.0,1049.0,8.4,0.433,0.099,0.267,,,5.8,13.3,,15.6,21.4,,-1.0,0.9,-0.2,-0.007,
4,1970-71,25.0,INA,ABA,SF,22.0,192.0,11.3,0.485,0.115,0.372,,,7.3,14.1,,14.2,20.7,,0.1,0.2,0.3,0.065,
5,1971-72,26.0,INA,ABA,SF,7.0,76.0,4.8,0.436,0.111,0.333,2.5,3.5,3.0,18.3,,22.5,13.5,,0.0,0.1,0.0,0.019,
6,Career,,,ABA,,206.0,3294.0,8.8,0.439,0.076,0.306,2.5,3.5,6.7,13.1,,15.3,21.1,,-2.3,3.4,1.1,0.016,
7,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,KEN,ABA,,130.0,1977.0,9.0,0.439,0.058,0.322,,,7.2,12.7,,15.0,21.2,,-1.3,2.3,0.9,0.023,
9,1 season,,DNR,ABA,,47.0,1049.0,8.4,0.433,0.099,0.267,,,5.8,13.3,,15.6,21.4,,-1.0,0.9,-0.2,-0.007,
10,2 seasons,,INA,ABA,,29.0,268.0,9.5,0.476,0.115,0.365,2.5,3.5,6.1,15.3,,15.9,18.7,,0.0,0.3,0.3,0.052,
