,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2019-20,22.0,TOT,NBA,PF,30.0,235.0,9.6,0.546,0.417,0.458,9.5,13.9,11.7,4.4,2.2,2.6,21.7,13.4,,0.0,0.2,0.2,0.048,,-3.7,-0.1,-3.8,-0.1
1,2019-20,22.0,SAC,NBA,PF,11.0,61.0,7.4,0.444,0.471,0.588,7.2,11.3,9.2,6.6,2.4,3.1,18.9,18.8,,-0.1,0.1,0.0,-0.029,,-4.4,0.5,-3.9,0.0
2,2019-20,22.0,POR,NBA,PF,19.0,174.0,10.3,0.606,0.387,0.387,10.3,14.9,12.6,3.6,2.2,2.5,23.3,11.5,,0.1,0.1,0.3,0.075,,-3.5,-0.3,-3.8,-0.1
3,2020-21,23.0,NOP,NBA,PF,21.0,241.0,9.8,0.533,0.533,0.283,9.0,15.3,12.2,5.9,1.8,3.1,18.2,14.4,,0.0,0.3,0.3,0.052,,-3.2,-0.1,-3.3,-0.1
4,2021-22,24.0,TOT,NBA,PF,26.0,359.0,12.5,0.549,0.255,0.382,11.8,17.2,14.5,5.6,0.7,2.7,11.1,17.4,,0.4,0.3,0.7,0.089,,-3.7,-2.1,-5.9,-0.4
5,2021-22,24.0,BRK,NBA,PF,1.0,1.0,11.8,,,,0.0,100.0,54.5,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.167,,-1.9,0.3,-1.6,0.0
6,2021-22,24.0,LAC,NBA,PF,6.0,46.0,8.3,0.474,0.385,0.308,11.9,20.1,16.1,6.0,1.1,3.7,16.9,17.0,,0.0,0.1,0.0,0.041,,-6.6,-0.9,-7.5,-0.1
7,2021-22,24.0,LAL,NBA,PF,19.0,311.0,13.1,0.558,0.237,0.392,11.8,16.5,14.2,5.5,0.6,2.6,10.3,17.5,,0.4,0.2,0.6,0.096,,-3.3,-2.3,-5.7,-0.3
8,2022-23,25.0,LAL,NBA,C,68.0,1024.0,14.4,0.626,0.138,0.323,12.6,17.2,15.0,4.8,1.2,2.9,13.4,14.1,,1.5,1.3,2.8,0.132,,-2.3,0.1,-2.2,-0.1
9,Career,,,NBA,,145.0,1859.0,12.8,0.588,0.243,0.345,11.6,16.5,14.1,5.0,1.3,2.9,14.4,14.7,,1.9,2.1,4.0,0.103,,-2.9,-0.4,-3.3,-0.6
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,LAL,NBA,,87.0,1335.0,14.1,0.608,0.165,0.342,12.4,17.0,14.8,5.0,1.1,2.8,12.6,14.9,,1.9,1.5,3.4,0.123,,-2.5,-0.5,-3.0,-0.4
12,1 season,,NOP,NBA,,21.0,241.0,9.8,0.533,0.533,0.283,9.0,15.3,12.2,5.9,1.8,3.1,18.2,14.4,,0.0,0.3,0.3,0.052,,-3.2,-0.1,-3.3,-0.1
13,1 season,,POR,NBA,,19.0,174.0,10.3,0.606,0.387,0.387,10.3,14.9,12.6,3.6,2.2,2.5,23.3,11.5,,0.1,0.1,0.3,0.075,,-3.5,-0.3,-3.8,-0.1
14,1 season,,SAC,NBA,,11.0,61.0,7.4,0.444,0.471,0.588,7.2,11.3,9.2,6.6,2.4,3.1,18.9,18.8,,-0.1,0.1,0.0,-0.029,,-4.4,0.5,-3.9,0.0
15,1 season,,LAC,NBA,,6.0,46.0,8.3,0.474,0.385,0.308,11.9,20.1,16.1,6.0,1.1,3.7,16.9,17.0,,0.0,0.1,0.0,0.041,,-6.6,-0.9,-7.5,-0.1
16,1 season,,BRK,NBA,,1.0,1.0,11.8,,,,0.0,100.0,54.5,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.167,,-1.9,0.3,-1.6,0.0
