,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1997-98,23.0,TOT,NBA,C,7.0,39.0,9.3,0.444,0.0,0.0,13.6,14.5,15.3,3.9,2.8,0.0,0.0,10.7,,0.1,0.1,0.1,0.131,,-3.5,0.4,-3.1,0.0
1,1997-98,23.0,UTA,NBA,C,6.0,38.0,8.7,0.444,0.0,0.0,14.0,12.3,13.1,4.0,2.8,0.0,0.0,11.0,,0.1,0.0,0.1,0.122,,-3.7,0.2,-3.5,0.0
2,1997-98,23.0,PHI,NBA,C,1.0,1.0,33.3,,,,0.0,100.0,100.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.473,,4.0,5.4,9.5,0.0
3,1998-99,24.0,TOT,NBA,C,16.0,162.0,0.5,0.159,0.0,0.111,8.4,10.8,9.6,0.9,0.3,4.9,20.9,6.5,,-0.3,0.1,-0.2,-0.054,,-8.9,-1.4,-10.3,-0.3
4,1998-99,24.0,TOR,NBA,C,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.025,,-0.7,-2.7,-3.4,0.0
5,1998-99,24.0,NJN,NBA,C,15.0,161.0,0.5,0.159,0.0,0.111,8.5,10.9,9.6,0.9,0.3,5.0,20.9,6.5,,-0.3,0.1,-0.2,-0.054,,-9.0,-1.4,-10.3,-0.3
6,Career,,,NBA,,23.0,201.0,2.2,0.251,0.0,0.074,9.4,11.5,10.7,1.5,0.8,4.0,15.2,7.3,,-0.2,0.1,-0.1,-0.018,,-7.9,-1.0,-8.9,-0.4
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1 season,,NJN,NBA,,15.0,161.0,0.5,0.159,0.0,0.111,8.5,10.9,9.6,0.9,0.3,5.0,20.9,6.5,,-0.3,0.1,-0.2,-0.054,,-9.0,-1.4,-10.3,-0.3
9,1 season,,UTA,NBA,,6.0,38.0,8.7,0.444,0.0,0.0,14.0,12.3,13.1,4.0,2.8,0.0,0.0,11.0,,0.1,0.0,0.1,0.122,,-3.7,0.2,-3.5,0.0
10,1 season,,PHI,NBA,,1.0,1.0,33.3,,,,0.0,100.0,100.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.473,,4.0,5.4,9.5,0.0
11,1 season,,TOR,NBA,,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.025,,-0.7,-2.7,-3.4,0.0
