,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1971-72,24.0,DET,NBA,SF,78.0,1272.0,13.4,0.546,0.489,,,11.8,4.8,,,,,,2.4,0.2,2.6,0.097,,,,,
1,1972-73,25.0,DET,NBA,SF,79.0,1282.0,15.8,0.541,0.446,,,12.3,6.0,,,,,,2.7,1.0,3.8,0.141,,,,,
2,1973-74,26.0,DET,NBA,SF,74.0,1178.0,15.8,0.538,0.295,8.3,11.7,10.0,7.4,2.3,0.4,,,,1.8,1.8,3.5,0.144,,0.2,0.5,0.7,0.8
3,1974-75,27.0,DET,NBA,SF,24.0,347.0,17.3,0.562,0.341,9.9,17.9,13.9,7.1,3.2,0.0,,,,0.6,0.4,1.1,0.146,,0.0,0.4,0.3,0.2
4,1975-76,28.0,SEA,NBA,SF,64.0,1004.0,15.4,0.569,0.674,9.1,14.6,11.8,7.8,1.9,0.2,,,,2.0,0.9,3.0,0.141,,0.2,-0.4,-0.2,0.5
5,1976-77,29.0,SEA,NBA,SF,76.0,1647.0,12.0,0.528,0.447,7.6,10.8,9.1,8.2,1.7,0.2,,,,1.8,1.5,3.3,0.095,,-1.1,-0.3,-1.3,0.3
6,1977-78,30.0,TOT,NBA,SF,35.0,611.0,8.2,0.463,0.414,8.5,11.7,10.2,7.0,2.3,0.3,20.7,17.2,,-0.3,0.8,0.5,0.037,,-3.6,0.0,-3.5,-0.3
7,1977-78,30.0,DET,NBA,SF,16.0,260.0,10.4,0.464,0.354,11.1,10.7,10.9,7.1,2.2,0.6,15.2,16.4,,0.1,0.2,0.4,0.07,,-2.3,-0.1,-2.3,0.0
8,1977-78,30.0,POR,NBA,SF,19.0,351.0,6.6,0.461,0.465,6.7,12.5,9.6,6.9,2.4,0.0,24.6,17.8,,-0.4,0.5,0.1,0.012,,-4.5,0.1,-4.4,-0.2
9,Career,,,NBA,,430.0,7341.0,13.9,0.538,0.445,8.4,12.4,11.0,6.9,2.1,0.2,20.7,17.2,,11.0,6.6,17.6,0.115,,-0.7,0.0,-0.8,1.5
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5 seasons,,DET,NBA,,271.0,4339.0,14.9,0.539,0.4,9.0,12.7,11.6,6.2,2.5,0.4,15.2,16.4,,7.7,3.7,11.3,0.125,,-0.2,0.4,0.2,1.0
12,2 seasons,,SEA,NBA,,140.0,2651.0,13.3,0.545,0.537,8.2,12.2,10.1,8.0,1.8,0.2,,,,3.8,2.4,6.2,0.112,,-0.6,-0.3,-0.9,0.7
13,1 season,,POR,NBA,,19.0,351.0,6.6,0.461,0.465,6.7,12.5,9.6,6.9,2.4,0.0,24.6,17.8,,-0.4,0.5,0.1,0.012,,-4.5,0.1,-4.4,-0.2
