Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,21-312,ATL,HOU,0.0,21.116666666666667,6.0,8.0,0.75,0.0,0.0,,1.0,3.0,0.333,1.0,8.0,9.0,0.0,0.0,0.0,0.0,4.0,13.0,10.5,8.0,8.0,6.0,0.75,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,11.0,92.0,4.842105263157895,10.1,105.1,5.531578947368421,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+10),W (+10)
2.0,2.0,2022-10-21,21-314,ATL,ORL,0.0,16.383333333333333,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,2.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,3.0,0.7,4.0,2.0,1.0,0.5,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,1.0,87.0,4.578947368421052,0.2999999999999994,95.8,5.042105263157895,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+10),W (+10)
3.0,3.0,2022-10-23,21-316,ATL,CHO,0.0,23.383333333333333,4.0,6.0,0.667,0.0,0.0,,2.0,4.0,0.5,3.0,2.0,5.0,1.0,1.0,2.0,2.0,4.0,10.0,8.8,1.0,6.0,4.0,0.6666666666666666,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,7.0,63.0,3.3157894736842106,8.0,82.70000000000002,4.35263157894737,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,L (-17),L (-17)
4.0,4.0,2022-10-26,21-319,ATL,DET,0.0,21.3,5.0,5.0,1.0,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,10.0,10.3,-19.0,5.0,5.0,1.0,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,10.0,66.0,3.473684210526316,10.3,81.99999999999999,4.31578947368421,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+5),W (+5)
5.0,5.0,2022-10-28,21-321,ATL,DET,0.0,21.516666666666666,7.0,10.0,0.7,0.0,0.0,,2.0,2.0,1.0,5.0,2.0,7.0,2.0,1.0,1.0,0.0,2.0,16.0,18.2,10.0,10.0,7.0,0.7,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,15.0,95.0,5.0,17.4,115.99999999999996,6.105263157894735,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+24),W (+24)
6.0,6.0,2022-10-29,21-322,ATL,MIL,0.0,19.216666666666665,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,2.0,4.0,6.0,1.0,0.0,1.0,2.0,4.0,6.0,4.1,6.0,5.0,3.0,0.6,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,7.0,49.0,2.5789473684210527,4.099999999999998,68.2,3.5894736842105264,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,L (-8),L (-8)
7.0,7.0,2022-10-31,21-324,ATL,TOR,0.0,16.25,3.0,4.0,0.75,0.0,0.0,,2.0,2.0,1.0,1.0,4.0,5.0,1.0,0.0,2.0,1.0,3.0,8.0,8.2,0.0,4.0,3.0,0.75,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,9.0,48.0,2.526315789473684,7.399999999999999,66.2,3.4842105263157896,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,L (-30),L (-30)
8.0,8.0,2022-11-02,21-326,ATL,NYK,0.0,19.35,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,3.0,4.0,7.0,1.0,1.0,0.0,0.0,2.0,4.0,6.2,-2.0,4.0,2.0,0.5,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,9.0,73.0,3.842105263157895,6.199999999999999,90.29999999999998,4.752631578947367,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+13),W (+13)
9.0,9.0,2022-11-05,21-329,ATL,NOP,0.0,17.733333333333334,1.0,2.0,0.5,0.0,0.0,,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,3.0,-4.0,2.0,1.0,0.5,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,3.0,81.0,4.2631578947368425,2.2,103.2,5.431578947368421,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+3),W (+3)
10.0,10.0,2022-11-07,21-331,ATL,MIL,0.0,22.0,6.0,11.0,0.545,0.0,1.0,0.0,0.0,0.0,,3.0,3.0,6.0,2.0,1.0,0.0,1.0,1.0,12.0,10.7,22.0,10.0,6.0,0.6,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,9.0,74.0,3.8947368421052633,10.699999999999998,89.69999999999999,4.721052631578947,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+19),W (+19)
11.0,11.0,2022-11-09,21-333,ATL,UTA,0.0,19.98333333333333,2.0,4.0,0.5,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,3.0,1.0,1.0,0.0,2.0,4.0,6.9,-17.0,4.0,2.0,0.5,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,10.0,75.0,3.947368421052632,6.9,99.19999999999996,5.221052631578945,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,L (-6),L (-6)
12.0,12.0,2022-11-10,21-334,ATL,PHI,0.0,21.25,5.0,6.0,0.833,0.0,0.0,,0.0,0.0,,2.0,9.0,11.0,0.0,0.0,2.0,1.0,5.0,10.0,10.3,-17.0,6.0,5.0,0.8333333333333334,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,16.0,36.0,1.894736842105263,10.3,58.7,3.0894736842105264,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+9),W (+9)
13.0,,2022-11-12,21-336,ATL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,,39.0,2.0526315789473686,0.0,65.8,3.4631578947368418,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,L (-12),L (-12)
14.0,13.0,2022-11-14,21-338,ATL,MIL,0.0,17.133333333333333,3.0,5.0,0.6,0.0,0.0,,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,1.0,0.0,5.0,6.0,5.0,0.0,5.0,3.0,0.6,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,8.0,59.0,3.1052631578947367,4.999999999999998,84.29999999999998,4.436842105263157,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+15),W (+15)
15.0,14.0,2022-11-16,21-340,ATL,BOS,0.0,20.5,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,5.0,4.0,9.0,3.0,1.0,0.0,1.0,2.0,2.0,6.3,-13.0,3.0,1.0,0.3333333333333333,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,11.0,44.0,2.3157894736842106,6.300000000000002,66.9,3.521052631578948,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,L (-25),L (-25)
16.0,15.0,2022-11-19,21-343,ATL,TOR,0.0,18.65,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,2.4,-8.0,2.0,1.0,0.5,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,3.0,76.0,4.0,2.0,93.0,4.894736842105263,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,W (+2),W (+2)
17.0,16.0,2022-11-21,21-345,ATL,CLE,0.0,19.73333333333333,6.0,9.0,0.667,0.0,1.0,0.0,6.0,6.0,1.0,3.0,7.0,10.0,0.0,0.0,0.0,1.0,1.0,18.0,16.9,-1.0,8.0,6.0,0.75,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,12.0,45.0,2.3684210526315788,14.5,56.99999999999999,3.0,19.4,7.1,0.8,0.0,0.8,0.081454021,0.678,0.026,0.394,1.3,4.7,L (-12),L (-12)
