Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Zach LaVine,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,24-284,CHI,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,81.0,5.0625,0.0,84.19999999999999,5.262499999999999,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,W (+8),W (+8)
2.0,,2022-10-21,24-286,CHI,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,61.0,3.8125,0.0,68.8,4.3,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,L (-2),L (-2)
3.0,1.0,2022-10-22,24-287,CHI,CLE,0,4.116666666666666,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-6,0.0,0.0,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,1.0,71.0,4.4375,0.3,82.4,5.15,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,L (-32),L (-32)
4.0,2.0,2022-10-24,24-289,CHI,BOS,0,2.1,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,+1,0.0,0.0,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,1.0,110.0,6.875,0.3,105.0,6.5625,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,W (+18),W (+18)
5.0,,2022-10-26,24-291,CHI,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,99.0,6.1875,0.0,89.59999999999998,5.599999999999999,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,W (+15),W (+15)
6.0,,2022-10-28,24-293,CHI,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,80.0,5.0,0.0,82.60000000000001,5.1625000000000005,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,L (-5),L (-5)
7.0,,2022-10-29,24-294,CHI,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,66.0,4.125,0.0,82.19999999999999,5.137499999999999,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,L (-5),L (-5)
8.0,,2022-11-01,24-297,CHI,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,77.0,4.8125,0.0,84.9,5.30625,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,W (+9),W (+9)
9.0,,2022-11-02,24-298,CHI,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,94.0,5.875,0.0,89.89999999999999,5.61875,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,W (+18),W (+18)
10.0,,2022-11-04,24-300,CHI,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,75.0,4.6875,0.0,81.99999999999999,5.124999999999999,21.7,0.2,4.9,4.4,0.5,0.0020482966796032,0.69,0.417,0.333,0.1,0.1,L (-4),L (-4)
